episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,max_commanded_action_norm,max_applied_action_norm,mean_commanded_action_norm,mean_applied_action_norm
0,150000,success,True,False,False,23,147.2409122629132,0.004936854481616812,0.008017832673203662,0.8295827971771608,0.0006911663588039299,2,0.6812312668690125,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7302839409082558,1.5100570374506836,1.6271816989891934,1.2187662534833734
1,150001,success,True,False,False,40,167.4321713895964,0.004919902910992777,0.007977254408052081,0.8858448950515627,0.000700634841245441,2,0.6055022597933388,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7293001773483436,1.5632806401693768,1.4058102532908827,1.1350620399171336
2,150002,collision,False,True,False,147,-108.05185658999156,0.03861430949843564,0.07592904510119591,0.8915875829054711,0.0005897677974841407,2,0.6241346198226205,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7320501773853036,1.6746707581962255,1.472763006200287,1.2744742525590507
3,150003,success,True,False,False,42,182.15175249970846,0.004780345887355788,0.007881739612575878,0.8003356442929327,0.0007797020957458882,2,0.6927220705886041,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7263537722602347,1.510717502096749,1.4418515735465838,1.1109359807595565
4,150004,collision,False,True,False,6,-294.82953459612906,0.056781518036582976,0.0483328922727031,0.8749229328132403,0.0006204852157069213,2,0.6560683710342399,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.5476463486535386,1.0335316285776313,1.2904342403699443,0.6601914429417959
5,150005,success,True,False,False,46,193.63224456788544,0.004859687675983842,0.00800023234487035,0.8636004538847114,0.0005808238080839244,2,0.6032418690036031,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6513716383853654,1.3669405851619003,1.3252925720157562,1.0623565896145473
6,150006,collision,False,True,False,6,-293.8192624806242,0.046791391362057295,0.04823573813402471,0.83817935600808,0.0006857368157491925,2,0.6922739242785765,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6694257611944145,1.219317789492885,1.4729647856657986,0.6829228469724647
7,150007,success,True,False,False,28,154.83467472006538,0.0035382821512257357,0.00804417380737421,0.8023834981180753,0.0006703249198517133,2,0.6964062186550937,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.731995494541921,1.4904013799417366,1.5582249071337826,1.1365076022090284
8,150008,success,True,False,False,56,215.1561548670751,0.004964204725988606,0.007766923985573548,0.8502481295599055,0.0007207409032368947,2,0.6746954731177275,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.672777115044861,1.480391539951949,1.3155268423433275,1.076661151817122
9,150009,success,True,False,False,17,134.80950344794317,0.004654418332049236,0.007973701581781678,0.8392109777674607,0.0005790337324091722,2,0.653770801817796,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7246674781108624,1.3702272985385173,1.4348882779192498,0.9507142063115045
10,150010,collision,False,True,False,6,-293.616372889696,0.04821560796176742,0.0490812281748928,0.886330612508732,0.0006517315142663267,2,0.6407729522005293,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.5310824588499763,1.3439152561036936,1.4601375450864686,0.8220092805663244
11,150011,success,True,False,False,37,167.00893547491228,0.0019635612169675884,0.008007984007061153,0.8682642149239993,0.0007914452770107943,2,0.6000081845389745,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7254569863970133,1.623478391765187,1.4803784359317727,1.1717826503028737
12,150012,success,True,False,False,36,159.47493314484302,0.0032989624408853104,0.007961690194965731,0.8520091505036065,0.0007259052690394877,2,0.6431288202573721,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7307660004510133,1.582559297475661,1.4903846891844332,1.1699403298037305
13,150013,success,True,False,False,14,132.5886479884398,0.004264818272428288,0.007924898452610019,0.8859759821966703,0.000670240453235782,2,0.5580604549860986,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7176035006566692,1.6467237902996048,1.5683552941935777,1.1564303654661539
14,150014,success,True,False,False,39,175.74454329108792,0.002124883300857991,0.008072245782287157,0.8915695709018481,0.0005742316778494684,2,0.6438818295573948,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.728853441304721,1.536261049740612,1.4951898758150013,1.20932009961956
15,150015,success,True,False,False,38,164.96602350340305,0.004894584099234483,0.007804258453116719,0.8015751095314503,0.000593748840893629,2,0.5905379035580516,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7294301309330038,1.4852797167077731,1.3153770332908588,1.0059298411784787
16,150016,success,True,False,False,52,204.00978540755716,0.0049000322167054395,0.007810619672285246,0.8904207665945294,0.0007530771511243125,2,0.674076077079595,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6376570969438422,1.5711040578127595,1.2370108318872595,1.0315244895504638
17,150017,success,True,False,False,73,203.52981200745336,0.004936188680447659,0.007740080300477681,0.805661997970475,0.0007719562108834012,2,0.6257982633644343,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.724651831396541,1.4360366496819714,1.1144784124458653,0.8686520658649981
18,150018,collision,False,True,False,122,-80.94716142408978,0.038078101639231136,0.07612155103085017,0.8372068550375287,0.0007030991191174212,2,0.5671803497692451,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7320477039734345,1.6214186067747038,1.4318121736126217,1.1833100864239563
19,150019,success,True,False,False,47,200.33900764702227,0.004981118114506274,0.00781103144725892,0.8998419571188916,0.0005585121139024126,2,0.6164891272722774,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.726844420611905,1.5950509398730648,1.3883518190761275,1.1749643826244223
20,150020,success,True,False,False,34,165.90465711629025,0.003449788812877709,0.00821768447871185,0.8933028687099069,0.0006731546621263359,2,0.6886347353721743,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.730772307403882,1.5912453950003103,1.5296233168216273,1.2453197769360227
21,150021,success,True,False,False,28,149.95088330091102,0.003595134643400107,0.008025871626972658,0.8745358275158813,0.000626620981254541,2,0.6783850486074045,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7015312415763764,1.5350892785453947,1.4929199536122206,1.161942249424792
22,150022,success,True,False,False,25,152.62747338566928,0.0016724660804043532,0.007977320009756261,0.8451522835391735,0.0006544174524875911,2,0.6188951513555275,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7318203157872183,1.5865969979772996,1.6334389102364897,1.247573059974658
23,150023,collision,False,True,False,6,-292.4455616884996,0.04392280358846291,0.04853053551680109,0.846668900668237,0.0005962211414839422,2,0.6902290966958614,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.661221440471511,1.3268045337835266,1.545595852805193,0.7728249282955088
24,150024,success,True,False,False,23,150.0455002171019,0.0034237545259978627,0.008030708971391798,0.8972094563018403,0.00058913914234899,2,0.5643079279234962,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7312639165085009,1.6242773962006776,1.6161873142290641,1.2255132571660932
