episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,max_commanded_action_norm,max_applied_action_norm,mean_commanded_action_norm,mean_applied_action_norm
0,150000,success,True,False,False,33,184.52909213415694,0.004959842791517972,0.007792605598985647,0.9183311887086428,0.00045173234817257567,0,0.8212815395088511,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7303237516079377,1.5561730348241758,1.3426133093853854,1.2081185162612416
1,150001,success,True,False,False,11,140.2106328854089,0.004626626641522763,0.008863022817930166,1.1433795802062507,0.00048203149198541113,1,0.9667169175333548,high_>1.10,mid_0.00025_0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|high_>1.10|mid_0.00025_0.00055,1.6939913406029248,1.7320507688545248,1.5610890128822121,1.4732137579177065
2,150002,success,True,False,False,20,159.03129267437328,0.004377987942062526,0.00802286762662996,1.1663503316218846,0.00012725695194925032,1,0.9047408101330315,high_>1.10,low_<0.00025,delay_1,high_>=0.85,delay_1|high_>=0.85|high_>1.10|low_<0.00025,1.7309411024905301,1.7320507688545248,1.5896339309088554,1.557559044284789
3,150003,collision,False,True,False,142,-48.86337715679605,0.03837927506973043,0.07840124744055144,0.8013425771717306,0.0007350467063868421,2,0.742742427527394,low_<0.90,high_>=0.00055,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|low_<0.90|high_>=0.00055,1.7320502311553074,1.6660624024208142,1.4934099698145034,1.1882269209971874
4,150004,success,True,False,False,17,155.79490004755178,0.004730755478744214,0.007996489443373278,1.0996917312529608,0.00022555269026214812,0,0.9683809651816446,mid_0.90_1.10,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.5733440143766284,1.637580420334672,1.2536369129757028,1.303364284567668
5,150005,success,True,False,False,31,188.02569768120333,0.0048562588734640255,0.007920736399039452,1.0544018155388453,9.863618586855783e-05,0,0.8668203944845603,mid_0.90_1.10,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.6944595444434283,1.7320507688545248,1.2018934643089876,1.2394958786425372
6,150006,success,True,False,False,65,183.07004616743984,0.004936028641500822,0.007773791797826668,0.9527174240323202,0.00043435781039741586,0,0.9863240478814571,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.6696839714865916,1.6731119472504705,0.7982760764942379,0.7796255609089786
7,150007,success,True,False,False,23,152.52520482067547,0.004895213508044903,0.00809276555115257,0.8095339924723011,0.00038503974352548234,1,0.6277818645908766,low_<0.90,mid_0.00025_0.00055,delay_1,low_<0.70,delay_1|low_<0.70|low_<0.90|mid_0.00025_0.00055,1.6462435823020298,1.3359705170477607,1.4733061086397796,1.0446851915978064
8,150008,success,True,False,False,19,148.76944266629528,0.0009202379246187357,0.008175907764380375,1.0009925182396218,0.000546370890358063,2,0.887064071353816,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.6680498864700475,1.665991060657763,1.4637390359174731,1.2943070007724675
9,150009,success,True,False,False,15,133.87990646214718,0.004022893569579471,0.007995134047068087,0.9568439110698423,9.290794370935096e-05,2,0.9216575117418153,mid_0.90_1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.7175403196487056,1.6532207150584504,1.4275578609794575,1.2166133816701028
10,150010,success,True,False,False,18,155.08287795048133,0.004660037683238712,0.008019259159717795,1.145322450034928,0.0003255408456522452,0,0.5800255110088817,high_>1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|high_>1.10|mid_0.00025_0.00055,1.7136631852819089,1.6931673919030163,1.4132296177699795,1.3106961054175383
11,150011,success,True,False,False,13,151.54617290354503,0.00499944441329904,0.00796837633663594,1.0730568596959973,0.0007726248864345416,0,0.8928544983317959,mid_0.90_1.10,high_>=0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|high_>=0.00055,1.6386934133116062,1.7320507688545248,1.4249278495169027,1.4507509023135545
12,150012,success,True,False,False,29,157.61427858469688,0.0029621570394944403,0.008125734873510648,1.0080366020144256,0.0005628968609263608,2,0.6821763211240962,mid_0.90_1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.7287766837617706,1.7190746161184627,1.508147500671646,1.3275505754884707
13,150013,success,True,False,False,10,138.46997563604415,0.0015124474918007055,0.00862444116104677,1.1439039287866812,0.00038476945035450236,0,0.8711045923115972,high_>1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|high_>1.10|mid_0.00025_0.00055,1.6689762055594435,1.7320507688545248,1.420454882647941,1.4844001161473908
14,150014,success,True,False,False,18,148.2439474300348,0.004304992680113407,0.008108283589962073,1.166278283607392,7.754136911829868e-05,2,0.6852418648766729,high_>1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|high_>1.10|low_<0.00025,1.6946446644586464,1.7320507688545248,1.5190068489303454,1.3331867579279335
15,150015,success,True,False,False,24,142.53873602842452,0.004847032091362124,0.007901565653114395,0.806300438125801,0.0001399962908596125,2,0.7256667835969498,low_<0.90,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|low_<0.90|low_<0.00025,1.7198786604663845,1.4211761903561888,1.2816608007034338,0.9437431627829108
16,150016,success,True,False,False,50,191.27034292264568,0.0048156979591094,0.008019025814510417,1.1616830663781172,0.0006498468835977999,2,0.6120498664003253,high_>1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|high_>1.10|high_>=0.00055,1.7210374965747615,1.7320507688545248,1.390616330502616,1.37430741842935
17,150017,success,True,False,False,15,137.78930828105334,0.002525928365708149,0.00811408670477809,0.8226479918818997,0.0007102598748268839,2,0.5704936712535482,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7198576818594098,1.4525243812505333,1.507515749009124,1.0416712813883153
18,150018,success,True,False,False,35,163.75189369369303,0.004517827725851574,0.00799625854152175,0.9488274201501147,0.000489917181175748,2,0.87915780064111,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.710252571928062,1.6416313221241112,1.3717531609735538,1.2203645673929246
19,150019,success,True,False,False,21,154.72302665218882,0.0034805260250470368,0.008148263730367922,1.1993678284755662,2.7238764487720425e-05,2,0.7735486913088288,high_>1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|high_>1.10|low_<0.00025,1.72664042295098,1.7320507688545248,1.5816610751286995,1.4521733587111765
20,150020,success,True,False,False,19,155.74323602273654,0.0037804830714994074,0.008102827612701535,1.1732114748396278,0.0003940949188042747,1,0.7516178230484694,high_>1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|high_>1.10|mid_0.00025_0.00055,1.7312241337272767,1.7320507688545248,1.6093571724709999,1.5390058004782583
21,150021,collision,False,True,False,120,-212.10379453975537,0.038187929242807464,0.07542288476046088,1.0981433100635252,0.00024518714001453085,1,0.7433944394053354,mid_0.90_1.10,low_<0.00025,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.7317788649525192,1.7320507688545248,1.3498519530270234,1.393659987312986
22,150022,collision,False,True,False,8,-302.71612094699867,0.03914543347095459,0.004297142857187297,0.9806091341566939,0.0003341358479602916,2,0.6166763812662226,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,1.731716829655348,1.5954037322419465,1.6198617538108953,1.065963949690409
23,150023,success,True,False,False,28,174.86745581929398,0.004881615179682588,0.007987166530073253,0.9866756026729476,0.00014790765274861465,0,0.7359150213668553,mid_0.90_1.10,low_<0.00025,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.6660851854964724,1.5633865707194432,1.2568367422579725,1.183754353026284
24,150024,success,True,False,False,11,141.11063277234993,0.004968965743745214,0.008085961085484317,1.1888378252073613,0.00012524525551676797,0,0.7980653291019542,high_>1.10,low_<0.00025,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|high_>1.10|low_<0.00025,1.6280697671062714,1.644440414020353,1.2855466542213458,1.349844915684587
25,150025,success,True,False,False,23,159.28508362834063,0.002424129990696388,0.00795871316725949,0.8429248593063863,0.0004584095623500376,1,0.9015013232739999,low_<0.90,mid_0.00025_0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|low_<0.90|mid_0.00025_0.00055,1.6859907782922108,1.4287330541362915,1.5068850787663315,1.2016972836986317
26,150026,collision,False,True,False,159,23.702210569354065,0.038285187816989856,0.078786345373969,0.8659468219785875,0.0006246421592537311,2,0.6010013879108342,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7320477577434603,1.663782564838945,1.5132048109771146,1.2770502740358727
27,150027,success,True,False,False,51,166.29859368428615,0.0048536711077546745,0.007801595374390957,0.9463681758547189,0.00020351564830442792,1,0.8773218305617929,mid_0.90_1.10,low_<0.00025,delay_1,high_>=0.85,delay_1|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.6848666728895503,1.559942722410581,0.8885268272305415,0.8064448251903793
28,150028,success,True,False,False,18,155.9860584873694,0.003022811712729153,0.0080041462767233,0.9376831950266618,0.0006794350686877281,0,0.5781332360564498,mid_0.90_1.10,high_>=0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.7301213829770659,1.6980016220334424,1.5527088247461538,1.3390361583105055
29,150029,collision,False,True,False,117,-245.40599660210535,0.03890255479283054,0.07314513079794804,1.155484679962445,0.00025047791792351886,1,0.8427925767703117,high_>1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|high_>1.10|mid_0.00025_0.00055,1.7319187688644773,1.7320507688545248,1.3194811112610652,1.365455471799684
30,150030,success,True,False,False,34,170.04283251128948,0.0047979400618440885,0.007838238711676548,0.803385036631405,0.00012586425093908977,0,0.9994425370233921,low_<0.90,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|low_<0.90|low_<0.00025,1.576722470612587,1.2788703561904973,1.131323306649602,0.9103142968142378
31,150031,collision,False,True,False,6,-291.85724969166284,0.04614282687709055,0.04840707594036264,0.9674215737000543,0.00042070322234009536,2,0.9732429762446437,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.59233368403014,1.3226567074386018,1.3796993937866013,0.8623075922319234
32,150032,success,True,False,False,41,192.72913154571805,0.004898736935120435,0.007891768522836573,0.9478911579506215,0.00043261924144478016,0,0.5739756458764045,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,1.6399130784750666,1.284801550203216,1.1767493615204268,1.0368859770335328
33,150033,collision,False,True,False,117,-252.0071530067664,0.03926441261470267,0.06947016693767505,1.1154215089614943,4.728155159942107e-05,2,0.744954824924475,high_>1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|high_>1.10|low_<0.00025,1.7319698993703505,1.7320507688545248,1.3779798948395434,1.3763452253315753
34,150034,success,True,False,False,10,141.45631430367902,0.001431639980431539,0.009039741126261935,0.855487245538864,0.00025553275135125546,0,0.942307644081914,low_<0.90,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|low_<0.90|mid_0.00025_0.00055,1.6919839823629552,1.4643815399413311,1.3859907389667971,1.1698197655858247
35,150035,success,True,False,False,27,162.91487479331016,0.004749952898629609,0.007854754132025854,0.8886235320642463,0.00030126907338384615,1,0.8521786659981787,low_<0.90,mid_0.00025_0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|low_<0.90|mid_0.00025_0.00055,1.7306182242632757,1.5848868883487668,1.4105946981674795,1.207331202227161
36,150036,success,True,False,False,10,134.0833876159997,0.004863460131442202,0.008554569153322755,1.18439891039821,0.000539997588169184,0,0.8492970125819242,high_>1.10,mid_0.00025_0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|high_>1.10|mid_0.00025_0.00055,1.6820670938883833,1.7320507688545248,1.3880760556116472,1.4225339539843742
37,150037,success,True,False,False,21,157.1560014547125,0.0041254149709573674,0.007993541333812915,1.083712882486966,0.0004807427020353478,1,0.7751123523615625,mid_0.90_1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7021162524128075,1.7222598085162102,1.5046970733553526,1.4515656546018085
38,150038,success,True,False,False,13,134.08443239011206,0.0049655965522042945,0.008449993669523037,1.1689174801271343,0.0002013018880017058,2,0.9033431918871252,high_>1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|high_>1.10|low_<0.00025,1.6955515350974113,1.7320507688545248,1.471874112294852,1.3157246322609124
39,150039,success,True,False,False,30,160.97232339676555,0.003429782199524776,0.008030821432907342,1.0329751057807994,0.00024915830021509836,2,0.6073627282053276,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,1.7315226359492335,1.7309191148771093,1.5780795369721272,1.3880951732138636
40,150040,success,True,False,False,26,175.05886891690878,0.003348257902509842,0.007989734731050357,1.1353736667427952,0.000474532164133056,0,0.9198240057690921,high_>1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|high_>1.10|mid_0.00025_0.00055,1.683187688763052,1.7320507688545248,1.262980415229297,1.3514779456257027
41,150041,success,True,False,False,24,160.8926785084641,0.002646781633178358,0.007905338586817412,0.8438340990929247,2.096551825184001e-05,1,0.9168915830019249,low_<0.90,low_<0.00025,delay_1,high_>=0.85,delay_1|high_>=0.85|low_<0.90|low_<0.00025,1.6625890687369929,1.3808008500787614,1.4887258938169279,1.1969038289199607
42,150042,collision,False,True,False,118,-239.13413845754278,0.038305524265076704,0.07412096146480363,0.9124996304692794,0.0006321021435524323,2,0.6311103746708346,mid_0.90_1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.7309082023782683,1.6883318522554631,1.447385433822181,1.2718587313917484
43,150043,success,True,False,False,21,154.74071152659212,0.004777037757721716,0.007951034526841538,0.890600004531742,0.0002797752420232379,1,0.6256932567405342,low_<0.90,mid_0.00025_0.00055,delay_1,low_<0.70,delay_1|low_<0.70|low_<0.90|mid_0.00025_0.00055,1.7225404870354486,1.4882430930844557,1.5313782233140663,1.2333900592293858
44,150044,success,True,False,False,32,165.51543531444722,0.004954346231233251,0.007937783831716838,1.1407126806808559,0.0006782818819989217,2,0.7873473014719561,high_>1.10,high_>=0.00055,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|high_>1.10|high_>=0.00055,1.4609141891251605,1.464024817753784,1.1298502715920689,1.1379281169542381
45,150045,success,True,False,False,38,191.73854903595748,0.004971621397085622,0.007819904862314542,1.072036463067012,9.649818356463539e-05,2,0.9617636617611645,mid_0.90_1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.692777611829473,1.7320507688545248,1.2514596234896367,1.2490068008876811
46,150046,success,True,False,False,13,134.55436042512514,0.002906831282581786,0.008109267549718302,1.003181122490282,0.0005533636432644624,2,0.8667435176019099,mid_0.90_1.10,high_>=0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|high_>=0.00055,1.7255314742928778,1.7320507688545248,1.559581770286427,1.2949342647770208
47,150047,success,True,False,False,14,135.97364901933662,0.003378115083191658,0.00807950474439556,1.0270583112480358,0.00044499679502977787,0,0.6409388942502631,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,1.6574571852336955,1.701369507254964,1.1561464453019092,1.0898236596794333
48,150048,success,True,False,False,37,172.48864176731047,0.0038908578367424294,0.008027339176274295,0.822920593836527,0.00018671179588914395,2,0.6383066052993672,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,1.6833166109104891,1.3683695909783835,1.4369386142326797,1.0878353503001594
49,150049,success,True,False,False,34,181.23218117584952,0.004738620061033742,0.0077535145427877206,0.951189599524483,0.0005162136977118994,0,0.6014606636526056,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,1.6338937334991388,1.4714113719039152,1.1772688131738622,1.0147049142539646
50,150050,success,True,False,False,25,156.69887666464945,0.004703586796067447,0.00796551844734339,0.9632623756374853,0.0007104815268609304,1,0.9544487565024558,mid_0.90_1.10,high_>=0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|mid_0.90_1.10|high_>=0.00055,1.7071698479408137,1.7063318166563184,1.2600004771376634,1.1499620027698465
51,150051,collision,False,True,False,139,-173.15637367121516,0.04060961231023406,0.07611174120359177,0.9200381019145059,0.0006245768225823213,2,0.6434026703142544,mid_0.90_1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.7320484567502425,1.7074580987223449,1.2732251252664748,1.1263340644692572
52,150052,success,True,False,False,20,151.61768215207468,0.00328238223359971,0.008008565575026272,1.164885822163863,0.00019877121117098284,2,0.7112580433087087,high_>1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|high_>1.10|low_<0.00025,1.714089775251357,1.7320507688545248,1.515605405953813,1.3612871044154793
53,150053,success,True,False,False,20,161.69291518841382,0.004761701850950816,0.00774138847180772,0.9339758279499326,0.0003845915833957953,0,0.6389690626246979,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,1.7252521141096646,1.558415638261756,1.3872657783978732,1.205499994404975
54,150054,collision,False,True,False,136,-15.314969606585805,0.0389216817137484,0.08014044387486241,0.8834679404956065,0.0005721103621958979,1,0.7484827744704862,low_<0.90,high_>=0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|low_<0.90|high_>=0.00055,1.7319224824094428,1.6749396820906595,1.4439486419192544,1.2640889283324792
55,150055,success,True,False,False,11,146.89561208050839,0.004814984013040948,0.004861407464138323,1.1674783189130462,0.0006226400486637029,0,0.9868856713751336,high_>1.10,high_>=0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|high_>1.10|high_>=0.00055,1.646429594952707,1.7320507688545248,1.4079013415556565,1.4743842966898035
56,150056,success,True,False,False,14,136.89863244310325,0.004826783527865983,0.00804991168860636,0.9953424960343544,0.0005815217638388961,1,0.8214765415167241,mid_0.90_1.10,high_>=0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|high_>=0.00055,1.6512857982030507,1.6753497450488666,1.4288421504215372,1.3276327634564926
57,150057,success,True,False,False,42,181.71754020635748,0.003813579052501108,0.007913850549820078,1.071416242272027,2.666677208884636e-05,2,0.9137069999702191,mid_0.90_1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.6565329612219304,1.6979417714555727,1.4028810789238475,1.4077714158125112
58,150058,success,True,False,False,15,151.7503847596471,0.0038965169608712945,0.008003310069046754,0.9475822360142219,1.3567067810206446e-05,0,0.8254779570043613,mid_0.90_1.10,low_<0.00025,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.7311783008756283,1.6314925928207045,1.566121490606262,1.4205897903348614
59,150059,success,True,False,False,16,141.33023240417492,0.004447007392959831,0.008056742500822778,0.9944750054359327,0.0005441148645485733,2,0.8668458487090853,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7300734769477077,1.7191202592993258,1.5916833501020498,1.3373171436371578
60,150060,success,True,False,False,17,157.77085454499033,0.004398522388457856,0.008087043374625402,1.0886056998195328,0.0004087408808167453,1,0.8370993813494189,mid_0.90_1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7316892245422495,1.7320507688545248,1.6096190000920547,1.5165545020216253
61,150061,success,True,False,False,67,150.4303436931222,0.004918706218976921,0.007804063644108239,0.8014163450331846,8.861340645866581e-05,0,0.9939519503122162,low_<0.90,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|low_<0.90|low_<0.00025,1.4430396161895132,1.1487936622554522,0.676266125670627,0.5405598324160126
62,150062,success,True,False,False,27,162.06691355015863,0.0022749017127687036,0.008327570368612869,1.0882610444275125,0.000221512414343601,2,0.7355121268820515,mid_0.90_1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.7284977976651035,1.7320507688545248,1.4971979576339165,1.4215191272168808
63,150063,success,True,False,False,33,183.47351373326498,0.004879086470048138,0.007838741484642808,0.9903516094654021,0.00018183006970984357,0,0.5861103440536328,mid_0.90_1.10,low_<0.00025,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|low_<0.00025,1.4811456029629708,1.3337557203360688,1.1596379248218227,1.0679944710326845
64,150064,collision,False,True,False,6,-289.88897013091963,0.04535268478851098,0.04931094986893203,1.1723018367918647,0.00025349308974907355,1,0.6839430137162352,high_>1.10,mid_0.00025_0.00055,delay_1,low_<0.70,delay_1|low_<0.70|high_>1.10|mid_0.00025_0.00055,1.437561189434253,1.5139960313834655,1.36220134779622,1.1656578614445217
65,150065,success,True,False,False,18,149.12368261143592,0.004841700344673001,0.007967341812697426,0.8724967955786669,0.0006730420543590267,0,0.7044640637180284,low_<0.90,high_>=0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|low_<0.90|high_>=0.00055,1.6014332557041784,1.422102857806365,1.2535390222599574,1.0010543957963352
66,150066,collision,False,True,False,6,-294.6457894889742,0.05528926733977417,0.04943177004391541,0.8925807577877448,0.0004067223538638086,2,0.6377235155642085,low_<0.90,mid_0.00025_0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|mid_0.00025_0.00055,1.4338207811831865,1.1378245071035122,1.287710136761653,0.6260008384272411
67,150067,success,True,False,False,10,140.36894200927773,0.004841064438050742,0.006200899623261535,0.8593395191074451,0.00023445234818904916,0,0.9616978807346334,low_<0.90,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|low_<0.90|low_<0.00025,1.6199033004737535,1.4244414530781166,1.380790171142763,1.1892316422146767
68,150068,success,True,False,False,31,173.5398553071414,0.004909705652927745,0.007912839441232888,1.130088930830424,0.000550123660043726,1,0.9016797590928285,high_>1.10,high_>=0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|high_>1.10|high_>=0.00055,1.715837203015519,1.7320507688545248,1.3565710494139769,1.388094262620005
69,150069,success,True,False,False,17,144.82830294273592,0.0036107127136734375,0.00796459197847077,1.0022839363116036,0.00012609223246275462,2,0.8473821480265635,mid_0.90_1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.6430397654122053,1.6230893539844549,1.4434709527130243,1.2687767466122934
70,150070,collision,False,True,False,158,-56.06087956894814,0.03849597470605923,0.07812733952863649,0.9877649776762247,0.0004910048449710263,1,0.9304096987673951,mid_0.90_1.10,mid_0.00025_0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.731998613003896,1.7320507688545248,1.0871155611897354,1.0498948867770652
71,150071,success,True,False,False,45,178.53360198523518,0.004217179231048536,0.008059470378664946,1.095281168788902,2.8190444790264824e-05,2,0.639507846682539,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,1.7081997372225537,1.7320507688545248,1.3564556127029102,1.3279205562315162
72,150072,collision,False,True,False,76,-275.2140422491598,0.08933677795424046,0.04497094655488898,1.0870851220441926,0.0003723715690606535,0,0.9152112824305818,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7135226920767337,1.7320507688545248,1.4391962871002764,1.4806175886563622
