episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,max_commanded_action_norm,max_applied_action_norm,mean_commanded_action_norm,mean_applied_action_norm
0,150000,success,True,False,False,23,146.8688970347883,0.004156169260103743,0.007860529484374212,0.8295827971771608,0.0006911663588039299,2,0.6812312668690125,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7300575522306665,1.5098362593229653,1.622086395310804,1.216521764257798
1,150001,success,True,False,False,44,175.68181697383113,0.004977722331086901,0.00791334547802347,0.8858448950515627,0.000700634841245441,2,0.6055022597933388,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7275868198946878,1.507948315543956,1.3459271563789936,1.1017653665548741
2,150002,collision,False,True,False,143,-116.38151645070727,0.03836882408145626,0.07617521743576394,0.8915875829054711,0.0005897677974841407,2,0.6241346198226205,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.732050500004877,1.6746472595294914,1.4377685744226392,1.243394662238415
3,150003,success,True,False,False,48,188.39437457144007,0.004834725802926138,0.00775435754629461,0.8003356442929327,0.0007797020957458882,2,0.6927220705886041,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7255945351112774,1.469744714918001,1.3295544594136386,1.0301143175858227
4,150004,collision,False,True,False,6,-295.3167765981942,0.058345520205560435,0.04788702016365631,0.8749229328132403,0.0006204852157069213,2,0.6560683710342399,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.4926150624821855,0.9488734201973664,1.2393893666105082,0.635217753621616
5,150005,success,True,False,False,46,190.3109010514115,0.004910826918230748,0.007894917604641338,0.8636004538847114,0.0005808238080839244,2,0.6032418690036031,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.660087420556272,1.4484841562446178,1.3122841687182476,1.053756298374401
6,150006,success,True,False,False,27,158.92949860582544,0.0046578050261365045,0.007983182005921408,0.83817935600808,0.0006857368157491925,2,0.6922739242785765,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6358975041840436,1.5589838652493642,1.4822906798488364,1.131862500485571
7,150007,success,True,False,False,28,154.19314647869246,0.00224803123695845,0.008147590368121627,0.8023834981180753,0.0006703249198517133,2,0.6964062186550937,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7315053366747477,1.4898398383972893,1.5296680436537338,1.1217697837193932
8,150008,collision,False,True,False,175,67.04980971779236,0.03825674517713601,0.07234296130904327,0.8502481295599055,0.0007207409032368947,2,0.6746954731177275,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7320279705145252,1.6506998692918464,1.497069750979451,1.260640114511323
9,150009,success,True,False,False,9,130.57261613691898,0.004547573586511221,0.0042550708555638694,0.8392109777674607,0.0005790337324091722,2,0.653770801817796,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7211847787371533,1.3878388294712334,1.5744749751365121,0.9233263969726069
