episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,max_commanded_action_norm,max_applied_action_norm,mean_commanded_action_norm,mean_applied_action_norm
0,150000,success,True,False,False,30,177.09031992997373,0.0048923688550567826,0.007786433748753541,0.9183311887086428,0.00045173234817257567,0,0.8212815395088511,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7300651225530477,1.5563559707341275,1.3596505993237102,1.229825116588042
1,150001,success,True,False,False,12,138.43100427052516,0.002110749046050905,0.008283617852702707,1.1433795802062507,0.00048203149198541113,1,0.9667169175333548,high_>1.10,mid_0.00025_0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|high_>1.10|mid_0.00025_0.00055,1.7063065651753087,1.7320507688545248,1.550216312997108,1.4987883228562555
2,150002,success,True,False,False,25,167.42642355519038,0.0034399173189014216,0.007953486802129817,1.1663503316218846,0.00012725695194925032,1,0.9047408101330315,high_>1.10,low_<0.00025,delay_1,high_>=0.85,delay_1|high_>=0.85|high_>1.10|low_<0.00025,1.730828049639049,1.7320507688545248,1.4758130894428254,1.4958129459505134
3,150003,collision,False,True,False,148,-31.764111360861477,0.03841818807395052,0.07723715169042511,0.8013425771717306,0.0007350467063868421,2,0.742742427527394,low_<0.90,high_>=0.00055,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|low_<0.90|high_>=0.00055,1.7320498547661307,1.655742289162143,1.5090242332955706,1.1992799577251898
4,150004,success,True,False,False,18,156.49712785329353,0.004236134174627016,0.007994149110728821,1.0996917312529608,0.00022555269026214812,0,0.9683809651816446,mid_0.90_1.10,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.5823879476421268,1.6528624019372131,1.2791927544252641,1.329891791490093
5,150005,success,True,False,False,35,195.47158968626286,0.00485673352003273,0.007987209858589361,1.0544018155388453,9.863618586855783e-05,0,0.8668203944845603,mid_0.90_1.10,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.6913962519541552,1.7320507688545248,1.1923419089481184,1.23039402295848
6,150006,success,True,False,False,34,174.07871620745618,0.004977139005395559,0.007806623386712674,0.9527174240323202,0.00043435781039741586,0,0.9863240478814571,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.696046882358628,1.667494860733891,1.0527730671007427,1.0202785404992663
7,150007,collision,False,True,False,126,-81.83168158685368,0.03858570084561762,0.07733805709260722,0.8095339924723011,0.00038503974352548234,1,0.6277818645908766,low_<0.90,mid_0.00025_0.00055,delay_1,low_<0.70,delay_1|low_<0.70|low_<0.90|mid_0.00025_0.00055,1.732047972820632,1.4788532448715712,1.424801479904875,1.125345110990869
8,150008,success,True,False,False,19,148.7529028674334,0.004827831679979582,0.00799196404941993,1.0009925182396218,0.000546370890358063,2,0.887064071353816,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7187088285748826,1.7320507688545248,1.4955347483939576,1.319197583457916
9,150009,success,True,False,False,14,132.24720895879545,0.002246011594216696,0.008238322804522857,0.9568439110698423,9.290794370935096e-05,2,0.9216575117418153,mid_0.90_1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.7149440640845035,1.649998867485947,1.5237357763615775,1.264070891796132
10,150010,success,True,False,False,20,157.37846435912462,0.002450309009126644,0.007929641562295142,1.145322450034928,0.0003255408456522452,0,0.5800255110088817,high_>1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|high_>1.10|mid_0.00025_0.00055,1.727215332897239,1.7320507688545248,1.4273083198736258,1.3608717659087197
11,150011,success,True,False,False,13,150.3442988629342,0.004259883435418687,0.008818694151898843,1.0730568596959973,0.0007726248864345416,0,0.8928544983317959,mid_0.90_1.10,high_>=0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|high_>=0.00055,1.6397530620988963,1.7320507688545248,1.4867848501822454,1.4975758889388522
12,150012,success,True,False,False,33,163.8759292582042,0.004865169748509371,0.008016889177403286,1.0080366020144256,0.0005628968609263608,2,0.6821763211240962,mid_0.90_1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.7297146413903441,1.7190746161184627,1.4854632060806559,1.3068222971815728
13,150013,success,True,False,False,7,134.63366031324287,0.003837567662348777,0.003958118306775282,1.1439039287866812,0.00038476945035450236,0,0.8711045923115972,high_>1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|high_>1.10|mid_0.00025_0.00055,1.6447279130643042,1.7289730452924132,1.3687207133089996,1.4126242678162786
14,150014,success,True,False,False,17,143.88815134358381,0.003472006778841411,0.007918127973286726,1.166278283607392,7.754136911829868e-05,2,0.6852418648766729,high_>1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|high_>1.10|low_<0.00025,1.7106660900701767,1.7320507688545248,1.5158096352384511,1.3154932947439142
15,150015,success,True,False,False,37,177.13657553354818,0.004884328202787798,0.007783902188089109,0.806300438125801,0.0001399962908596125,2,0.7256667835969498,low_<0.90,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|low_<0.90|low_<0.00025,1.7292852552664084,1.4366707698497199,1.3925724166103137,1.0512516779149266
16,150016,success,True,False,False,48,195.6030849850834,0.0048703978090350875,0.00804239500128301,1.1616830663781172,0.0006498468835977999,2,0.6120498664003253,high_>1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|high_>1.10|high_>=0.00055,1.7230196427550246,1.7320507688545248,1.4964798255584466,1.4627714564612668
17,150017,success,True,False,False,15,137.38752571628666,0.0038493216347747846,0.00790892841198576,0.8226479918818997,0.0007102598748268839,2,0.5704936712535482,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7105132767350568,1.4205366450035253,1.429675684367286,0.9906148901600077
18,150018,success,True,False,False,27,153.76614727552646,0.002804310278768824,0.008217848522979576,0.9488274201501147,0.000489917181175748,2,0.87915780064111,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.731139440369625,1.7177510962200717,1.4986708300370684,1.301212365265364
19,150019,success,True,False,False,21,154.7781335469262,0.004672795498861902,0.008360267872060678,1.1993678284755662,2.7238764487720425e-05,2,0.7735486913088288,high_>1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|high_>1.10|low_<0.00025,1.724092168858087,1.7320507688545248,1.5784388363826116,1.44581655445144
20,150020,success,True,False,False,19,155.5439126243437,0.0038436865098753267,0.008035102492717328,1.1732114748396278,0.0003940949188042747,1,0.7516178230484694,high_>1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|high_>1.10|mid_0.00025_0.00055,1.7315999642915976,1.7320507688545248,1.6171856867559686,1.5293118184072632
21,150021,collision,False,True,False,129,-248.02768980246555,0.038789910257479646,0.07661924901424899,1.0981433100635252,0.00024518714001453085,1,0.7433944394053354,mid_0.90_1.10,low_<0.00025,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.7315142902383198,1.7320507688545248,1.3074584309950312,1.350262549337817
