episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,max_commanded_action_norm,max_applied_action_norm,mean_commanded_action_norm,mean_applied_action_norm
0,150000,success,True,False,False,23,146.78617550910073,0.004193975882930515,0.00802726698402989,0.8295827971771608,0.0006911663588039299,2,0.6812312668690125,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7303088101318294,1.5106711304027194,1.6276215434627919,1.219434287202336
1,150001,success,True,False,False,33,164.55606341764388,0.0042559800011510674,0.007855726337434699,0.8858448950515627,0.000700634841245441,2,0.6055022597933388,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7292997214743764,1.5004240715073547,1.4431330674070635,1.1846428342256308
2,150002,collision,False,True,False,146,-107.77822161589063,0.03877782504561759,0.07633211767545667,0.8915875829054711,0.0005897677974841407,2,0.6241346198226205,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.732050123615503,1.6746768283368216,1.44457999588155,1.2498478033751306
3,150003,success,True,False,False,49,186.0226257180074,0.0049756042434363655,0.007773460263898024,0.8003356442929327,0.0007797020957458882,2,0.6927220705886041,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7253442985369725,1.4893579573452853,1.276263870504176,1.0013240798642402
4,150004,collision,False,True,False,6,-295.40629882353517,0.058878920699279504,0.047968176614623936,0.8749229328132403,0.0006204852157069213,2,0.6560683710342399,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.4934363133109618,0.9754199257562045,1.2697480788857014,0.6548801930796767
5,150005,success,True,False,False,42,183.48889012012955,0.004946925832544111,0.00797983320272222,0.8636004538847114,0.0005808238080839244,2,0.6032418690036031,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6703763424749383,1.482747043538477,1.35059257328438,1.0764079433375286
6,150006,collision,False,True,False,6,-293.85180216124763,0.0472186843137896,0.04810187088008111,0.83817935600808,0.0006857368157491925,2,0.6922739242785765,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6606725994050588,1.213804221492035,1.4652810453370853,0.681206734906726
7,150007,success,True,False,False,28,153.32345321960088,0.004545539182771364,0.008000798382928886,0.8023834981180753,0.0006703249198517133,2,0.6964062186550937,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7319925912135221,1.4937655757263133,1.540752415836559,1.13311150000348
8,150008,success,True,False,False,49,195.5397096419663,0.004969673111430322,0.00775624337462455,0.8502481295599055,0.0007207409032368947,2,0.6746954731177275,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6640991488756365,1.52459974086832,1.2997568268274993,1.0506561121105125
9,150009,success,True,False,False,9,130.5117498784953,0.004630561902184425,0.004386937225691723,0.8392109777674607,0.0005790337324091722,2,0.653770801817796,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7212098744030777,1.3896413747417118,1.5770632961200022,0.9245795120840543
10,150010,collision,False,True,False,6,-293.78366702222866,0.04846168496493843,0.04831828208422062,0.886330612508732,0.0006517315142663267,2,0.6407729522005293,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.4994431392945509,1.3205643800428712,1.4377045296618125,0.8111116952019235
11,150011,success,True,False,False,29,159.98023839501204,0.002888780826679755,0.007983852429672589,0.8682642149239993,0.0007914452770107943,2,0.6000081845389745,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7279974999244527,1.6170712016126918,1.5426144425065969,1.1924367867225851
12,150012,success,True,False,False,39,165.8134795455888,0.004875336926611078,0.007995231829262761,0.8520091505036065,0.0007259052690394877,2,0.6431288202573721,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7302219856056742,1.5790343529358597,1.4171759139970332,1.1241375025378906
13,150013,success,True,False,False,14,132.49539855491187,0.003929851234918275,0.007965476817442418,0.8859759821966703,0.000670240453235782,2,0.5580604549860986,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7149648116822218,1.6424081761495226,1.56987360988064,1.1542194058789057
14,150014,success,True,False,False,39,175.42093501134022,0.0017152810191422465,0.00802074422435084,0.8915695709018481,0.0005742316778494684,2,0.6438818295573948,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7281167467793663,1.5344408316286435,1.4889273862933317,1.2035892349574204
15,150015,success,True,False,False,27,154.7313875764605,0.0045625012110261836,0.007959190457172416,0.8015751095314503,0.000593748840893629,2,0.5905379035580516,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7297067922052038,1.4871047383738654,1.434628116052488,1.07871941389349
16,150016,success,True,False,False,52,202.4775615470803,0.004876595207527088,0.007809284180340659,0.8904207665945294,0.0007530771511243125,2,0.674076077079595,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6430769819136632,1.5720048807346902,1.2195911606524197,1.0172468688663878
17,150017,success,True,False,False,76,199.61379927418636,0.004814851390738161,0.007754818387834317,0.805661997970475,0.0007719562108834012,2,0.6257982633644343,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7215811599484967,1.4312323750262783,1.076547314867709,0.8359375890450247
18,150018,success,True,False,False,36,167.27213488705735,0.0012442891745974864,0.008012219442370294,0.8372068550375287,0.0007030991191174212,2,0.5671803497692451,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.634848635025198,1.4378817200852902,1.4086687343639064,1.089212733386768
19,150019,success,True,False,False,36,176.73614719063482,0.004932414684881438,0.007841862940786815,0.8998419571188916,0.0005585121139024126,2,0.6164891272722774,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7250344858758673,1.5948396207031021,1.4501884106641423,1.183923673556383
20,150020,success,True,False,False,34,165.35528368632083,0.0030134527869509057,0.008038007410217984,0.8933028687099069,0.0006731546621263359,2,0.6886347353721743,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7296699892306715,1.591231410914773,1.5317526013270817,1.247842802272342
21,150021,success,True,False,False,28,150.45901804174915,0.0033101056342503027,0.008152449511900195,0.8745358275158813,0.000626620981254541,2,0.6783850486074045,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7041580911174425,1.5277443039194198,1.4959358195681243,1.1637366618103135
22,150022,success,True,False,False,25,152.29338845385632,0.0008312814948953039,0.007999484340164398,0.8451522835391735,0.0006544174524875911,2,0.6188951513555275,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7317725710718146,1.5864105816659408,1.6312291359835558,1.2462735688827318
23,150023,collision,False,True,False,6,-292.77978003428484,0.04654687534822607,0.04835955072595444,0.846668900668237,0.0005962211414839422,2,0.6902290966958614,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6465098590533818,1.3006099907535262,1.519952281198622,0.7533612883551082
24,150024,success,True,False,False,23,149.9855723761299,0.0044415247406190414,0.00794557636344162,0.8972094563018403,0.00058913914234899,2,0.5643079279234962,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7314030807152592,1.6129828883766422,1.616290105483379,1.22755644337891
25,150025,collision,False,True,False,7,-290.2672115841064,0.04602931370117447,0.04859526950065751,0.8107312148265966,0.0006932529882343868,2,0.6290192876776709,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6670836077761364,1.449007294590474,1.6064706846228665,0.8785263554728345
26,150026,success,True,False,False,63,220.2920213232204,0.004872094272965372,0.007808695918679276,0.816486705494647,0.000745200674766791,2,0.6672419864505884,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7083641242258423,1.487630591371514,1.2892022235691392,1.017220026629944
27,150027,success,True,False,False,35,166.1534865251649,0.004775518478227566,0.007915347364893854,0.8365920439636798,0.0006135986400951337,2,0.6690980045288288,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.725017094482528,1.438925124497835,1.413139827331224,1.0897069408548985
28,150028,collision,False,True,False,153,15.735705722229852,0.03819985799130113,0.07827656243740189,0.8344207987566655,0.0007623234589649151,2,0.5952429662454816,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7320068390841534,1.5783088140647352,1.4805597959205459,1.2151794632121853
29,150029,success,True,False,False,32,167.4868368081298,0.00489281438474826,0.008062623930158996,0.8888711699906113,0.0006282743493510997,2,0.6570363196078896,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6458867797785572,1.5761183427038896,1.4367769085236426,1.1794322499924972
30,150030,success,True,False,False,24,141.22536845641775,0.004993025389988771,0.00785654305100425,0.8008462591578512,0.0005893325784184656,2,0.6547596611546785,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.5243325110335901,1.2798320912950731,1.1889791380831554,0.8546354099195107
31,150031,collision,False,True,False,6,-293.2309748090362,0.047571317688299655,0.04878451095027003,0.8418553934250136,0.0006814697569812798,2,0.6936479038624606,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.6137461112738214,1.3266587675355788,1.4002154316422546,0.7179561856605616
32,150032,collision,False,True,False,6,-293.44581466211974,0.045090297855829825,0.049351212137384026,0.8369727894876554,0.0006851935129514938,2,0.6563198562773661,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.4165460633211464,1.2196911883451185,1.344452678621243,0.7706415295784174
33,150033,success,True,False,False,27,150.90093582398387,0.004867641304600006,0.0079653305087799,0.8788553772403737,0.0005647754848748191,2,0.614902141805039,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7269933749188189,1.6181463747481357,1.5146831868141448,1.177293805350366
34,150034,collision,False,True,False,6,-296.6957603051875,0.06224041129985832,0.04940351062440451,0.813871811384716,0.0006298539847972674,2,0.5782788353056909,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.3982728841823553,0.9384227033017924,1.260464257536322,0.58273999992685
35,150035,success,True,False,False,25,150.07299227470324,0.004271479162840214,0.00798297060911346,0.8221558830160616,0.0006441465854324519,2,0.5891019264114299,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.731408681251662,1.6180296873888864,1.5791604089221247,1.1757516598132194
36,150036,success,True,False,False,25,152.76344933568652,0.0035673587721089628,0.008193071617831671,0.8960997275995525,0.00071874924630287,2,0.5646759424740913,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7275674810429347,1.6217613027941375,1.6219417982799458,1.2435647309578115
37,150037,success,True,False,False,28,154.041863362159,0.002735188634956215,0.007974290241383186,0.8709282206217415,0.0007002320943860462,2,0.6513294551180802,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7128187640638073,1.5940177138822602,1.507385451799861,1.2248002090058328
38,150038,success,True,False,False,14,135.03861370377766,0.004022393841449634,0.00802948386787028,0.8922293700317836,0.0006129068400005331,2,0.656535913758101,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7180550824913474,1.5455556783422415,1.5397869057862317,1.1297637485560383
39,150039,success,True,False,False,52,193.37887295752688,0.004944902239537976,0.007786762522952406,0.8582437764451999,0.0006278619688172182,2,0.5688346290703425,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7227331452877184,1.4109181678042355,1.2776927607550304,0.9961620478086739
40,150040,success,True,False,False,43,171.17652053262313,0.003759748030084018,0.007950212196692674,0.8838434166856989,0.00069829130129158,2,0.6892610747943195,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.72739642830423,1.7320507688545248,1.399818151248488,1.1503354994736517
