episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,max_commanded_action_norm,max_applied_action_norm,mean_commanded_action_norm,mean_applied_action_norm
0,150000,success,True,False,False,15,153.8994419853624,0.004538165630008711,0.008036635040816753,0.9183311887086428,0.00045173234817257567,0,0.8212815395088511,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7096692217871123,1.6195431139152736,1.5365011645527864,1.3765918912110642
1,150001,success,True,False,False,12,139.44168025988662,0.004096357665767761,0.007905917904410309,1.1433795802062507,0.00048203149198541113,1,0.9667169175333548,high_>1.10,mid_0.00025_0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|high_>1.10|mid_0.00025_0.00055,1.661382777946666,1.717824474032862,1.4240517483573945,1.4040866305054625
2,150002,success,True,False,False,22,162.3269085000051,0.004542885601874452,0.008003950643744595,1.1663503316218846,0.00012725695194925032,1,0.9047408101330315,high_>1.10,low_<0.00025,delay_1,high_>=0.85,delay_1|high_>=0.85|high_>1.10|low_<0.00025,1.684238044586179,1.7320507688545248,1.514018604991204,1.5140982608754419
3,150003,collision,False,True,False,152,-13.867941423948821,0.03849192921276042,0.08432508906807767,0.8013425771717306,0.0007350467063868421,2,0.742742427527394,low_<0.90,high_>=0.00055,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|low_<0.90|high_>=0.00055,1.731890547695251,1.578160676179435,1.5044404283598005,1.1928344067734096
4,150004,success,True,False,False,17,157.93103580245162,0.004894349368307774,0.007955710002217509,1.0996917312529608,0.00022555269026214812,0,0.9683809651816446,mid_0.90_1.10,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.6098761641533308,1.7112455489050822,1.267657450774096,1.3278429165886845
5,150005,success,True,False,False,12,148.88586532993494,0.0043452015545210896,0.008196187360383522,1.0544018155388453,9.863618586855783e-05,0,0.8668203944845603,mid_0.90_1.10,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.5268698881045137,1.572476258083222,1.3805127570965643,1.3872031904865156
6,150006,success,True,False,False,28,176.10960952134818,0.0049513361907254465,0.007795972220603464,0.9527174240323202,0.00043435781039741586,0,0.9863240478814571,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.652489356924599,1.6192790600826745,1.215607055655571,1.172124598093519
7,150007,success,True,False,False,24,153.14171822555073,0.0041424151231257466,0.008085095405620302,0.8095339924723011,0.00038503974352548234,1,0.6277818645908766,low_<0.90,mid_0.00025_0.00055,delay_1,low_<0.70,delay_1|low_<0.70|low_<0.90|mid_0.00025_0.00055,1.7204407285389793,1.3723569407344083,1.5351133012673976,1.0960422223459567
8,150008,success,True,False,False,21,149.46845924466572,0.0027475250998881652,0.008034750919935219,1.0009925182396218,0.000546370890358063,2,0.887064071353816,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7155983143635025,1.687861466376696,1.5006725390738858,1.3791237915077337
9,150009,success,True,False,False,39,167.3390985415707,0.004648592855347705,0.007960130196668747,0.9568439110698423,9.290794370935096e-05,2,0.9216575117418153,mid_0.90_1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.7309465846578573,1.6745425425426261,1.4461318951438602,1.3202796873509512
10,150010,success,True,False,False,20,156.46130100434308,0.0023106767972683965,0.008007728198302533,1.145322450034928,0.0003255408456522452,0,0.5800255110088817,high_>1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|high_>1.10|mid_0.00025_0.00055,1.7094299530308876,1.7047083236516891,1.3619074160589908,1.3098949696347835
11,150011,success,True,False,False,11,147.0586349057517,0.004133533689566742,0.005068867208559813,1.0730568596959973,0.0007726248864345416,0,0.8928544983317959,mid_0.90_1.10,high_>=0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|high_>=0.00055,1.6774090534481338,1.7320507688545248,1.5025387011887978,1.5018678464821684
12,150012,success,True,False,False,31,162.50800755026154,0.004409187693378449,0.008014033301484536,1.0080366020144256,0.0005628968609263608,2,0.6821763211240962,mid_0.90_1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.7250742692851413,1.7168783874397593,1.4577512007327256,1.280218257483686
13,150013,success,True,False,False,8,136.79240985791023,0.004936113067268807,0.004571688206789215,1.1439039287866812,0.00038476945035450236,0,0.8711045923115972,high_>1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|high_>1.10|mid_0.00025_0.00055,1.5879672981186599,1.7058166074831305,1.3355024588750173,1.3973779873874381
14,150014,success,True,False,False,17,147.49679572927175,0.002498121819123816,0.008460256182902137,1.166278283607392,7.754136911829868e-05,2,0.6852418648766729,high_>1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|high_>1.10|low_<0.00025,1.7289304184078742,1.7320507688545248,1.5776694729104568,1.351021607080614
