name,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,scale_range,noise_std_range,delay_range,filter_alpha_range
visual_camera_reference,50,0.94,0.02,0.04,143.5373349430193,28.16,1.0:1.0,0.0:0.0,0:0,1.0:1.0
scale_only,50,0.92,0.02,0.06,141.31637113757282,32.32,0.8:1.2,0.0:0.0,0:0,1.0:1.0
noise_only,50,0.96,0.02,0.02,150.09235145193747,24.92,1.0:1.0,0.0:0.0008,0:0,1.0:1.0
delay_only,50,0.88,0.02,0.1,142.31457260854086,39.5,1.0:1.0,0.0:0.0,0:2,1.0:1.0
filter_only,50,0.94,0.02,0.04,143.7047471864131,28.2,1.0:1.0,0.0:0.0,0:0,0.55:1.0
delay_filter,50,0.9,0.02,0.08,142.424420820169,36.22,1.0:1.0,0.0:0.0,0:2,0.55:1.0
default_control,50,0.88,0.02,0.1,134.44710982544882,40.74,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
high_noise,50,0.92,0.02,0.06,139.46507217770676,33.88,1.0:1.0,0.0:0.0015,0:0,1.0:1.0
high_delay,50,0.78,0.02,0.2,123.38557955579907,57.68,1.0:1.0,0.0:0.0,0:3,1.0:1.0
high_all,50,0.72,0.1,0.18,84.50444209214618,55.8,0.75:1.25,0.0:0.0015,0:3,0.4:1.0
