name,model_path,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,scale_range,noise_std_range,delay_range,filter_alpha_range
visual_camera_reference,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,1.0,0.0,0.0,160.0051224145178,18.833333333333332,1.0:1.0,0.0:0.0,0:0,1.0:1.0
scale_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,1.0,0.0,0.0,163.62651121315557,21.966666666666665,0.8:1.2,0.0:0.0,0:0,1.0:1.0
noise_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9666666666666667,0.03333333333333333,0.0,152.85608755318358,22.4,1.0:1.0,0.0:0.0008,0:0,1.0:1.0
delay_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9333333333333333,0.06666666666666667,0.0,138.03173027228732,23.9,1.0:1.0,0.0:0.0,0:2,1.0:1.0
filter_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9666666666666667,0.03333333333333333,0.0,155.70890986298107,26.333333333333332,1.0:1.0,0.0:0.0,0:0,0.55:1.0
delay_filter,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9,0.1,0.0,122.11073601387817,25.4,1.0:1.0,0.0:0.0,0:2,0.55:1.0
default_control,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8,0.2,0.0,90.1894730985536,38.5,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
high_noise,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,1.0,0.0,0.0,157.34292677879458,18.166666666666668,1.0:1.0,0.0:0.0015,0:0,1.0:1.0
high_delay,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8,0.2,0.0,77.03080553700148,23.233333333333334,1.0:1.0,0.0:0.0,0:3,1.0:1.0
high_all,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.7333333333333333,0.26666666666666666,0.0,63.76961144219735,34.93333333333333,0.75:1.25,0.0:0.0015,0:3,0.4:1.0
