name,model_path,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,scale_range,noise_std_range,delay_range,filter_alpha_range
visual_camera_reference,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,1.0,0.0,0.0,160.38652481658775,18.533333333333335,1.0:1.0,0.0:0.0,0:0,1.0:1.0
scale_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9333333333333333,0.06666666666666667,0.0,145.3281782696659,27.133333333333333,0.8:1.2,0.0:0.0,0:0,1.0:1.0
noise_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9,0.1,0.0,133.07906535442808,27.1,1.0:1.0,0.0:0.0008,0:0,1.0:1.0
delay_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9,0.1,0.0,117.66890975910934,26.933333333333334,1.0:1.0,0.0:0.0,0:2,1.0:1.0
filter_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9,0.1,0.0,137.5363231150314,29.866666666666667,1.0:1.0,0.0:0.0,0:0,0.55:1.0
delay_filter,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.7666666666666667,0.23333333333333334,0.0,73.60062444286864,40.233333333333334,1.0:1.0,0.0:0.0,0:2,0.55:1.0
default_control,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8,0.2,0.0,84.71616865666682,29.933333333333334,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
high_noise,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9333333333333333,0.06666666666666667,0.0,138.00125624259192,23.966666666666665,1.0:1.0,0.0:0.0015,0:0,1.0:1.0
high_delay,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.7666666666666667,0.2,0.03333333333333333,72.64690628060143,32.8,1.0:1.0,0.0:0.0,0:3,1.0:1.0
high_all,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.5666666666666667,0.43333333333333335,0.0,14.519865786913021,50.93333333333333,0.75:1.25,0.0:0.0015,0:3,0.4:1.0
