name,model_path,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,scale_range,noise_std_range,delay_range,filter_alpha_range
visual_camera_reference,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9333333333333333,0.06666666666666667,0.0,137.33198061085707,24.266666666666666,1.0:1.0,0.0:0.0,0:0,1.0:1.0
scale_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9,0.1,0.0,129.66525833613605,29.633333333333333,0.8:1.2,0.0:0.0,0:0,1.0:1.0
noise_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9,0.1,0.0,131.9903616132285,27.066666666666666,1.0:1.0,0.0:0.0008,0:0,1.0:1.0
delay_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8666666666666667,0.13333333333333333,0.0,117.97001834245312,32.2,1.0:1.0,0.0:0.0,0:2,1.0:1.0
filter_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9,0.1,0.0,136.20548522738505,29.966666666666665,1.0:1.0,0.0:0.0,0:0,0.55:1.0
delay_filter,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.7333333333333333,0.26666666666666666,0.0,58.323784372657116,32.6,1.0:1.0,0.0:0.0,0:2,0.55:1.0
default_control,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8666666666666667,0.13333333333333333,0.0,107.64200105047104,29.633333333333333,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
high_noise,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8666666666666667,0.13333333333333333,0.0,122.31931271073486,30.1,1.0:1.0,0.0:0.0015,0:0,1.0:1.0
high_delay,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.7666666666666667,0.23333333333333334,0.0,69.15361927379736,30.933333333333334,1.0:1.0,0.0:0.0,0:3,1.0:1.0
high_all,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.7,0.3,0.0,61.51595651152761,43.9,0.75:1.25,0.0:0.0015,0:3,0.4:1.0
