name,model_path,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,scale_range,noise_std_range,delay_range,filter_alpha_range
visual_camera_reference,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9666666666666667,0.03333333333333333,0.0,148.79630933242726,22.033333333333335,1.0:1.0,0.0:0.0,0:0,1.0:1.0
scale_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9333333333333333,0.06666666666666667,0.0,136.90117556271846,25.666666666666668,0.8:1.2,0.0:0.0,0:0,1.0:1.0
noise_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,1.0,0.0,0.0,158.9986041310086,18.366666666666667,1.0:1.0,0.0:0.0008,0:0,1.0:1.0
delay_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9333333333333333,0.06666666666666667,0.0,131.88693765516817,23.6,1.0:1.0,0.0:0.0,0:2,1.0:1.0
filter_only,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9333333333333333,0.06666666666666667,0.0,151.45370559855465,30.2,1.0:1.0,0.0:0.0,0:0,0.55:1.0
delay_filter,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8666666666666667,0.13333333333333333,0.0,102.33795216481562,23.9,1.0:1.0,0.0:0.0,0:2,0.55:1.0
default_control,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8,0.2,0.0,88.0453208920948,30.9,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
high_noise,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.9666666666666667,0.03333333333333333,0.0,149.7035677556549,20.866666666666667,1.0:1.0,0.0:0.0015,0:0,1.0:1.0
high_delay,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.8333333333333334,0.16666666666666666,0.0,82.5562116325541,20.166666666666668,1.0:1.0,0.0:0.0,0:3,1.0:1.0
high_all,mujoco_peg_in_hole\assets\ur5e_adapter\ur5e_peg_in_hole.xml,30,0.7666666666666667,0.23333333333333334,0.0,68.64704784737583,30.466666666666665,0.75:1.25,0.0:0.0015,0:3,0.4:1.0
