tier,scenario,guard_mode,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,mean_hole_half_size,mean_peg_radius,mean_clearance,min_clearance,max_clearance,tier_min_clearance,tier_max_clearance,mean_clearance_mm,tier_min_clearance_mm,tier_max_clearance_mm,hole_half_size_range,peg_radius_range,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
wide_current,full_contact_light,no_guard,30,0.5,0.4666666666666667,0.03333333333333333,-49.98119375191517,24.666666666666668,0.0,0.0,0.0,False,0.01602437010336848,0.026655967232305063,0.02688672477765349,0.012028188682370008,0.014858536095283486,0.012873910071810659,0.017388164666954822,0.0125,0.0175,14.858536095283487,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,full_contact_light,guard_blend_075,30,0.6333333333333333,0.3333333333333333,0.03333333333333333,6.018760047530932,36.96666666666667,35.7,0.9657348963029757,1.0,True,0.012647554651422624,0.025754419762763877,0.02688672477765349,0.012028188682370008,0.014858536095283486,0.012873910071810659,0.017388164666954822,0.0125,0.0175,14.858536095283487,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,full_contact_light,guard_blend_100,30,0.6333333333333333,0.3,0.06666666666666667,17.77253879812469,40.9,39.63333333333333,0.9690301548492257,1.0,True,0.011459674225670152,0.027241878038980497,0.02688672477765349,0.012028188682370008,0.014858536095283486,0.012873910071810659,0.017388164666954822,0.0125,0.0175,14.858536095283487,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_contact_light,no_guard,30,0.5,0.43333333333333335,0.06666666666666667,-36.891790813906326,29.266666666666666,0.0,0.0,0.0,False,0.01750713967249873,0.027264599686421188,0.02188672477765349,0.012028188682370008,0.009858536095283485,0.007873910071810658,0.012388164666954821,0.0075,0.0125,9.858536095283485,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_contact_light,guard_blend_075,30,0.5666666666666667,0.3333333333333333,0.1,-0.9557691360340154,49.4,48.13333333333333,0.9743589743589743,1.0,True,0.012886861551191398,0.03178049145493621,0.02188672477765349,0.012028188682370008,0.009858536095283485,0.007873910071810658,0.012388164666954821,0.0075,0.0125,9.858536095283485,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_contact_light,guard_blend_100,30,0.5333333333333333,0.3333333333333333,0.13333333333333333,-15.50746412544462,48.56666666666667,47.3,0.9739190116678105,1.0,True,0.012823765166051704,0.033421341080954424,0.02188672477765349,0.012028188682370008,0.009858536095283485,0.007873910071810658,0.012388164666954821,0.0075,0.0125,9.858536095283485,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
narrow,full_contact_light,no_guard,30,0.3,0.6,0.1,-112.30040010380526,40.06666666666667,0.0,0.0,0.0,False,0.02250958312052233,0.03296825275927394,0.018886724777653494,0.012028188682370008,0.006858536095283487,0.0048739100718106585,0.009388164666954822,0.0045000000000000005,0.009500000000000001,6.858536095283487,4.500000000000001,9.500000000000002,0.017:0.021,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
narrow,full_contact_light,guard_blend_075,30,0.6,0.3333333333333333,0.06666666666666667,-7.806348702862083,35.53333333333333,34.3,0.9652908067542214,1.0,True,0.012794339410155085,0.027219000638929253,0.018886724777653494,0.012028188682370008,0.006858536095283487,0.0048739100718106585,0.009388164666954822,0.0045000000000000005,0.009500000000000001,6.858536095283487,4.500000000000001,9.500000000000002,0.017:0.021,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
narrow,full_contact_light,guard_blend_100,30,0.5,0.4,0.1,-43.32858368831506,50.63333333333333,49.4,0.9756418696510862,1.0,True,0.013586299563702529,0.03397463060596589,0.018886724777653494,0.012028188682370008,0.006858536095283487,0.0048739100718106585,0.009388164666954822,0.0045000000000000005,0.009500000000000001,6.858536095283487,4.500000000000001,9.500000000000002,0.017:0.021,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
tight,full_contact_light,no_guard,30,0.2,0.7333333333333333,0.06666666666666667,-182.98956229127427,37.1,0.0,0.0,0.0,False,0.025572557323874964,0.03732108960324165,0.01641504358324012,0.012028188682370008,0.004386854900870111,0.0027933143933445044,0.006407443405599244,0.0024999999999999988,0.006499999999999999,4.386854900870111,2.4999999999999987,6.499999999999999,0.015:0.018,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
