tier,scenario,guard_mode,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,mean_hole_half_size,mean_peg_radius,mean_clearance,min_clearance,max_clearance,tier_min_clearance,tier_max_clearance,mean_clearance_mm,tier_min_clearance_mm,tier_max_clearance_mm,hole_half_size_range,peg_radius_range,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
wide_current,full_light_geometry,no_guard,30,0.5666666666666667,0.4,0.03333333333333333,-24.51714195102898,20.8,0.0,0.0,0.0,False,0.01542946859613018,0.025974865190171805,0.02688672477765349,0.012028188682370008,0.014858536095283486,0.012873910071810659,0.017388164666954822,0.0125,0.0175,14.858536095283487,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,full_light_geometry,guard_blend_075,30,0.6,0.3333333333333333,0.06666666666666667,7.316926275075218,37.96666666666667,36.7,0.9666374012291484,1.0,True,0.012900953081392323,0.028299743447436878,0.02688672477765349,0.012028188682370008,0.014858536095283486,0.012873910071810659,0.017388164666954822,0.0125,0.0175,14.858536095283487,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,full_light_geometry,guard_blend_100,30,0.5333333333333333,0.3333333333333333,0.13333333333333333,4.611354893285944,49.1,47.833333333333336,0.9742023082145282,1.0,True,0.012336708743199356,0.03267666839188391,0.02688672477765349,0.012028188682370008,0.014858536095283486,0.012873910071810659,0.017388164666954822,0.0125,0.0175,14.858536095283487,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
wide_current,hard_full_light_bucket,no_guard,30,0.2,0.8,0.0,-192.1940238563825,22.366666666666667,0.0,0.0,0.0,False,0.02704509032137109,0.03963003728060689,0.02711040229284406,0.011971681194413374,0.015138721098430685,0.013102978153839769,0.016961053031526847,0.0125,0.0175,15.138721098430684,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
wide_current,hard_full_light_bucket,guard_blend_075,30,0.4,0.6,0.0,-115.14968835528082,21.433333333333334,19.933333333333334,0.9300155520995335,0.9666666666666667,True,0.02190215113527452,0.032396157189715453,0.02711040229284406,0.011971681194413374,0.015138721098430685,0.013102978153839769,0.016961053031526847,0.0125,0.0175,15.138721098430684,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
wide_current,hard_full_light_bucket,guard_blend_100,30,0.3333333333333333,0.6666666666666666,0.0,-151.43565437375327,13.833333333333334,12.333333333333334,0.891566265060241,0.9666666666666667,True,0.023257349307662125,0.03367026291801752,0.02711040229284406,0.011971681194413374,0.015138721098430685,0.013102978153839769,0.016961053031526847,0.0125,0.0175,15.138721098430684,12.5,17.5,0.025:0.029,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
medium,full_light_geometry,no_guard,30,0.5333333333333333,0.4,0.06666666666666667,-15.241674535537687,32.96666666666667,0.0,0.0,0.0,False,0.016595943753403404,0.025644515106146605,0.02188672477765349,0.012028188682370008,0.009858536095283485,0.007873910071810658,0.012388164666954821,0.0075,0.0125,9.858536095283485,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_light_geometry,guard_blend_075,30,0.6666666666666666,0.26666666666666666,0.06666666666666667,21.35169007188637,35.1,33.833333333333336,0.9639126305792973,1.0,True,0.011578703271636478,0.024955520069142492,0.02188672477765349,0.012028188682370008,0.009858536095283485,0.007873910071810658,0.012388164666954821,0.0075,0.0125,9.858536095283485,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,full_light_geometry,guard_blend_100,30,0.5333333333333333,0.43333333333333335,0.03333333333333333,-50.51177255946356,46.06666666666667,44.8,0.9725036179450071,1.0,True,0.013727920613567195,0.03272774229674303,0.02188672477765349,0.012028188682370008,0.009858536095283485,0.007873910071810658,0.012388164666954821,0.0075,0.0125,9.858536095283485,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
medium,hard_full_light_bucket,no_guard,30,0.3,0.7,0.0,-164.8847934047843,11.866666666666667,0.0,0.0,0.0,False,0.026625437322547654,0.03648999426159911,0.02211040229284406,0.011971681194413374,0.010138721098430685,0.008102978153839768,0.011961053031526846,0.0075,0.0125,10.138721098430686,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
medium,hard_full_light_bucket,guard_blend_075,30,0.3333333333333333,0.6666666666666666,0.0,-151.8518516591775,15.433333333333334,13.9,0.9006479481641468,0.9666666666666667,True,0.02409081465807573,0.03567155957429927,0.02211040229284406,0.011971681194413374,0.010138721098430685,0.008102978153839768,0.011961053031526846,0.0075,0.0125,10.138721098430686,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
medium,hard_full_light_bucket,guard_blend_100,30,0.3333333333333333,0.6666666666666666,0.0,-153.94280618396266,10.266666666666667,8.733333333333333,0.8506493506493505,0.9666666666666667,True,0.023522680227140182,0.034960800548654476,0.02211040229284406,0.011971681194413374,0.010138721098430685,0.008102978153839768,0.011961053031526846,0.0075,0.0125,10.138721098430686,7.5,12.5,0.02:0.024,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
narrow,full_light_geometry,no_guard,30,0.3,0.6,0.1,-118.59042039978331,39.2,0.0,0.0,0.0,False,0.021477685196953318,0.032195230343573404,0.018886724777653494,0.012028188682370008,0.006858536095283487,0.0048739100718106585,0.009388164666954822,0.0045000000000000005,0.009500000000000001,6.858536095283487,4.500000000000001,9.500000000000002,0.017:0.021,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
narrow,full_light_geometry,guard_blend_075,30,0.5333333333333333,0.3333333333333333,0.13333333333333333,-14.328660648753447,42.06666666666667,40.766666666666666,0.9690966719492867,1.0,True,0.013620748161763861,0.0319275717630098,0.018886724777653494,0.012028188682370008,0.006858536095283487,0.0048739100718106585,0.009388164666954822,0.0045000000000000005,0.009500000000000001,6.858536095283487,4.500000000000001,9.500000000000002,0.017:0.021,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
narrow,full_light_geometry,guard_blend_100,30,0.5,0.43333333333333335,0.1,-47.67210631655579,47.8,46.5,0.9728033472803348,1.0,True,0.014324058907416504,0.03425332559103817,0.018886724777653494,0.012028188682370008,0.006858536095283487,0.0048739100718106585,0.009388164666954822,0.0045000000000000005,0.009500000000000001,6.858536095283487,4.500000000000001,9.500000000000002,0.017:0.021,0.0115:0.0125,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
narrow,hard_full_light_bucket,no_guard,30,0.16666666666666666,0.7666666666666667,0.06666666666666667,-186.5629021035905,23.666666666666668,0.0,0.0,0.0,False,0.03053393763669762,0.03794208069985144,0.01911040229284406,0.011971681194413374,0.007138721098430685,0.005102978153839768,0.008961053031526847,0.0045000000000000005,0.009500000000000001,7.138721098430685,4.500000000000001,9.500000000000002,0.017:0.021,0.0115:0.0125,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
