episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,final_xy_bucket,min_xy_bucket,mean_action_z,mean_action_xy_norm,last_action_x,last_action_y,last_action_z,hole_half_size,peg_radius,hole_clearance
0,730000,success,True,False,False,9,132.7410033867731,0.0030498492416852906,0.005431333087620782,0.002932890029826252,0.005431333087620782,aligned_<0.005,aligned_<0.005,-0.0015911304184959994,0.005068192251970912,0.0006151292473077774,0.0032176636159420013,0.0006205765530467033,0.027476129654050448,0.012,0.015476129654050447
1,730001,collision,False,True,False,174,-97.37658725082932,0.020244536353652164,0.04624372263570753,0.004602566842243207,0.006343969396030991,off_0.015_0.030,aligned_<0.005,0.0030855909618816672,0.006486152257398851,-0.004917904268950224,0.004999999888241291,-0.004999991040676832,0.025913496524335507,0.012,0.013913496524335506
2,730002,collision,False,True,False,168,-201.6344915111739,0.024328115369218393,0.07033259393934721,0.0003269580730125687,0.006333580044999065,off_0.015_0.030,aligned_<0.005,-0.002455856725906155,0.006056479618336948,-0.004982556216418743,0.004999999888241291,-0.004999999422580004,0.02796829452298795,0.012,0.01596829452298795
3,730003,success,True,False,False,11,141.62684046702904,0.004849945706791762,0.008395038334488736,0.0024169593645322865,0.006136520660098732,aligned_<0.005,aligned_<0.005,0.00027747839604589075,0.006061303321758268,0.004915575496852398,0.004439161159098148,0.004819605499505997,0.025922078615322204,0.012,0.013922078615322204
4,730004,success,True,False,False,28,154.64228707868335,0.004993677159245273,0.00786246659956047,0.004993677159245273,0.005419805909443132,aligned_<0.005,aligned_<0.005,0.001177924552134105,0.005324765574278629,0.004474698565900326,-0.0008795307949185371,0.00230076489970088,0.027745774457460883,0.012,0.015745774457460882
5,730005,success,True,False,False,48,207.76537832034677,0.0048308807136312575,0.007809219752323515,0.0048308807136312575,0.004676773086544239,aligned_<0.005,aligned_<0.005,0.0027085387118859217,0.005211879767006,0.004835226573050022,-0.0025453991256654263,0.0026309010572731495,0.028998438326786693,0.012,0.016998438326786693
6,730006,success,True,False,False,9,131.15282763617162,0.0007481866977139877,0.005514550683505703,0.0007481866977139877,0.005514550683505703,aligned_<0.005,aligned_<0.005,-0.001475564462857114,0.005494158586384971,0.002566870301961899,0.0030409954488277435,0.001923686359077692,0.025920215692013446,0.012,0.013920215692013446
7,730007,success,True,False,False,11,129.40307696414624,0.0023056206380966697,0.007879792973943589,0.0023056206380966697,0.005503326955942134,aligned_<0.005,aligned_<0.005,-0.0005395732481371273,0.0046946266272263155,0.004082278348505497,0.00212571257725358,0.0033873319625854492,0.028367614548839952,0.012,0.01636761454883995
8,730008,success,True,False,False,13,143.91273251416033,0.0049602674277404194,0.007649739157705948,0.003029915230712251,0.00690797564368717,aligned_<0.005,aligned_<0.005,0.001621884419224583,0.005228737736833305,0.0033772801980376244,0.003400922752916813,0.004200844094157219,0.02899360304974216,0.012,0.01699360304974216
9,730009,collision,False,True,False,123,-128.06199184769514,0.021980905608109377,0.07744170276595774,0.0013704973025210228,0.0055214061210902,off_0.015_0.030,aligned_<0.005,-0.0010359674082629808,0.0052755126346656495,-0.00499996542930603,0.004999999888241291,-0.004999999888241291,0.028419073913528332,0.012,0.016419073913528332
