episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,final_xy_bucket,min_xy_bucket,mean_action_z,mean_action_xy_norm,last_action_x,last_action_y,last_action_z,hole_half_size,peg_radius,hole_clearance
0,740000,collision,False,True,False,7,-289.65754111496756,0.023962942984867525,0.047650804856633866,0.023962942984867525,0.047650804856633866,off_0.015_0.030,off_0.015_0.030,1.487468502351216e-05,0.006211860292854059,-0.004964717663824558,0.004347417503595352,-0.004903383087366819,0.02103981585161035,0.012,0.009039815851610351
1,740001,timeout,False,False,True,200,334.2418369397737,0.011278691100972576,0.019815572076255616,0.001640277358666284,0.008089299626828583,near_0.005_0.015,aligned_<0.005,0.004581676827510819,0.006688264663501103,0.00427468866109848,-0.004233611281961203,0.003986275754868984,0.020630828626448643,0.012,0.008630828626448643
2,740002,collision,False,True,False,142,-258.6267326763382,0.02555174822316987,0.049054626943987545,0.002999756322116098,0.006058150421413,off_0.015_0.030,aligned_<0.005,-4.4662123349246006e-05,0.00545811015687124,0.0049956077709794044,0.004999713972210884,-0.00499977171421051,0.024131538577510478,0.012,0.012131538577510478
3,740003,collision,False,True,False,65,-292.09155807427567,0.10963894756730687,0.007171546651245753,0.03461038474389648,0.007171546651245753,far_>=0.030,far_>=0.030,0.004287868222365013,0.005414400575632351,0.002421760931611061,-0.003327833954244852,0.0031314920634031296,0.020008553800277332,0.012,0.008008553800277332
4,740004,collision,False,True,False,10,-300.9815589721443,0.07325121870400275,0.04600930909749934,0.05778041806997834,0.04600930909749934,far_>=0.030,far_>=0.030,0.0030404222197830677,0.004704770780086161,-0.004149338696151972,-0.00015278207138180733,0.0033589238300919533,0.02349585081474297,0.012,0.01149585081474297
5,740005,collision,False,True,False,4,-295.23041009455426,0.024412257871675513,0.047876175638447704,0.024412257871675513,0.047876175638447704,off_0.015_0.030,off_0.015_0.030,-0.004765471094287932,0.006636735762128903,-0.003088886383920908,0.004971910268068314,-0.004802310839295387,0.020749159154884313,0.012,0.008749159154884313
6,740006,success,True,False,False,50,191.88621395191078,0.004760574000074008,0.00789346292528914,0.004760574000074008,0.006593239916291127,aligned_<0.005,aligned_<0.005,0.0030274513410404325,0.003829866183794132,0.0036127539351582527,0.0005189310759305954,0.0043457066640257835,0.02123405625337207,0.012,0.00923405625337207
7,740007,collision,False,True,False,20,-322.3428412961767,0.10375675110945512,0.013024644185542278,0.029532647547927133,9.134348727557473e-05,far_>=0.030,off_0.015_0.030,0.002948960196226835,0.005747014163656172,0.0034134825691580772,0.003770476207137108,-0.0022588716819882393,0.022752670127576587,0.012,0.010752670127576587
8,740008,success,True,False,False,24,159.96347033727466,0.0049762332827467575,0.007878915362534489,0.004811890001684816,0.005186865808595176,aligned_<0.005,aligned_<0.005,0.001887720301359271,0.005208330103986853,0.004661817103624344,-4.783365875482559e-05,0.0038303984329104424,0.024246520708080758,0.012,0.012246520708080758
9,740009,timeout,False,False,True,200,180.1338159876867,0.012752481268322227,0.020357038621580004,0.0022609800283886353,0.00586280140092188,near_0.005_0.015,aligned_<0.005,0.002406782621983439,0.00466401231351809,-0.004997562617063522,0.00433722697198391,-0.0049907006323337555,0.02350299572489544,0.012,0.01150299572489544
10,740010,success,True,False,False,14,147.57735911568045,0.0038024336033170526,0.007958607314673904,0.0031254263645990655,0.0055116344634896786,aligned_<0.005,aligned_<0.005,0.0008048047976834434,0.005668567475945988,0.004744598641991615,-0.00034686364233493805,0.0037919506430625916,0.022297952545543093,0.012,0.010297952545543092
