episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,final_xy_bucket,min_xy_bucket,mean_action_z,mean_action_xy_norm,last_action_x,last_action_y,last_action_z,hole_half_size,peg_radius,hole_clearance
0,740000,success,True,False,False,18,153.98936976778367,0.0034083106889999195,0.009044986745613381,0.0022604728136947716,0.0061976310285528635,aligned_<0.005,aligned_<0.005,0.0019701330327532357,0.0052770611592453855,0.003492536023259163,0.001709827221930027,0.0044096047058701515,0.02103981585161035,0.012,0.009039815851610351
1,740001,timeout,False,False,True,200,191.3512072289951,0.01179711713889262,0.008747737757902052,0.0007798960620205071,0.007824528186421542,near_0.005_0.015,aligned_<0.005,0.0032300469966139644,0.005299338177394085,0.004432689398527145,-0.004743339493870735,0.004737965762615204,0.020630828626448643,0.012,0.008630828626448643
2,740002,success,True,False,False,17,149.9623080894694,0.002862154744496788,0.005267957326777983,0.0014193022475597246,0.005267957326777983,aligned_<0.005,aligned_<0.005,0.0015521241105435526,0.005265760547062771,-0.001895679160952568,0.0017356215976178646,0.0025223148986697197,0.024131538577510478,0.012,0.012131538577510478
3,740003,collision,False,True,False,15,-315.8077801576054,0.09658544862866805,0.004484150758051086,0.020022771546840554,0.004484150758051086,far_>=0.030,off_0.015_0.030,0.0010823344501356283,0.004986541176677352,0.0007328921929001808,-0.0014951254706829786,-0.003788705449551344,0.020008553800277332,0.012,0.008008553800277332
4,740004,success,True,False,False,18,150.5492644696368,0.003773890529342996,0.00800748830600051,0.003708755195559878,0.005880330599578931,aligned_<0.005,aligned_<0.005,0.002489982871338725,0.005548923417088528,0.0012016273103654385,0.004126914776861668,0.003890327177941799,0.02349585081474297,0.012,0.01149585081474297
5,740005,success,True,False,False,12,143.8547010771384,0.004982072542760958,0.006594128843849578,0.0025855022869816315,0.005335207987310908,aligned_<0.005,aligned_<0.005,0.0009287693537771702,0.006087050360746058,0.004762211814522743,-0.0007614372298121452,0.0043529365211725235,0.020749159154884313,0.012,0.008749159154884313
6,740006,success,True,False,False,14,140.64739344971406,0.004309575766562099,0.008087075902220242,0.001994436756517538,0.006232496030319723,aligned_<0.005,aligned_<0.005,0.00105844291725329,0.004941173576324179,0.0005235890857875347,0.0035372721031308174,0.004150819033384323,0.02123405625337207,0.012,0.00923405625337207
7,740007,success,True,False,False,14,144.2508426229809,0.004871897694511658,0.007909406250353967,0.0013812274731149956,0.0047126694143804215,aligned_<0.005,aligned_<0.005,0.0009771539729886822,0.004999554099481273,0.004779161885380745,0.0005111969076097012,0.0046687256544828415,0.022752670127576587,0.012,0.010752670127576587
8,740008,success,True,False,False,13,134.3812747648698,0.002696129450317678,0.00614834297037381,0.001310644476183967,0.00614834297037381,aligned_<0.005,aligned_<0.005,0.0014134908202462471,0.005339430337174617,0.0030670547857880592,0.002231133636087179,0.002921825274825096,0.024246520708080758,0.012,0.012246520708080758
9,740009,success,True,False,False,13,142.49643379329714,0.004427687178726411,0.008027919968921382,0.0028114867483936476,0.005225758531212099,aligned_<0.005,aligned_<0.005,-5.6646871738708935e-05,0.004711937435479623,0.004031461663544178,-0.0021323123946785927,0.003827737644314766,0.02350299572489544,0.012,0.01150299572489544
