episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,final_xy_bucket,min_xy_bucket,mean_action_z,mean_action_xy_norm,last_action_x,last_action_y,last_action_z,hole_half_size,peg_radius,hole_clearance
0,740000,success,True,False,False,15,149.6587841543532,0.00429121481907762,0.008516602971123666,0.002674971729884147,0.008516602971123666,aligned_<0.005,aligned_<0.005,0.0016165010320643583,0.005521771091411943,0.0028395745903253555,0.0010778224095702171,0.002934764139354229,0.02103981585161035,0.012,0.009039815851610351
1,740001,timeout,False,False,True,200,219.96585162052256,0.012070820263893701,0.008419804696399136,0.0017899732720649576,0.006409307244665596,near_0.005_0.015,aligned_<0.005,0.003519483981654048,0.005493264263273265,0.0038232412189245224,-0.004895901773124933,0.004657368175685406,0.020630828626448643,0.012,0.008630828626448643
2,740002,success,True,False,False,17,145.95028510935782,0.00152181778147927,0.007148791023208756,0.00152181778147927,0.007148791023208756,aligned_<0.005,aligned_<0.005,0.0013195973656633321,0.005840808292510918,-0.004707557614892721,0.0019969940185546875,0.00018169265240430832,0.024131538577510478,0.012,0.012131538577510478
3,740003,collision,False,True,False,15,-314.0144303915235,0.08909012776152052,0.005211331699406241,0.014048315183655376,0.005211331699406241,far_>=0.030,near_0.005_0.015,0.0013258064010490975,0.005260807998935687,0.0034475214779376984,-0.0020560931880027056,-0.0034723705612123013,0.020008553800277332,0.012,0.008008553800277332
4,740004,success,True,False,False,19,157.8869619576877,0.0031849978053068145,0.008045862696775541,0.0031849978053068145,0.0063028713921556845,aligned_<0.005,aligned_<0.005,0.0029533851499620235,0.005737094065605669,-0.003531618509441614,0.004708427004516125,0.003916110843420029,0.02349585081474297,0.012,0.01149585081474297
5,740005,success,True,False,False,11,142.35735503092042,0.0046054435138433636,0.0047724337317633925,0.0033556681729585334,0.0047724337317633925,aligned_<0.005,aligned_<0.005,0.0005763928321274844,0.006345097075446184,0.004811154678463936,-0.0025818427093327045,0.003924274817109108,0.020749159154884313,0.012,0.008749159154884313
6,740006,success,True,False,False,14,144.4698805025721,0.004452668188641929,0.007989973926276983,0.0014210352402805912,0.006107793230727965,aligned_<0.005,aligned_<0.005,0.001145136309787631,0.005069480288303675,-5.0236936658620834e-05,0.0038818614557385445,0.004180343821644783,0.02123405625337207,0.012,0.00923405625337207
7,740007,success,True,False,False,9,136.1436340855474,0.003917540721983779,0.006858613998895757,0.002403034225612644,0.006858613998895757,aligned_<0.005,aligned_<0.005,-0.0014738357729381984,0.004676185658999583,-9.046308696269989e-05,0.0027282345108687878,-0.00038301898166537285,0.022752670127576587,0.012,0.010752670127576587
8,740008,success,True,False,False,12,134.09963302081445,0.002608657874815002,0.005791973665828287,0.002608657874815002,0.005791973665828287,aligned_<0.005,aligned_<0.005,0.0007518941226104895,0.005328171986076601,-0.0001716609112918377,0.0032378705218434334,0.0026253159157931805,0.024246520708080758,0.012,0.012246520708080758
9,740009,success,True,False,False,14,145.3633572388806,0.0037978050613784132,0.008059158940097788,0.0033963847518035284,0.004454302518831721,aligned_<0.005,aligned_<0.005,0.00022301789639251574,0.004807790152029471,0.004510898143053055,-0.0023848344571888447,0.0043959226459264755,0.02350299572489544,0.012,0.01150299572489544
10,740010,success,True,False,False,17,145.0947243177503,0.0034249183776304108,0.008336320739054881,0.0011526278581441812,0.006299633746454036,aligned_<0.005,aligned_<0.005,0.0015536527806783423,0.005152420901369248,0.0038796504959464073,0.0027457010000944138,0.004455549642443657,0.022297952545543093,0.012,0.010297952545543092
11,740011,timeout,False,False,True,200,227.74939024015308,0.010447120127689093,0.03577198020262273,0.0022147996734420646,0.006424348772373967,near_0.005_0.015,aligned_<0.005,0.0024052433809265495,0.005484845152843677,0.0049999793991446495,0.0021408265456557274,0.004999827593564987,0.020886552499656205,0.012,0.008886552499656204
12,740012,timeout,False,False,True,200,165.54918677607128,0.012797738446349878,0.008336353497202298,0.0036374349663703303,0.0057400891868836235,near_0.005_0.015,aligned_<0.005,0.0027706433332059534,0.0030379220250590345,-0.0041895462200045586,0.0029873400926589966,0.00271599180996418,0.02184145888948217,0.012,0.00984145888948217
13,740013,collision,False,True,False,140,-232.8706050557779,0.021695005494586517,0.04685787643196415,0.0019469171184049463,0.005517415084751565,off_0.015_0.030,aligned_<0.005,0.0009452657025706556,0.0046263329944373575,0.004958667792379856,0.004923403263092041,0.004970133304595947,0.02498490318812769,0.012,0.01298490318812769
14,740014,success,True,False,False,15,147.6495904663394,0.004977735619924065,0.007831221673437416,0.0010893944088482739,0.0044636990254421915,aligned_<0.005,aligned_<0.005,0.0005803513651092847,0.004981498006646585,0.004483734257519245,-0.0006088116206228733,0.003278011456131935,0.02133516666470987,0.012,0.00933516666470987
15,740015,success,True,False,False,13,137.783993617802,0.0049474227296528814,0.006255481475473723,0.0049474227296528814,0.004614290246757968,aligned_<0.005,aligned_<0.005,8.253570502767197e-05,0.005095268300641095,0.0019069588743150234,0.0006888504140079021,0.0023861490190029144,0.02145008866149147,0.012,0.009450088661491468
16,740016,success,True,False,False,16,144.315527345268,0.002591552789214181,0.00860407843361699,0.00034512464107584956,0.005956575618120685,aligned_<0.005,aligned_<0.005,0.0009255881159333512,0.005092576765613062,0.004612229764461517,0.0036780722439289093,0.004183837212622166,0.02177030893996862,0.012,0.009770308939968619
17,740017,success,True,False,False,8,131.32409292690895,0.004562125851790652,0.005617143633439348,0.002826886775757382,0.005617143633439348,aligned_<0.005,aligned_<0.005,-0.002895309356972575,0.0053013321809442715,-0.002886905102059245,0.0034560775384306908,-0.003005037549883127,0.024283222744118732,0.012,0.012283222744118732
18,740018,success,True,False,False,16,147.04021680147423,0.004414706369721815,0.007908610236915359,0.0024769510184042363,0.00504292184240851,aligned_<0.005,aligned_<0.005,0.0004979071818524972,0.005718726275814756,0.0037669064477086067,-0.0038423724472522736,0.0017429827712476254,0.020539548100266265,0.012,0.008539548100266265
19,740019,success,True,False,False,16,148.26519644042025,0.004594984238557999,0.009739890375080162,0.0022223870846669437,0.0050808178969548035,aligned_<0.005,aligned_<0.005,0.0012663773086387664,0.005674045736732027,0.004879595711827278,-0.002827332355082035,0.004818601533770561,0.020051939690869804,0.012,0.008051939690869803
20,740020,success,True,False,False,20,149.443481583001,0.004928361234904945,0.00811657882095529,0.00234502759743305,0.0063524117615574305,aligned_<0.005,aligned_<0.005,0.0016852073837071656,0.005375659913542674,0.004958716221153736,0.000639947596937418,0.004784673452377319,0.02052635676278311,0.012,0.00852635676278311
21,740021,success,True,False,False,15,141.13165149551932,0.0041506218849481896,0.008028617944285332,0.0029300385685171867,0.006612271443103501,aligned_<0.005,aligned_<0.005,0.0018718446760127942,0.0052331224185660575,-0.00319548137485981,0.004225282929837704,0.0043070437386631966,0.021646580383307298,0.012,0.009646580383307297
22,740022,success,True,False,False,17,160.60473189762195,0.003205397414930409,0.008050661272376192,0.003205397414930409,0.006894771454323934,aligned_<0.005,aligned_<0.005,0.00285749212729142,0.006020205469988455,0.001738784834742546,0.004592185840010643,0.0046743471175432205,0.02440517029084674,0.012,0.01240517029084674
23,740023,success,True,False,False,29,180.8989238496074,0.004905469062739346,0.007906241719319085,0.0006978261240659667,0.005191818858107933,aligned_<0.005,aligned_<0.005,0.002839915486502236,0.004638804348496712,0.004421991296112537,-0.0022080179769545794,0.004615716636180878,0.021237591299911988,0.012,0.009237591299911987
24,740024,collision,False,True,False,7,-295.2033188006746,0.039314850447817865,0.0480422304740703,0.039314850447817865,0.0480422304740703,far_>=0.030,far_>=0.030,0.0008969481901398727,0.004465818716258209,0.004745521582663059,0.001088542863726616,-0.00024725450202822685,0.02097317000352677,0.012,0.008973170003526768
25,740025,success,True,False,False,7,132.81280830026955,0.003846025843957866,0.008643498365217384,0.0015399638943273699,0.008643498365217384,aligned_<0.005,aligned_<0.005,-0.003701695307557072,0.005129669755854874,0.0027608321979641914,0.004281979985535145,-0.0007069339044392109,0.02493583552871212,0.012,0.012935835528712119
26,740026,success,True,False,False,66,162.2382968977272,0.004957109228906903,0.007811347684158476,0.003987541186701016,0.0056678921361555945,aligned_<0.005,aligned_<0.005,0.0012366521087559786,0.0026899187987089626,-0.0005468134768307209,-0.0007154913619160652,0.0013349787332117558,0.02498272351825353,0.012,0.012982723518253528
27,740027,success,True,False,False,16,148.6300945391923,0.004640782566348665,0.008107517371486739,0.00406356041919866,0.006902997701463409,aligned_<0.005,aligned_<0.005,0.002007157410844229,0.004844222832237902,-0.0005047377198934555,0.0032762130722403526,0.003822535276412964,0.0243849688179952,0.012,0.012384968817995199
28,740028,success,True,False,False,14,140.77454833964285,0.004357492956747759,0.007814090747180646,0.0037790725743974715,0.006547127921019302,aligned_<0.005,aligned_<0.005,0.000964237709662744,0.0057310046326074894,0.003136679530143738,0.0040641287341713905,0.0037023527547717094,0.021604535778100616,0.012,0.009604535778100616
29,740029,success,True,False,False,25,157.77716159522222,0.004936823414146428,0.007953538545713346,0.004936823414146428,0.004991946717831319,aligned_<0.005,aligned_<0.005,0.001870101634413004,0.0041815173309711655,0.0033103637397289276,0.0014063753187656403,0.004096402786672115,0.02258612149321263,0.012,0.010586121493212631
30,740030,success,True,False,False,26,170.4391499420381,0.004964720295875781,0.007911977316372498,0.0021150401329035886,0.005486417990319903,aligned_<0.005,aligned_<0.005,0.002322662084435041,0.004913757611927789,0.003521929495036602,-0.0007674144580960274,0.0038432497531175613,0.021536672309714705,0.012,0.009536672309714705
31,740031,success,True,False,False,19,142.59271934019552,0.004385412300917361,0.008008582062697944,0.0017190777870505184,0.006881924367562964,aligned_<0.005,aligned_<0.005,0.0024171982107585983,0.005342001647918923,0.0046904804185032845,0.0004173717461526394,0.004262164235115051,0.022990280794181424,0.012,0.010990280794181424
32,740032,timeout,False,False,True,200,91.47583286126796,0.010864792450640273,0.03544135653126368,0.001907956314529013,0.006330378453783481,near_0.005_0.015,aligned_<0.005,0.00102868904476054,0.005411254568351369,0.004997445270419121,0.002911311574280262,0.0037443721666932106,0.020864843788431287,0.012,0.008864843788431286
33,740033,success,True,False,False,13,142.16561904865293,0.0032668859101672495,0.009275632456077765,0.0031908635173566705,0.005165930086841741,aligned_<0.005,aligned_<0.005,0.00030814723756450874,0.005623152066166504,0.004815160296857357,-0.0017449413426220417,0.0046581486240029335,0.022655146239512466,0.012,0.010655146239512466
34,740034,success,True,False,False,28,178.6320706052662,0.004854140465293955,0.0078950665612888,0.003161806402282955,0.006854694545410878,aligned_<0.005,aligned_<0.005,0.003822872165723571,0.0055197022367907125,0.004072790965437889,-0.0012760180979967117,0.0036911144852638245,0.02424912301590717,0.012,0.012249123015907169
35,740035,timeout,False,False,True,200,130.20260012351932,0.009270406129502971,0.044122806543475335,0.0036455581559482245,0.007025089258752448,near_0.005_0.015,aligned_<0.005,0.0013827166729606687,0.005818234443093948,0.004999186843633652,0.0023548519238829613,0.004869568161666393,0.02076242699794241,0.012,0.00876242699794241
36,740036,success,True,False,False,14,143.85321190736266,0.0037700312646699024,0.00846150960770542,0.0019153791976018332,0.005906912427722788,aligned_<0.005,aligned_<0.005,0.0008165138673835567,0.005339844331274756,0.004725409671664238,0.002222518902271986,0.004884460940957069,0.020013003630215815,0.012,0.008013003630215815
37,740037,success,True,False,False,11,141.4076944192225,0.004863802889271778,0.009022578061741005,0.004863802889271778,0.009022578061741005,aligned_<0.005,aligned_<0.005,0.0007515059233727781,0.005970048991837975,0.004109262488782406,0.003698349930346012,0.003849135711789131,0.02396447019499577,0.012,0.011964470194995771
38,740038,success,True,False,False,16,151.31281890122784,0.00494920129719479,0.008141035175767364,0.00494920129719479,0.006700804962321283,aligned_<0.005,aligned_<0.005,0.0019564861577237025,0.005791425755525287,0.004725896753370762,0.004347546026110649,0.004783391021192074,0.02144294904659576,0.012,0.009442949046595761
