episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,final_xy_bucket,min_xy_bucket,mean_action_z,mean_action_xy_norm,last_action_x,last_action_y,last_action_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,hole_half_size,peg_radius,hole_clearance
0,820000,collision,False,True,False,18,-274.95555318745073,0.02106120100943812,0.006338593435288309,0.0046022259456322935,0.006338593435288309,off_0.015_0.030,aligned_<0.005,0.0032473861808992094,0.006114246516653215,0.004995778203010559,-0.003581648226827383,0.004969833418726921,0.9891153168943438,0.00033770341400706736,1,0.9602241974721042,mid_0.90_1.10,mid_0.00025_0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,0.027333447728181002,0.011515391873267162,0.01581805585491384
1,820001,success,True,False,False,13,147.48925737927297,0.004549686613770346,0.00912559185354389,0.002189514965937638,0.00912559185354389,aligned_<0.005,aligned_<0.005,0.0017572293380418648,0.005228008068496637,0.004965789616107941,0.0033708997070789337,0.004696709103882313,1.185686199369418,0.00039391140839250616,0,0.9602359936044844,high_>1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|high_>1.10|mid_0.00025_0.00055,0.02722077216756677,0.012150327173714014,0.015070444993852756
2,820002,collision,False,True,False,14,-305.3181787008777,0.08817463147028282,0.00617413550951762,0.05429701449316459,0.00617413550951762,far_>=0.030,far_>=0.030,0.0025406089677874532,0.005001293549594248,0.004646160639822483,-0.0011837547644972801,0.0038845231756567955,0.8269626942183319,0.0007696623003709115,0,0.5890956798283048,low_<0.90,high_>=0.00055,delay_0,low_<0.70,delay_0|low_<0.70|low_<0.90|high_>=0.00055,0.02554508054619085,0.011567265236149975,0.013977815310040876
3,820003,collision,False,True,False,6,-291.84558551329366,0.054812550736444955,0.049555619331698275,0.054812550736444955,0.049555619331698275,far_>=0.030,far_>=0.030,0.003480113266656796,0.005628212578216621,-0.00499858008697629,0.004294971935451031,0.0047844573855400085,0.8909304597373537,0.0007425867877991138,1,0.6406877537895144,low_<0.90,high_>=0.00055,delay_1,low_<0.70,delay_1|low_<0.70|low_<0.90|high_>=0.00055,0.027182547004912343,0.012038438178561229,0.015144108826351114
4,820004,success,True,False,False,15,148.05230099114863,0.004911028724704685,0.00826839148817704,0.002166354308010574,0.004263569550789548,aligned_<0.005,aligned_<0.005,0.001035213191062212,0.005424370544905446,0.00429428368806839,0.001589176245033741,0.0042649200186133385,1.1640519627337156,0.0007053267108930439,0,0.753100875578247,high_>1.10,high_>=0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|high_>1.10|high_>=0.00055,0.028582672920850608,0.011631786891952248,0.01695088602889836
5,820005,success,True,False,False,21,156.7192815554946,0.0019690628127797035,0.006111982724142484,0.00038121604114660845,0.006111982724142484,aligned_<0.005,aligned_<0.005,0.0037776054592714423,0.005280830941246419,-0.0012210712302476168,0.000609921757131815,0.001858819741755724,0.824227781483758,0.0005040673783569193,0,0.6247545610687685,low_<0.90,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|low_<0.90|mid_0.00025_0.00055,0.02734314891687749,0.011831389350074209,0.01551175956680328
6,820006,success,True,False,False,16,150.22341384150258,0.003516936718351017,0.007835852406711252,8.573234076185863e-05,0.007835852406711252,aligned_<0.005,aligned_<0.005,0.002399699398665689,0.006170569261848044,0.0014120368286967278,0.004772827960550785,0.004172605462372303,1.0172311482340928,0.0007134269893712969,0,0.7023609106852912,mid_0.90_1.10,high_>=0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|high_>=0.00055,0.0265656744866806,0.011795122847227665,0.014770551639452935
7,820007,collision,False,True,False,7,-289.5447412126643,0.041702761932756544,0.04933191195566855,0.041702761932756544,0.04933191195566855,far_>=0.030,far_>=0.030,0.004593370349279472,0.0063609851617753635,-0.004998294170945883,0.004806721583008766,0.004870357923209667,0.8135121232459007,0.000585072520650178,2,0.7537913325705056,low_<0.90,high_>=0.00055,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|low_<0.90|high_>=0.00055,0.026098186947713594,0.012281233620190603,0.013816953327522991
8,820008,success,True,False,False,32,173.2773372789721,0.003313721349845359,0.008033554129665998,0.003313721349845359,0.007914164463356133,aligned_<0.005,aligned_<0.005,0.003616710724600125,0.006017327834024172,0.004907542839646339,0.0017582387663424015,0.004582158289849758,1.050673566497224,0.0006879944910016312,1,0.7572725845019728,mid_0.90_1.10,high_>=0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|high_>=0.00055,0.02748756249204545,0.012039639394953868,0.015447923097091582
9,820009,success,True,False,False,19,148.97345607796723,0.0036363363835011384,0.00836702903934361,0.0036363363835011384,0.007871749283174911,aligned_<0.005,aligned_<0.005,0.0025862751430586763,0.005587532408372617,0.003599066287279129,0.003821907564997673,0.004337869584560394,0.9310617551074998,0.0005428153610560839,1,0.7333036938771721,mid_0.90_1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,0.027218344483149127,0.012186533954047134,0.015031810529101993
10,820010,collision,False,True,False,7,-294.57445144335156,0.04005282665848891,0.048750278327143404,0.032386228116032915,0.048750278327143404,far_>=0.030,far_>=0.030,0.003978240370218243,0.006074973319973263,0.004998049698770046,-0.004954786505550146,0.004954373463988304,0.800119827227765,0.0001550846873500551,2,0.9720667955745979,low_<0.90,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|low_<0.90|low_<0.00025,0.026746694724808246,0.011963063237048864,0.014783631487759382
