candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
no_guard,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.85815426098817,24.433333333333334,0.0,0.0,0.0,False,0.009226373964379909,0.014133294443877741,none,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p04_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.83719403127499,24.4,0.0,0.0,0.0,False,0.009261674648719109,0.014136040818029376,geometry,0.02,0.04,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p06_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.61299485015844,24.3,0.0,0.0,0.0,False,0.009188991894881883,0.014130022549976457,geometry,0.02,0.06,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p08_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,93.11271323270677,25.166666666666668,0.0,0.0,0.0,False,0.009160113858014692,0.014113584119081646,geometry,0.02,0.08,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p1_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,92.09237247505449,24.466666666666665,0.0,0.0,0.0,False,0.00924108124776812,0.014189379027954844,geometry,0.02,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p04_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.7021564942247,24.366666666666667,0.0,0.0,0.0,False,0.009191308385652809,0.014128697225195575,geometry,0.03,0.04,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p06_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.74855123768751,24.366666666666667,0.0,0.0,0.0,False,0.009264294417202142,0.014114237480703703,geometry,0.03,0.06,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p08_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.80653703389503,24.466666666666665,0.0,0.0,0.0,False,0.009162211081813806,0.01413121934004391,geometry,0.03,0.08,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p1_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.97794075654052,24.433333333333334,0.0,0.0,0.0,False,0.009209064870571111,0.014145390065749235,geometry,0.03,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p04_z0p04_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.91510536683927,24.466666666666665,0.0,0.0,0.0,False,0.009268247486236007,0.014138871122927221,geometry,0.04,0.04,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p04_z0p06_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.8540918821083,24.433333333333334,0.0,0.0,0.0,False,0.00922657574741406,0.014127978977654354,geometry,0.04,0.06,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p04_z0p08_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,92.20841031263126,24.5,0.0,0.0,0.0,False,0.009266135392414448,0.014181379124813147,geometry,0.04,0.08,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p04_z0p1_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.49078836919253,24.266666666666666,0.0,0.0,0.0,False,0.009178384472397792,0.014122838951339223,geometry,0.04,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p04_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.6178283868231,24.3,0.0,0.0,0.0,False,0.009227789845975946,0.014113490036307,geometry,0.06,0.04,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p06_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.87846451711158,24.4,0.0,0.0,0.0,False,0.009251528114282646,0.014135215541089662,geometry,0.06,0.06,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p08_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.702010577959,24.333333333333332,0.0,0.0,0.0,False,0.009261097391376618,0.01413461828544682,geometry,0.06,0.08,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p1_blend0p75_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,91.52503415776684,24.233333333333334,0.0,0.0,0.0,False,0.009243046402317608,0.014132812199316986,geometry,0.06,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,full_light_geometry,full_light_geometry,30,0.6666666666666666,0.3,0.03333333333333333,13.786887496539629,26.5,0.0,0.0,0.0,False,0.013993549473068237,0.018289385295025655,none,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p04_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6,0.3333333333333333,0.06666666666666667,9.549454598651332,41.8,33.8,0.8086124401913876,0.7666666666666667,True,0.01496066373474736,0.02816630970077722,geometry,0.02,0.04,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p06_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.5666666666666667,0.3,0.13333333333333333,27.281300116553343,52.36666666666667,46.3,0.884150222788033,0.8666666666666667,True,0.014729671715202479,0.03195247916525981,geometry,0.02,0.06,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p08_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6,0.3,0.1,23.59564037811472,47.03333333333333,41.733333333333334,0.8873139617292701,0.8666666666666667,True,0.014562440514632817,0.029196671138747837,geometry,0.02,0.08,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p1_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6,0.3,0.1,23.808325195544523,47.13333333333333,41.833333333333336,0.8875530410183876,0.8666666666666667,True,0.014568480074242551,0.02928277423263259,geometry,0.02,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p04_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6,0.3333333333333333,0.06666666666666667,9.74489615203134,41.833333333333336,33.9,0.8103585657370517,0.7666666666666667,True,0.01494920108946347,0.028170595931457276,geometry,0.03,0.04,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p06_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6,0.26666666666666666,0.13333333333333333,37.48085832730822,48.3,42.56666666666667,0.881297446514838,0.8666666666666667,True,0.014264098806392188,0.029565253921142422,geometry,0.03,0.06,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p08_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.7,0.23333333333333334,0.06666666666666667,46.56764472618979,37.0,33.1,0.8945945945945947,0.8666666666666667,True,0.013364271991254678,0.02273290261476977,geometry,0.03,0.08,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p1_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.7,0.23333333333333334,0.06666666666666667,46.5679514789899,37.0,33.1,0.8945945945945947,0.8666666666666667,True,0.013375872644138918,0.02274742561235936,geometry,0.03,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p04_z0p04_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6,0.3333333333333333,0.06666666666666667,9.956807959420987,41.833333333333336,33.9,0.8103585657370517,0.7666666666666667,True,0.014951333082546618,0.02813685583517865,geometry,0.04,0.04,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p04_z0p06_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6333333333333333,0.23333333333333334,0.13333333333333333,51.89616150494474,49.3,43.766666666666666,0.8877620013522651,0.9,True,0.013597519628341275,0.02826026761212582,geometry,0.04,0.06,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p04_z0p08_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.7,0.2,0.1,64.01916259352876,42.333333333333336,39.6,0.9354330708661417,0.9333333333333333,True,0.010482736170674146,0.024802674899585386,geometry,0.04,0.08,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p04_z0p1_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.7,0.2,0.1,63.91449997032701,42.333333333333336,39.6,0.9354330708661417,0.9333333333333333,True,0.010483960978762115,0.0248194072974715,geometry,0.04,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p04_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6,0.3333333333333333,0.06666666666666667,9.680447962855606,41.8,33.86666666666667,0.810207336523126,0.7666666666666667,True,0.014915135701988876,0.028171289487725255,geometry,0.06,0.04,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p06_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6333333333333333,0.23333333333333334,0.13333333333333333,51.71224304775066,49.2,43.8,0.8902439024390243,0.9666666666666667,True,0.01359154308442001,0.028270307904237454,geometry,0.06,0.06,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p08_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.7,0.2,0.1,68.10813383232555,48.733333333333334,47.4,0.9726402188782489,1.0,True,0.010456733841698266,0.02628587687145499,geometry,0.06,0.08,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p1_blend0p75_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.7,0.2,0.1,68.15378653977808,48.733333333333334,47.4,0.9726402188782489,1.0,True,0.010492355662456005,0.026312791027060474,geometry,0.06,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,full_contact_light,full_contact_light,30,0.6,0.4,0.0,-25.652839375921175,26.2,0.0,0.0,0.0,False,0.01528211479779823,0.020905887103527084,none,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p04_blend0p75_down0p0035_align0p025,full_contact_light,full_contact_light,30,0.5666666666666667,0.43333333333333335,0.0,-37.51472583771274,31.433333333333334,23.366666666666667,0.7433722163308589,0.7333333333333333,True,0.01618339197358639,0.02501065403011823,geometry,0.02,0.04,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p06_blend0p75_down0p0035_align0p025,full_contact_light,full_contact_light,30,0.6666666666666666,0.3,0.03333333333333333,15.07700744498792,29.833333333333332,23.833333333333332,0.7988826815642458,0.8,True,0.014317044275455746,0.020945204331138088,geometry,0.02,0.06,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p02_z0p08_blend0p75_down0p0035_align0p025,full_contact_light,full_contact_light,30,0.6666666666666666,0.3,0.03333333333333333,17.967176573553,33.53333333333333,28.266666666666666,0.8429423459244533,0.8,True,0.014350079637316767,0.022915521132726237,geometry,0.02,0.08,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
