candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_min_policy_steps,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
no_guard,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,113.87012425149527,29.066666666666666,0.0,0.0,0.0,False,0.007991220683538086,0.011405913929120607,none,0.06,0.1,0.0,1.0,0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p08_blend0p75_min0_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,114.38237030747891,29.433333333333334,0.0,0.0,0.0,False,0.007967166609977693,0.011418069175179154,geometry,0.03,0.08,0.0,0.75,0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p08_blend0p75_min5_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,113.93753586033594,29.166666666666668,0.0,0.0,0.0,False,0.008056124868486895,0.011398535582162044,geometry,0.03,0.08,0.0,0.75,5,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p08_blend0p75_min10_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,114.16822768985571,29.2,0.0,0.0,0.0,False,0.007977916191082,0.011411075346586082,geometry,0.03,0.08,0.0,0.75,10,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p08_blend0p75_min15_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,113.73700686030728,28.966666666666665,0.0,0.0,0.0,False,0.007997712688879418,0.011381063068836291,geometry,0.03,0.08,0.0,0.75,15,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p08_blend0p75_min0_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,115.95242703801432,30.433333333333334,0.0,0.0,0.0,False,0.007948214354806008,0.011416557284229778,geometry,0.06,0.08,0.0,0.75,0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p08_blend0p75_min5_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,114.04533688905552,29.166666666666668,0.0,0.0,0.0,False,0.007987562880250383,0.011416570341209445,geometry,0.06,0.08,0.0,0.75,5,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p08_blend0p75_min10_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,114.46557485396849,29.3,0.0,0.0,0.0,False,0.00795290112060636,0.011396006765932897,geometry,0.06,0.08,0.0,0.75,10,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p08_blend0p75_min15_down0p0035_align0p025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,114.01619322946695,29.133333333333333,0.0,0.0,0.0,False,0.00794607163580939,0.011399315492486298,geometry,0.06,0.08,0.0,0.75,15,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,full_light_geometry,full_light_geometry,30,0.7,0.3,0.0,22.230956274038043,30.933333333333334,0.0,0.0,0.0,False,0.011170050167580927,0.02065729668810623,none,0.06,0.1,0.0,1.0,0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p08_blend0p75_min0_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6,0.36666666666666664,0.03333333333333333,5.2839767315706165,43.833333333333336,39.0,0.8897338403041825,0.9,True,0.012688199424825483,0.03013898138667396,geometry,0.03,0.08,0.0,0.75,0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p08_blend0p75_min5_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6333333333333333,0.36666666666666664,0.0,2.7978134542904654,38.03333333333333,32.2,0.8466257668711658,0.9,True,0.012372802530794631,0.027435576015043338,geometry,0.03,0.08,0.0,0.75,5,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p08_blend0p75_min10_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6333333333333333,0.36666666666666664,0.0,1.6972553746829604,33.9,24.433333333333334,0.7207472959685349,0.7666666666666667,True,0.012600369755500905,0.025981374860185206,geometry,0.03,0.08,0.0,0.75,10,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p03_z0p08_blend0p75_min15_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.7,0.3,0.0,25.40704951384582,27.666666666666668,14.866666666666667,0.5373493975903615,0.5333333333333333,True,0.011484178089377333,0.021337351872109386,geometry,0.03,0.08,0.0,0.75,15,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p08_blend0p75_min0_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6,0.36666666666666664,0.03333333333333333,3.68790798583153,41.46666666666667,39.266666666666666,0.9469453376205788,1.0,True,0.01304425603846491,0.02928735124627634,geometry,0.06,0.08,0.0,0.75,0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p08_blend0p75_min5_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.5666666666666667,0.43333333333333335,0.0,-25.433348398844643,36.666666666666664,31.6,0.8618181818181819,1.0,True,0.01386436826529629,0.030104360393107567,geometry,0.06,0.08,0.0,0.75,5,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p08_blend0p75_min10_down0p0035_align0p025,full_light_geometry,full_light_geometry,30,0.6333333333333333,0.36666666666666664,0.0,0.5491039691243065,33.666666666666664,24.2,0.7188118811881189,0.7666666666666667,True,0.01263032822103754,0.02601201356875123,geometry,0.06,0.08,0.0,0.75,10,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
