candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
no_guard,visual_camera_control,visual_camera_control,30,0.9333333333333333,0.06666666666666667,0.0,124.58634958846137,23.6,0.0,0.0,0.0,False,0.007285514889202385,0.010662069091807962,none,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,0.9333333333333333,0.06666666666666667,0.0,124.53501474242631,23.6,0.0,0.0,0.0,False,0.0073391194797473,0.010620203140886816,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy040_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,114.78667778631767,26.4,0.0,0.0,0.0,False,0.008430250054454228,0.013003928600721356,geometry,0.04,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy050_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,0.9333333333333333,0.06666666666666667,0.0,124.49977716932501,23.5,0.0,0.0,0.0,False,0.0073297795213528305,0.010645424144131868,geometry,0.05,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy070_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,0.8666666666666667,0.13333333333333333,0.0,103.5477042188886,31.066666666666666,0.0,0.0,0.0,False,0.009569537700332333,0.015286091194838003,geometry,0.07,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z060_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,113.95167958376011,28.533333333333335,0.0,0.0,0.0,False,0.008418314449689978,0.012887785463034155,geometry,0.06,0.06,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z080_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,113.03550635693767,28.0,0.0,0.0,0.0,False,0.008431587936127418,0.012907708234402867,geometry,0.06,0.08,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend075_down0035_align025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,113.61614986889406,28.366666666666667,0.0,0.0,0.0,False,0.008454959275651134,0.01289069704890532,geometry,0.06,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend050_down0035_align025,visual_camera_control,visual_camera_control,30,0.9333333333333333,0.06666666666666667,0.0,124.71275498530412,23.666666666666668,0.0,0.0,0.0,False,0.00729546726739977,0.010630583585771474,geometry,0.06,0.1,0.0,0.5,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0025_align025,visual_camera_control,visual_camera_control,30,0.9,0.1,0.0,112.90592100641143,27.933333333333334,0.0,0.0,0.0,False,0.008449916417981918,0.012920872581593882,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0025,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
