episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,final_xy_bucket,min_xy_bucket,mean_action_z,mean_action_xy_norm,last_action_x,last_action_y,last_action_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,hole_half_size,peg_radius,hole_clearance
0,850000,success,True,False,False,21,140.77174646817463,0.004917325694023753,0.007571333013444703,0.004869733473666811,0.005695042515774129,aligned_<0.005,aligned_<0.005,0.0022114037669130732,0.005596573093390278,0.004641436040401459,-0.00011533545330166817,0.0037587089464068413,0.8454396932340984,0.0001704660451041493,2,0.6068305598746376,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.028183611272743145,0.011581562803346863,0.01660204846939628
1,850001,collision,False,True,False,8,-298.85004148238295,0.020843328271751022,0.032375523107457616,0.0011918753972526952,0.032375523107457616,off_0.015_0.030,aligned_<0.005,-0.00042542489245533943,0.006107085125499159,0.004942591302096844,0.003954444080591202,0.0033940961584448814,1.0039468790354442,0.0001291008236006262,2,0.6025040952249416,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.028149522816454737,0.012380631033136648,0.01576889178331809
2,850002,success,True,False,False,22,138.37414601982988,0.004701005142187086,0.007595011198892276,0.003933444861878193,0.0042865324397864946,aligned_<0.005,aligned_<0.005,0.002245931208811023,0.005467558458594066,-0.004550486337393522,-0.0015452939551323652,0.004099071957170963,0.8064621148306542,0.0001690105152373011,2,0.6237989846923551,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.028381830445460783,0.011590619686682367,0.016791210758778416
3,850003,collision,False,True,False,8,-289.71727232164375,0.022675803068040176,0.04620238356052875,0.019112680534589723,0.04620238356052875,off_0.015_0.030,off_0.015_0.030,0.004483660915866494,0.006517484268858931,0.00492673646658659,-0.004975555930286646,0.003971867263317108,0.8449602628987656,8.473697528825375e-06,2,0.6804466725090498,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.025311232310240957,0.011699028433995132,0.013612203876245826
4,850004,collision,False,True,False,7,-289.4730688462917,0.04321279707688503,0.04875195482347561,0.04321279707688503,0.04875195482347561,far_>=0.030,far_>=0.030,0.0041475069842168266,0.006245863834421655,-0.004989812150597572,0.00381468515843153,0.004643646068871021,0.9134120395140612,0.00017980119624143662,2,0.6461360204736848,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.027730448182778044,0.011635370146957084,0.01609507803582096
5,850005,collision,False,True,False,6,-305.9058909921813,0.05514094251865852,0.047308485890086294,0.049160133384881934,0.047308485890086294,far_>=0.030,far_>=0.030,0.0005842299821476141,0.0046761279561874725,0.0029464149847626686,0.002482664305716753,0.0011782548390328884,0.8316768120259951,5.062187461707962e-05,2,0.6133248622048367,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.026888361912456277,0.011776695041369216,0.015111666871087061
6,850006,success,True,False,False,15,128.08607362495007,0.004411713769888641,0.007725213183395141,0.004411713769888641,0.007117240257316415,aligned_<0.005,aligned_<0.005,0.001295725799476107,0.0056385350849149415,0.0003835344687104225,0.0043607475236058235,0.00406444538384676,0.9420847500328542,1.7872337797540466e-05,2,0.6346408053462393,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.02752268214592051,0.011793396895754047,0.015729285250166467
7,850007,collision,False,True,False,7,-291.2231295093508,0.026376354756851086,0.04973175461843338,0.026376354756851086,0.04973175461843338,off_0.015_0.030,off_0.015_0.030,0.003613341666225876,0.005933269559600656,-0.004884740337729454,-0.004939105827361345,0.0022819540463387966,0.995806178732298,3.276760444838156e-05,2,0.6065031779357766,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.0254354103199127,0.012371909464515014,0.013063500855397685
8,850008,collision,False,True,False,7,-297.20288379349495,0.0657346020810339,0.049256671397424734,0.0657346020810339,0.049256671397424734,far_>=0.030,far_>=0.030,0.004402192575590951,0.005746645010139717,-0.004999885801225901,0.0025183497928082943,0.004874398000538349,0.9633674394982752,4.135532745099016e-05,2,0.6339318596822452,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.026805747551511962,0.012439742469521302,0.01436600508199066
9,850009,success,True,False,False,29,140.69251579825305,0.002088222990985737,0.007917678736515055,0.002088222990985737,0.007304006782985595,aligned_<0.005,aligned_<0.005,0.002533791048837633,0.005836111385469216,0.002322991844266653,0.003562462516129017,0.004607709124684334,1.0613664741720767,0.00016071766542876613,2,0.5864069899824379,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.025278138252693632,0.011643744251656275,0.013634394001037357
