episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,final_xy_bucket,min_xy_bucket,mean_action_z,mean_action_xy_norm,last_action_x,last_action_y,last_action_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,hole_half_size,peg_radius,hole_clearance
0,850000,success,True,False,False,37,159.38325858444313,0.0049516884492844925,0.0073628042106695935,0.004813797921448294,0.005681815675742219,aligned_<0.005,aligned_<0.005,0.002053930185030441,0.0053458371946856756,0.00424487330019474,-0.001671261852607131,0.0011678705923259258,0.8454396932340984,0.0001704660451041493,2,0.6068305598746376,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.028183611272743145,0.011581562803346863,0.01660204846939628
1,850001,collision,False,True,False,8,-298.6887854255984,0.021050078248199464,0.036272521986510875,0.0015775390391892237,0.036272521986510875,off_0.015_0.030,aligned_<0.005,-4.0302169509232044e-05,0.006165803629238112,0.004920821636915207,0.004038733430206776,0.0017661279998719692,1.0039468790354442,0.0001291008236006262,2,0.6025040952249416,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.028149522816454737,0.012380631033136648,0.01576889178331809
2,850002,success,True,False,False,20,135.63382193778787,0.0037246647296805646,0.007616240442145927,0.0037246647296805646,0.004970641184731117,aligned_<0.005,aligned_<0.005,0.0019881696905940773,0.005412486320629398,-0.00429322337731719,0.0013326648622751236,0.00392325222492218,0.8064621148306542,0.0001690105152373011,2,0.6237989846923551,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.028381830445460783,0.011590619686682367,0.016791210758778416
3,850003,collision,False,True,False,8,-289.7192570493228,0.022438533705350483,0.0459584151219935,0.018751768891907255,0.0459584151219935,off_0.015_0.030,off_0.015_0.030,0.004250078112818301,0.006559185344582399,0.004867034964263439,-0.004949088674038649,0.0032112570479512215,0.8449602628987656,8.473697528825375e-06,2,0.6804466725090498,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.025311232310240957,0.011699028433995132,0.013612203876245826
4,850004,collision,False,True,False,7,-289.5631433247049,0.04337623445276566,0.048629171880660294,0.04337623445276566,0.048629171880660294,far_>=0.030,far_>=0.030,0.004126792241420064,0.006188106884615659,-0.004988795146346092,0.0036841733381152153,0.004619905725121498,0.9134120395140612,0.00017980119624143662,2,0.6461360204736848,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.027730448182778044,0.011635370146957084,0.01609507803582096
5,850005,collision,False,True,False,6,-305.2159240285006,0.05425656248746501,0.04736707478012325,0.049160133384881934,0.04736707478012325,far_>=0.030,far_>=0.030,0.0009153732098639011,0.004477993058377998,0.0014839260838925838,-0.0002338215708732605,0.0010374081321060658,0.8316768120259951,5.062187461707962e-05,2,0.6133248622048367,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.026888361912456277,0.011776695041369216,0.015111666871087061
6,850006,success,True,False,False,16,127.79021303856544,0.004433248960593466,0.007808353872601814,0.004433248960593466,0.0067575757977059725,aligned_<0.005,aligned_<0.005,0.0010425824002595618,0.005386851453068525,-0.002002783352509141,0.004412570036947727,0.0031003598123788834,0.9420847500328542,1.7872337797540466e-05,2,0.6346408053462393,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.02752268214592051,0.011793396895754047,0.015729285250166467
7,850007,collision,False,True,False,7,-291.09602988731876,0.025968960562295185,0.04984830156006259,0.025968960562295185,0.04984830156006259,off_0.015_0.030,off_0.015_0.030,0.003771690917866571,0.005926223213409693,-0.004868514370173216,-0.004903770051896572,0.0024957358837127686,0.995806178732298,3.276760444838156e-05,2,0.6065031779357766,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.0254354103199127,0.012371909464515014,0.013063500855397685
8,850008,collision,False,True,False,7,-296.69178695021594,0.0644325915067615,0.04926348701096306,0.0644325915067615,0.04926348701096306,far_>=0.030,far_>=0.030,0.004393258930316993,0.005664989548385507,-0.004999842494726181,0.0021169884130358696,0.004886971786618233,0.9633674394982752,4.135532745099016e-05,2,0.6339318596822452,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.026805747551511962,0.012439742469521302,0.01436600508199066
9,850009,success,True,False,False,14,122.65036211599306,0.003991564536697538,0.008496261239890335,0.0030492206217916265,0.008496261239890335,aligned_<0.005,aligned_<0.005,0.0010581373270334943,0.00593602959802725,-0.001613470260053873,0.002278816420584917,0.002609916962683201,1.0613664741720767,0.00016071766542876613,2,0.5864069899824379,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.025278138252693632,0.011643744251656275,0.013634394001037357
