episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,final_xy_bucket,min_xy_bucket,mean_action_z,mean_action_xy_norm,last_action_x,last_action_y,last_action_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,hole_half_size,peg_radius,hole_clearance
0,850000,success,True,False,False,31,156.72293750454608,0.004993471407246672,0.007575864660332554,0.004993471407246672,0.0053037319454563026,aligned_<0.005,aligned_<0.005,0.002550497598525497,0.00561684370410649,0.0040744515135884285,-0.002928029512986541,0.0021456582471728325,0.8454396932340984,0.0001704660451041493,2,0.6068305598746376,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.028183611272743145,0.011581562803346863,0.01660204846939628
1,850001,collision,False,True,False,8,-298.7045685059581,0.02105664611470198,0.035484661620023394,0.001549804624998796,0.035484661620023394,off_0.015_0.030,aligned_<0.005,-4.7683657612651587e-05,0.006165893601897395,0.004940779879689217,0.003946978598833084,0.0026934188790619373,1.0039468790354442,0.0001291008236006262,2,0.6025040952249416,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.028149522816454737,0.012380631033136648,0.01576889178331809
2,850002,success,True,False,False,21,136.68798972081305,0.0038374841867360654,0.0075742168754933115,0.0038374841867360654,0.005066277669058872,aligned_<0.005,aligned_<0.005,0.002093279246418249,0.005411703877867881,-0.003974216058850288,0.0009268606081604958,0.00377668347209692,0.8064621148306542,0.0001690105152373011,2,0.6237989846923551,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.028381830445460783,0.011590619686682367,0.016791210758778416
3,850003,collision,False,True,False,8,-289.7347569324207,0.022723887345673915,0.046195962555938275,0.01918855867013222,0.046195962555938275,off_0.015_0.030,off_0.015_0.030,0.004445866565220058,0.006528257533471554,0.004883297719061375,-0.004965032916516066,0.003642098978161812,0.8449602628987656,8.473697528825375e-06,2,0.6804466725090498,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.025311232310240957,0.011699028433995132,0.013612203876245826
4,850004,collision,False,True,False,7,-289.35322529241273,0.04223248098158276,0.048451547584481225,0.04223248098158276,0.048451547584481225,far_>=0.030,far_>=0.030,0.004215852224401065,0.006259839820559468,-0.00499067222699523,0.0038225604221224785,0.0046700891107320786,0.9134120395140612,0.00017980119624143662,2,0.6461360204736848,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.027730448182778044,0.011635370146957084,0.01609507803582096
5,850005,collision,False,True,False,6,-305.56553918793946,0.05482495976231335,0.04715176264021048,0.049160133384881934,0.04715176264021048,far_>=0.030,far_>=0.030,0.0007874059956520796,0.004411973455067397,0.001504260115325451,0.00038496311753988266,0.0011041010729968548,0.8316768120259951,5.062187461707962e-05,2,0.6133248622048367,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,0.026888361912456277,0.011776695041369216,0.015111666871087061
6,850006,success,True,False,False,16,128.39730775034596,0.0035376510100615577,0.007774049499579161,0.0035376510100615577,0.0064634945677959355,aligned_<0.005,aligned_<0.005,0.0011841854284284636,0.005449569058742681,-0.0023093728814274073,0.004369569011032581,0.003557240590453148,0.9420847500328542,1.7872337797540466e-05,2,0.6346408053462393,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.02752268214592051,0.011793396895754047,0.015729285250166467
7,850007,collision,False,True,False,7,-291.1959088461565,0.025984737915099206,0.04956764052821039,0.025984737915099206,0.04956764052821039,off_0.015_0.030,off_0.015_0.030,0.0038085196699414936,0.005922371118737578,-0.004897772800177336,-0.004907438065856695,0.0026269564405083656,0.995806178732298,3.276760444838156e-05,2,0.6065031779357766,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.0254354103199127,0.012371909464515014,0.013063500855397685
8,850008,collision,False,True,False,7,-297.24294112771497,0.06523740646598958,0.0492083552299144,0.06523740646598958,0.0492083552299144,far_>=0.030,far_>=0.030,0.004471988816346441,0.005731037360850777,-0.004999888129532337,0.0024242443032562733,0.004884206689894199,0.9633674394982752,4.135532745099016e-05,2,0.6339318596822452,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.026805747551511962,0.012439742469521302,0.01436600508199066
9,850009,success,True,False,False,28,141.28805546261015,0.00350862143365073,0.007636821267799521,0.0029039234064776485,0.006507495164742583,aligned_<0.005,aligned_<0.005,0.0024092671228572726,0.005773622250242497,0.00298953615128994,0.003586018458008766,0.004372905008494854,1.0613664741720767,0.00016071766542876613,2,0.5864069899824379,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,0.025278138252693632,0.011643744251656275,0.013634394001037357
