metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,2000.0,0.021856598758138716,0.0011365261051914223,0.020000148564577103,0.020165350288152695,0.021835308521986008,0.023804062977433205,0.023988332599401474
peg_radius,2000.0,0.012001149482093751,0.0002967689642281311,0.011501741595566273,0.011547335423529148,0.012003747280687094,0.012449759338051081,0.012498956173658371
hole_clearance,2000.0,0.009855449262075126,0.0011593323630031888,0.007580419071018696,0.008125944063067436,0.009808058384805918,0.011853343807160854,0.012413695454597473
control_action_scale_multiplier,2000.0,0.9808780738711357,0.10302921091877687,0.8007844090461731,0.8227211833000183,0.9817839860916138,1.168920874595642,1.197973608970642
control_action_noise_std,2000.0,0.0002742157375872836,0.00022123234649593882,1.33453937678496e-07,2.1036814359831624e-05,0.00020291880355216563,0.000714234512997791,0.0007956410991027951
control_action_delay,2000.0,1.4935,0.7442833801718268,0.0,0.0,2.0,2.0,2.0
control_action_filter_alpha,2000.0,0.7073452123105526,0.12616644333902843,0.550426721572876,0.5610715746879578,0.6678473353385925,0.9635257720947266,0.9993667602539062
fixture_height_offset,2000.0,8.149836318125381e-07,0.0005827500949851769,-0.0009730904712341726,-0.0008720302139408886,2.835585746652214e-05,0.0008984817541204393,0.0009938896400853992
table_height_offset,2000.0,4.061386732786332e-05,0.0005938651802349694,-0.000998223084025085,-0.0009168311371468008,6.483861216111109e-05,0.0009448844619328156,0.0009988527745008469
desired_z,2000.0,0.7169682474434376,0.01810845368639439,0.6538078188896179,0.6852958917617797,0.729250431060791,0.7308216691017151,0.7309938669204712
step_id,2000.0,59.204,82.29752355933925,0.0,1.0,6.0,198.0,199.0
steps_to_end,2000.0,3.973,2.1249167042498396,1.0,1.0,4.0,8.0,8.0
dist_xy,2000.0,0.03758515790264937,0.03483188453276268,0.0009202792425639927,0.008679940132424235,0.025934062898159027,0.0936020441353321,0.22991730272769928
dist_z,2000.0,0.04812000810034806,0.02317698023377265,0.00047436991007998586,0.007968142209574581,0.05273810401558876,0.07787789218127728,0.08131994307041168
z_above_target,2000.0,0.04777607721090317,0.02387789675548314,-0.013729333877563477,0.007899194955825806,0.05273813009262085,0.07787790596485138,0.08131998777389526
policy_norm,2000.0,0.006647693685197737,0.001189877632139503,0.0006863711168989539,0.004599876748397946,0.006833714200183749,0.008354872418567538,0.008654456585645676
oracle_norm,2000.0,0.006538185048266314,0.0006756942278706606,0.0037230944726616144,0.005217374232597649,0.007071067579090595,0.0070710680447518826,0.0070710680447518826
correction_norm,2000.0,0.007753758126869798,0.002970488149212145,0.004001965746283531,0.004165606014430523,0.007131830556318164,0.013514410797506569,0.01566808670759201
correction_xy_norm,2000.0,0.005775746983621502,0.003054876557131459,0.000128472936921753,0.0015030540118459613,0.005040300311520696,0.011210382729768754,0.012063346803188324
action_cosine,2000.0,0.23767371711597662,0.5404881875652267,-0.9998533129692078,-0.8800755560398101,0.3951662480831146,0.8352862417697906,0.9941043853759766
near_hole_rate,2000.0,0.5405,0.49835705071765574,0.0,0.0,1.0,1.0,1.0
failure_window_rate,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
opposed_actions_rate,2000.0,0.2855,0.45165224454219205,0.0,0.0,0.0,1.0,1.0
policy_down_or_oracle_up_rate,2000.0,0.189,0.39150862059474506,0.0,0.0,0.0,1.0,1.0
policy_down_oracle_less_down_rate,2000.0,0.6495,0.477126555538465,0.0,0.0,1.0,1.0,1.0
episode_success_rate,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_collision_rate,2000.0,0.7825,0.41254545204134785,0.0,0.0,1.0,1.0,1.0
episode_timeout_rate,2000.0,0.2215,0.41525624619022883,0.0,0.0,0.0,1.0,1.0
hole_center_offset_x,2000.0,4.413399727218348e-05,0.0011349512608795334,-0.001989734824746847,-0.001773513969965279,5.554392555495724e-05,0.001785612665116787,0.0019937779288738966
hole_center_offset_y,2000.0,-6.338727705474412e-05,0.0011603975538646474,-0.001997112762182951,-0.0018028502527158707,4.346464265836403e-06,0.0017674302216619253,0.0019923981744796038
hole_center_offset_norm,2000.0,0.0015268679271757718,0.0005561267284930844,7.083189848344773e-05,0.00045042736601317305,0.0016138521023094654,0.002314961783122271,0.002789947669953108
action_norm,2000.0,1.3076370108127593,0.13513884350236785,0.7446188926696777,1.0434748113155365,1.4142135381698608,1.4142135381698608,1.4142136573791504
raw_action_norm,2000.0,0.006538185069686733,0.0006756943054739563,0.0037230942398309708,0.005217374232597649,0.007071067579090595,0.0070710680447518826,0.0070710680447518826
policy_action_norm,2000.0,1.3295387329682709,0.2379755244319899,0.13727422058582306,0.9199753165245056,1.3667428493499756,1.670974451303482,1.7308913469314575
policy_raw_action_norm,2000.0,0.006647693686711136,0.00118987762894606,0.0006863711168989539,0.004599876748397946,0.006833714200183749,0.008354872418567538,0.008654456585645676
correction_raw_action_norm,2000.0,0.007753758122911677,0.0029704881298665262,0.004001965746283531,0.004165606014430523,0.007131830556318164,0.013514410797506569,0.01566808670759201
