metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,2000.0,0.021856598758138716,0.0011365261051914223,0.020000148564577103,0.020165350288152695,0.021835308521986008,0.023804062977433205,0.023988332599401474
peg_radius,2000.0,0.012001149482093751,0.0002967689642281311,0.011501741595566273,0.011547335423529148,0.012003747280687094,0.012449759338051081,0.012498956173658371
hole_clearance,2000.0,0.009855449262075126,0.0011593323630031888,0.007580419071018696,0.008125944063067436,0.009808058384805918,0.011853343807160854,0.012413695454597473
control_action_scale_multiplier,2000.0,0.9808780738711357,0.10302921091877687,0.8007844090461731,0.8227211833000183,0.9817839860916138,1.168920874595642,1.197973608970642
control_action_noise_std,2000.0,0.0002742157375872836,0.00022123234649593882,1.33453937678496e-07,2.1036814359831624e-05,0.00020291880355216563,0.000714234512997791,0.0007956410991027951
control_action_delay,2000.0,1.4935,0.7442833801718268,0.0,0.0,2.0,2.0,2.0
control_action_filter_alpha,2000.0,0.7073452123105526,0.12616644333902843,0.550426721572876,0.5610715746879578,0.6678473353385925,0.9635257720947266,0.9993667602539062
fixture_height_offset,2000.0,8.149836318125381e-07,0.0005827500949851769,-0.0009730904712341726,-0.0008720302139408886,2.835585746652214e-05,0.0008984817541204393,0.0009938896400853992
table_height_offset,2000.0,4.061386732786332e-05,0.0005938651802349694,-0.000998223084025085,-0.0009168311371468008,6.483861216111109e-05,0.0009448844619328156,0.0009988527745008469
contact_friction_multiplier,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_time_multiplier,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_damping_multiplier,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solimp_width_multiplier,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
joint_damping_multiplier,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
actuator_kp_multiplier,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
desired_z,2000.0,0.7169682474434376,0.01810845368639439,0.6538078188896179,0.6852958917617797,0.729250431060791,0.7308216691017151,0.7309938669204712
step_id,2000.0,59.204,82.29752355933925,0.0,1.0,6.0,198.0,199.0
hole_center_offset_x,2000.0,4.413399727218348e-05,0.0011349512608795334,-0.001989734824746847,-0.001773513969965279,5.554392555495724e-05,0.001785612665116787,0.0019937779288738966
hole_center_offset_y,2000.0,-6.338727705474412e-05,0.0011603975538646474,-0.001997112762182951,-0.0018028502527158707,4.346464265836403e-06,0.0017674302216619253,0.0019923981744796038
hole_center_offset_norm,2000.0,0.0015268679271757718,0.0005561267284930844,7.083189848344773e-05,0.00045042736601317305,0.0016138521023094654,0.002314961783122271,0.002789947669953108
action_norm,2000.0,1.3076370108127593,0.13513884350236785,0.7446188926696777,1.0434748113155365,1.4142135381698608,1.4142135381698608,1.4142136573791504
raw_action_norm,2000.0,0.006538185069686733,0.0006756943054739563,0.0037230942398309708,0.005217374232597649,0.007071067579090595,0.0070710680447518826,0.0070710680447518826
unique_episode_id_count,492.0,492.0,0.0,492.0,492.0,492.0,492.0,492.0
