metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,200.0,0.02197337525896728,0.00133120227094112,0.020011134445667267,0.020061057060956955,0.02190718986093998,0.023866863921284676,0.023928293958306313
peg_radius,200.0,0.012036599111743271,0.00029784667979477667,0.01155939418822527,0.011595305986702442,0.012058557942509651,0.012448691017925739,0.012476426549255848
hole_clearance,200.0,0.009936776100657881,0.0013251578142224872,0.007810412906110287,0.008025763556361198,0.009984110947698355,0.01184101765975356,0.011989457532763481
control_action_scale_multiplier,200.0,0.9817853459715843,0.09839759652436263,0.8009325861930847,0.8339423537254333,0.9800384640693665,1.1556230783462524,1.1590155363082886
control_action_noise_std,200.0,0.0003089643651946972,0.00023883972685309135,1.7140291674877517e-06,1.961218731594272e-05,0.00022036682639736682,0.0007142195827327669,0.0007559677469544113
control_action_delay,200.0,1.51,0.7210409142344143,0.0,0.0,2.0,2.0,2.0
control_action_filter_alpha,200.0,0.7047953370213509,0.12562135142864897,0.5532841086387634,0.5573711395263672,0.661998450756073,0.9581735730171204,0.9753904342651367
fixture_height_offset,200.0,-2.0475057515341176e-05,0.0005728470369452963,-0.0009995248401537538,-0.0008280010079033673,-2.0741367734444793e-06,0.00084693543612957,0.0009839021367952228
table_height_offset,200.0,-2.3486653917643706e-05,0.0005458118952725318,-0.0009663312812335789,-0.0008384231477975845,-0.00011106609599664807,0.0008260452887043357,0.0009809813927859068
contact_friction_multiplier,200.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_time_multiplier,200.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_damping_multiplier,200.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solimp_width_multiplier,200.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
joint_damping_multiplier,200.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
actuator_kp_multiplier,200.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
desired_z,200.0,0.7213010656833648,0.014807242419880904,0.6758618354797363,0.6884380966424942,0.72945636510849,0.7304605573415757,0.7308938503265381
step_id,200.0,40.715,71.58892215280238,0.0,0.0,5.0,197.0,199.0
hole_center_offset_x,200.0,0.0002740692188854155,0.0010885131071922708,-0.0019745882600545883,-0.0014363615307956931,0.00042859360110014677,0.0018404890666715796,0.001968927914276719
hole_center_offset_y,200.0,-9.540479537918145e-05,0.0012507031483259812,-0.0019521355861797929,-0.001807783351978287,-0.00030010510818101466,0.0018496026750653982,0.0019043656066060066
hole_center_offset_norm,200.0,0.0015880072026629932,0.000558183011560434,0.0004417511518113315,0.0006595210870727897,0.0017380457138642669,0.0022554874885827303,0.002660823753103614
action_norm,200.0,1.2856888258457184,0.13600599489353674,1.0000511407852173,1.0374315321445464,1.2502420544624329,1.4142135381698608,1.4142135381698608
raw_action_norm,200.0,0.006428444108460099,0.0006800300284854572,0.005000255536288023,0.005187157564796508,0.006251210113987327,0.0070710680447518826,0.0070710680447518826
unique_episode_id_count,53.0,53.0,0.0,53.0,53.0,53.0,53.0,53.0
