metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,8405.0,0.02175416047665457,0.0011455130171095613,0.020000044256448746,0.020129231736063957,0.02163105085492134,0.023744633421301842,0.023999851197004318
peg_radius,8405.0,0.01199704840522235,0.0002855513864042573,0.011500218883156776,0.01154852844774723,0.011993498541414738,0.012445072643458843,0.01249991450458765
hole_clearance,8405.0,0.009757112061016478,0.001195250758251957,0.00757157988846302,0.008033473044633865,0.00961428601294756,0.011828709021210667,0.012446009553968906
control_action_scale_multiplier,8405.0,0.9952844804770035,0.10662203158430661,0.8001711964607239,0.821609377861023,1.0003224611282349,1.1701663732528687,1.1999789476394653
control_action_noise_std,8405.0,0.00028828857476238145,0.00022706173498163542,4.800880901711935e-07,2.117454459948931e-05,0.00021121598547324538,0.0007296215044334531,0.0007995037594810128
control_action_delay,8405.0,1.338607971445568,0.8029038399685715,0.0,0.0,2.0,2.0,2.0
control_action_filter_alpha,8405.0,0.7217591202946946,0.12993242850697836,0.5500069856643677,0.5638165473937988,0.6800224184989929,0.9659505486488338,0.9996157884597778
fixture_height_offset,8405.0,-3.742546026602941e-05,0.0005708102058808013,-0.0009996095905080438,-0.0009017300908453763,-4.121940946788527e-05,0.0008694191346876323,0.0009998736204579473
table_height_offset,8405.0,-2.4098407700113994e-06,0.0005732322094490907,-0.000999925658106804,-0.0008860617526806891,-3.4292784221179318e-06,0.0009009225177578628,0.0009973394917324185
desired_z,8405.0,0.7042584701778632,0.01775332365906704,0.6512963771820068,0.6805191397666931,0.6998630166053772,0.7303438186645508,0.7309998869895935
step_id,8405.0,121.17096966091613,88.57246824865727,0.0,3.0,190.0,199.0,199.0
steps_to_end,8405.0,4.60202260559191,2.630615646807045,1.0,1.0,4.0,10.0,10.0
dist_xy,8405.0,0.014226418573807078,0.005577142698222701,9.014910756377503e-05,0.0076057490892708305,0.012496770359575748,0.024920273572206497,0.029939044266939163
dist_z,8405.0,0.03807483845972664,0.021731278903467443,0.007424107287079096,0.008100614883005619,0.040213193744421005,0.0703076109290123,0.08550992608070374
z_above_target,8405.0,0.03807483849108467,0.021731277800453495,0.007424116134643555,0.008100628852844238,0.040213167667388916,0.07030762434005737,0.08550989627838135
policy_norm,8405.0,0.006999903570365876,0.001212252161224151,0.0013028479879722,0.004764829482883215,0.007171180564910173,0.008586124144494533,0.008660215884447098
oracle_norm,8405.0,0.006365171941063726,0.0006009610375935943,0.0035596895031630993,0.005274554807692766,0.006103278137743473,0.0070710680447518826,0.0070710680447518826
correction_norm,8405.0,0.009603504260147631,0.002519335780587396,0.006000579334795475,0.006300307437777519,0.009121145121753216,0.014233254827558994,0.015670545399188995
correction_xy_norm,8405.0,0.006687373410795961,0.003455388060779232,1.3850076356902719e-05,0.0014106718823313717,0.007337086368352175,0.011539361439645289,0.01206539012491703
action_cosine,8405.0,-0.061021355491155505,0.47960813554954285,-0.9992375373840332,-0.9321998357772827,0.05349630489945412,0.5318499207496643,0.7264566421508789
near_hole_rate,8405.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
failure_window_rate,8405.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
opposed_actions_rate,8405.0,0.46995835812016656,0.4990966837729579,0.0,0.0,0.0,1.0,1.0
policy_down_or_oracle_up_rate,8405.0,0.19452706722189173,0.3958361875068288,0.0,0.0,0.0,1.0,1.0
policy_down_oracle_less_down_rate,8405.0,0.43902439024390244,0.4962680475457513,0.0,0.0,0.0,1.0,1.0
episode_success_rate,8405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_collision_rate,8405.0,0.503747769185009,0.49998595402884666,0.0,0.0,1.0,1.0,1.0
episode_timeout_rate,8405.0,0.49839381320642473,0.49999742015732856,0.0,0.0,0.0,1.0,1.0
hole_center_offset_x,8405.0,8.128626373564604e-05,0.001155793440276362,-0.0019992580637335777,-0.0017664689803496003,0.00010347679199185222,0.0018145133508369327,0.0019987737759947777
hole_center_offset_y,8405.0,4.2581227946688764e-05,0.0011639911695762444,-0.0019993686582893133,-0.001783275161869824,5.270569090498611e-05,0.0018382964190095663,0.001999734900891781
hole_center_offset_norm,8405.0,0.0015356534203671455,0.000583886211759581,4.45856130681932e-05,0.0004819345776923001,0.0016230619512498379,0.0024409457109868526,0.0027926424518227577
action_norm,8405.0,1.273034393425714,0.12019220620816375,0.7119379043579102,1.054910922050476,1.2206555604934692,1.4142135381698608,1.4142135381698608
raw_action_norm,8405.0,0.006365171910148914,0.0006009611310487815,0.0035596892703324556,0.005274554807692766,0.006103277672082186,0.0070710680447518826,0.0070710680447518826
policy_action_norm,8405.0,1.3999807123163497,0.2424504321191425,0.26056957244873047,0.9529659271240234,1.4342360496520996,1.7172248840332032,1.7320431470870972
policy_raw_action_norm,8405.0,0.006999903573994766,0.0012122521657206085,0.001302847871556878,0.004764829576015472,0.007171180564910173,0.008586124144494533,0.008660215884447098
correction_raw_action_norm,8405.0,0.009603504267072993,0.002519335791969714,0.006000579334795475,0.006300307437777519,0.00912114605307579,0.01423325426876545,0.015670545399188995
