metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,2350.0,0.02250738077024196,0.001988251298494095,0.020001143217086792,0.02014809101819992,0.02203322760760784,0.026298092678189278,0.028999339789152145
peg_radius,2350.0,0.011995163855162706,0.0002944650488844267,0.011502766981720924,0.011545739136636257,0.011971221771091223,0.01246067974716425,0.012499972246587276
hole_clearance,2350.0,0.010512216879807888,0.0020401410207310424,0.0075599499978125095,0.008043221198022366,0.010058943182229996,0.01452457346022129,0.016738418489694595
control_action_scale_multiplier,2350.0,0.9659326792016942,0.10564549740199648,0.8000778555870056,0.8164224028587341,0.9643892645835876,1.1451902389526367,1.1976367235183716
control_action_noise_std,2350.0,0.0002696363559702321,0.00022495727729921714,8.967018771954827e-08,2.2219306447368585e-05,0.0001974098340724595,0.0007228119065985084,0.0007905614911578596
control_action_delay,2350.0,1.3097872340425532,0.848145635230433,0.0,0.0,2.0,2.0,2.0
control_action_filter_alpha,2350.0,0.7160206613642104,0.12901915781325568,0.5505056381225586,0.559329628944397,0.6679373979568481,0.9651060700416565,0.9990390539169312
fixture_height_offset,2350.0,-7.43843957694635e-05,0.0005614771720895795,-0.0009905268670991063,-0.0009035092080011964,-0.00010691036732168868,0.0008494011126458645,0.0009891747031360865
table_height_offset,2350.0,-1.5164039618576544e-05,0.0005703093162096465,-0.0009857225231826305,-0.0008868193835951388,6.582308287761407e-06,0.0008965504821389914,0.0009988527745008469
desired_z,2350.0,0.6970904501194649,0.011236010401782182,0.6559303402900696,0.6812319248914719,0.6968455016613007,0.7164889603853226,0.7305470108985901
step_id,2350.0,194.66297872340425,2.753031532069435,190.0,190.0,195.0,199.0,199.0
steps_to_end,2350.0,5.3370212765957445,2.7530315320694356,1.0,1.0,5.0,10.0,10.0
dist_xy,2350.0,0.011791421463960741,0.00280545206511193,0.0012883677845820785,0.00787295661866665,0.011767073534429073,0.016765102557837953,0.020165378227829933
dist_z,2350.0,0.02576625000467484,0.01977487246769473,0.007330434396862984,0.00787246054969728,0.018639491870999336,0.07549498938024038,0.08633879572153091
z_above_target,2350.0,0.025766250224823647,0.01977487279021358,0.007330417633056641,0.007872447371482849,0.01863950490951538,0.07549499869346613,0.0863388180732727
policy_norm,2350.0,0.00705216438821616,0.001349632433189633,0.001343080890364945,0.004517258959822357,0.007267703069373965,0.008652036776766181,0.00866006314754486
oracle_norm,2350.0,0.006494654771733157,0.000652321009223014,0.0036207600496709347,0.0053047592053189875,0.006890167715027928,0.0070710680447518826,0.0070710680447518826
correction_norm,2350.0,0.01054921925721809,0.0021051411167883408,0.006007688120007515,0.007083563739433885,0.010480223689228296,0.014256639732047912,0.015666302293539047
correction_xy_norm,2350.0,0.008608373418621263,0.0023574387588015666,0.0002927698369603604,0.003358288004528731,0.009093173313885927,0.011692152079194782,0.012069229036569595
action_cosine,2350.0,-0.2260158473847866,0.39923959398584447,-0.9965001344680786,-0.913257497549057,-0.22677936404943466,0.41848258376121505,0.7846912741661072
near_hole_rate,2350.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
failure_window_rate,2350.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
opposed_actions_rate,2350.0,0.6531914893617021,0.4759541654268229,0.0,0.0,1.0,1.0,1.0
policy_down_or_oracle_up_rate,2350.0,0.2297872340425532,0.4206959247646999,0.0,0.0,0.0,1.0,1.0
policy_down_oracle_less_down_rate,2350.0,0.6527659574468085,0.4760909180454505,0.0,0.0,1.0,1.0,1.0
episode_success_rate,2350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_collision_rate,2350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_timeout_rate,2350.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hole_center_offset_x,2350.0,1.4719050699316907e-05,0.001170279848652061,-0.001996827544644475,-0.0017902776598930359,1.3283081898407545e-05,0.0017749343533068895,0.001999626401811838
hole_center_offset_y,2350.0,9.977309117044918e-05,0.00119389999588523,-0.0019923257641494274,-0.001819806988351047,0.0001579802337801084,0.0018627953249961138,0.0019945676904171705
hole_center_offset_norm,2350.0,0.0015728175337023865,0.0005756461100069912,4.572990656015463e-05,0.0005243505322141573,0.0016701910644769669,0.0024614606518298388,0.002760083181783557
action_norm,2350.0,1.2989309583318995,0.1304642002287448,0.7241520285606384,1.060951793193817,1.3780335187911987,1.4142135381698608,1.4142135381698608
raw_action_norm,2350.0,0.006494654783919612,0.0006523211076197465,0.0036207600496709347,0.0053047592053189875,0.006890167715027928,0.0070710680447518826,0.0070710680447518826
policy_action_norm,2350.0,1.4104328744589014,0.2699264871154303,0.2686161696910858,0.9034518301486969,1.4535406231880188,1.7304073691368103,1.7320126295089722
policy_raw_action_norm,2350.0,0.007052164388067545,0.0013496324321382444,0.001343080773949623,0.004517259215936065,0.007267703069373965,0.008652036776766181,0.00866006314754486
correction_raw_action_norm,2350.0,0.010549219259001473,0.0021051411150784993,0.006007688120007515,0.0070835639955475925,0.010480223689228296,0.014256639732047912,0.015666302293539047
