metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,50000.0,0.022060235392600297,0.0011628211983389372,0.02000213973224163,0.020207274705171585,0.02206992544233799,0.023824408650398254,0.023997673764824867
peg_radius,50000.0,0.012008945129923522,0.0002893235802887829,0.011500151827931404,0.011550663970410824,0.0120212621986866,0.012448247522115707,0.012499701231718063
hole_clearance,50000.0,0.010051290269745513,0.001200413516888896,0.0075598363764584064,0.008135609328746796,0.010053924284875393,0.011913084425032139,0.012464306317269802
control_action_scale_multiplier,50000.0,1.007769181162119,0.1145929675704781,0.8004668354988098,0.8235003352165222,1.0109318494796753,1.18186702132225,1.1999708414077759
control_action_noise_std,50000.0,0.0004010126702225767,0.00023276909563346373,4.4616851369028154e-07,3.9882066630525514e-05,0.00040806407923810184,0.0007597991498187184,0.000799414818175137
control_action_delay,50000.0,0.87592,0.7749349350751972,0.0,0.0,1.0,2.0,2.0
control_action_filter_alpha,50000.0,0.7854552395272255,0.128803969533878,0.5507011413574219,0.5728958249092102,0.7894774079322815,0.9805141091346741,0.9999825954437256
fixture_height_offset,50000.0,2.1448554487275118e-05,0.0005808584590071661,-0.000999984797090292,-0.0008924140711314976,3.317229857202619e-05,0.0008988543995656073,0.0009999864269047976
table_height_offset,50000.0,1.5663906382093273e-06,0.0005862088306486061,-0.0009987581288442016,-0.0009143218630924821,9.463782589591574e-06,0.0008921019034460187,0.000999784329906106
contact_friction_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_time_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_damping_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solimp_width_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
joint_damping_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
actuator_kp_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
desired_z,50000.0,0.6966852046644688,0.024771727985533946,0.6491642594337463,0.6657704412937164,0.6876799464225769,0.7306601405143738,0.7310000061988831
step_id,50000.0,9.18162,7.038507950950969,0.0,0.0,8.0,23.0,43.0
hole_center_offset_x,50000.0,-4.477279503629461e-06,0.0011543615426304061,-0.001996504608541727,-0.0018071782542392612,-1.388113378197886e-05,0.0017893355514388475,0.001999662024900317
hole_center_offset_y,50000.0,1.8378379166472313e-06,0.001155009076426009,-0.001997952349483967,-0.001787992543540895,6.257167228795879e-07,0.0017980682896450162,0.001999420113861561
hole_center_offset_norm,50000.0,0.0015336727810758022,0.0005607742560400915,4.331194577389397e-05,0.0005267451633699238,0.0015919782454147935,0.002404376631602645,0.0028071000706404448
action_norm,50000.0,1.1249321301734447,0.18741681302295315,0.17183957993984222,0.7897390246391297,1.1821426153182983,1.4142135381698608,1.4142136573791504
raw_action_norm,50000.0,0.005624660483729094,0.0009370840934168982,0.0008591979276388884,0.003948695072904229,0.005910713225603104,0.0070710680447518826,0.0070710680447518826
unique_episode_id_count,2978.0,2978.0,0.0,2978.0,2978.0,2978.0,2978.0,2978.0
