metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,50000.0,0.022113861428610982,0.0011715597995862889,0.02000240981578827,0.020214110612869263,0.022139661014080048,0.023832149803638458,0.023999979719519615
peg_radius,50000.0,0.012004751654192805,0.00029114537219584866,0.011500534601509571,0.011551315896213055,0.012004874646663666,0.012455374002456665,0.01249935943633318
hole_clearance,50000.0,0.010109109800076113,0.0012096089652938388,0.0075415996834635735,0.008158489130437374,0.01016360241919756,0.011927022598683834,0.01248853374272585
control_action_scale_multiplier,50000.0,0.9597444453978539,0.08560454949933972,0.8003615140914917,0.8214738368988037,0.9639700651168823,1.0887011289596558,1.0999770164489746
control_action_noise_std,50000.0,0.00012437684524704566,7.178588875582294e-05,6.236648886215335e-08,1.205247735924786e-05,0.00012543682532850653,0.00023489641898777336,0.0002498171234037727
control_action_delay,50000.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
control_action_filter_alpha,50000.0,0.6278849618554115,0.04247075609717464,0.5500577688217163,0.5593252778053284,0.6292175054550171,0.6928775310516357,0.6999296545982361
fixture_height_offset,50000.0,5.3256705661027585e-06,0.0005696590842924065,-0.0009998419554904103,-0.0008931750780902803,2.5030161850736476e-05,0.0008815012988634408,0.0009978178422898054
table_height_offset,50000.0,3.656511376673279e-06,0.0005775655193243374,-0.0009977449662983418,-0.0009009395143948495,-1.6771313084973372e-06,0.0009037817944772542,0.0009996877051889896
contact_friction_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_time_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solref_damping_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contact_solimp_width_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
joint_damping_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
actuator_kp_multiplier,50000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
desired_z,50000.0,0.6974816540884972,0.022991384254099998,0.6499938368797302,0.6685524612665177,0.6920329034328461,0.7305470108985901,0.7309978008270264
step_id,50000.0,9.6196,7.279399414786909,0.0,0.0,8.0,25.0,45.0
hole_center_offset_x,50000.0,6.469650514692148e-05,0.0011603501218709032,-0.00199845340102911,-0.001791202463209629,7.416338485199958e-05,0.001845327322371304,0.0019996068440377712
hole_center_offset_y,50000.0,-9.983538573583247e-06,0.0011612669894987943,-0.0019962002988904715,-0.0018234127201139927,-1.2174958101240918e-05,0.001804395578801632,0.0019996296614408493
hole_center_offset_norm,50000.0,0.0015425582843489247,0.000565466775784841,4.295891267247498e-05,0.0004944693646393716,0.0016259733820334077,0.002384154824540019,0.002792380517348647
action_norm,50000.0,1.1710095421254634,0.1700438880165014,0.3065597414970398,0.8532086133956909,1.2206555604934692,1.4142135381698608,1.4142136573791504
raw_action_norm,50000.0,0.005855047544303816,0.0008502194862339742,0.0015327988658100367,0.004266043100506068,0.006103277672082186,0.0070710680447518826,0.0070710680447518826
unique_episode_id_count,2791.0,2791.0,0.0,2791.0,2791.0,2791.0,2791.0,2791.0
