run,seed,episode,outcome,failure_mode,steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,success_shape_yaw_error_deg,final_shape_yaw_error_deg,final_peg_tilt_angle_deg,low_z_misaligned_steps,insert_band_misaligned_steps,visual_yaw_align_steps,visual_yaw_align_blocked_steps,final_servo_descent_steps,final_servo_recovery_triggers,fixture_clearance_steps,last_pre_dist_xy,last_pre_z_above_target,last_true_signed_yaw_deg,last_pred_signed_yaw_deg,last_pose_ik_target_square_yaw_error_deg,last_final_servo_phase,last_visual_yaw_reason,top_visual_yaw_reasons,temporal_gate_steps,low_visibility_brake_steps,target_hold_steps,aligned_descent_steps,blocked_down_rows,visible_prediction_rows,high_pred_rows,sign_mismatch_rows,high_error_rows,correct_high_yaw_visible_rows,correct_high_yaw_xy_gate_rows,correct_high_yaw_raw_norm_gate_rows,correct_high_yaw_inactive_rows,max_pred_abs_yaw_deg,max_truth_abs_yaw_deg,max_pred_truth_abs_error_deg,final_window_pred_abs_mean_deg,final_window_truth_abs_mean_deg,final_window_pred_truth_abs_error_mean_deg
temporal_gate,908500,0,success,success,237,0.001384,0.009128,0.000220,0.009128,0.831,0.831,0.043,0,0,129,52,57,0,0,0.001487,0.010609,0.831,-1.605,nan,square_fast_settle,aligned_descent_latch,inactive_phase:100;applied:76;aligned_descent:45,8,0,0,53,52,137,9,0,1,5,0,0,0,170.752,177.789,30.291,1.728,1.884,3.611
temporal_gate,908501,1,success,success,595,0.004533,0.003987,0.004533,0.003567,6.631,6.631,0.033,249,24,153,172,0,1,0,0.005061,0.004021,6.631,-2.940,nan,inactive,target_hold_z_gate,xy_gate:178;inactive_phase:137;applied:129,25,58,14,24,172,182,121,35,28,26,0,0,0,179.899,179.994,71.186,2.079,3.183,5.127
temporal_gate,908502,2,success,success,307,0.001862,0.009068,0.000647,0.009068,1.898,1.898,0.040,0,0,110,39,58,0,0,0.001899,0.010567,1.898,-1.236,nan,square_fast_settle,aligned_descent,inactive_phase:185;applied:62;aligned_descent_latch:31,12,0,0,48,39,122,11,0,0,8,0,0,0,175.051,179.960,21.786,1.862,1.307,3.161
temporal_gate,908503,3,timeout,timeout_yaw_not_aligned,1000,0.003146,0.077525,0.000686,0.023010,14.922,14.922,0.856,34,0,82,137,29,1,0,0.002842,0.078034,14.922,2.118,nan,near_miss_descend,applied,inactive_phase:439;raw_norm_gate:229;xy_gate:166,39,16,29,0,137,122,276,13,5,29,0,0,0,179.849,178.355,46.980,2.038,16.893,14.855
temporal_gate,908504,4,success,success,357,0.000827,0.009736,0.000118,0.009736,0.993,0.993,0.069,0,0,108,52,66,0,0,0.000636,0.011032,0.993,-1.731,nan,square_fast_settle,aligned_descent_latch,inactive_phase:223;applied:51;aligned_descent_latch:46,10,0,16,58,52,134,8,0,0,5,0,0,0,175.916,175.795,25.796,1.533,0.729,2.114
temporal_gate,908505,5,success,success,304,0.001333,0.009921,0.000278,0.009921,8.561,8.561,0.029,0,0,105,56,60,0,0,0.001274,0.011305,8.561,-0.568,nan,square_fast_settle,aligned_descent,inactive_phase:171;applied:63;aligned_descent:26,9,0,18,52,56,132,10,0,1,6,0,0,0,172.023,174.565,47.907,1.418,10.206,11.603
temporal_gate,908506,6,success,success,393,0.001709,0.009605,0.000419,0.009605,2.348,2.348,0.052,0,0,111,40,60,0,0,0.001862,0.011221,2.348,-1.952,nan,square_fast_settle,aligned_descent,inactive_phase:271;applied:64;aligned_descent_latch:25,9,0,2,47,40,122,9,0,0,5,0,0,0,164.957,174.801,26.341,1.703,1.311,3.014
temporal_gate,908507,7,success,success,297,0.001889,0.009479,0.001669,0.009479,0.298,0.298,0.045,0,0,183,60,35,1,0,0.002117,0.010918,0.298,-1.853,nan,square_fast_settle,aligned_descent_latch,applied:128;inactive_phase:105;aligned_descent:44,8,0,0,55,60,191,9,0,1,5,0,0,0,164.255,177.230,33.847,1.562,1.728,3.274
temporal_gate,908508,8,timeout,timeout_wrong_yaw_basin,1000,0.147419,0.096442,0.000080,0.000010,174.997,174.997,5.228,32,10,331,453,404,3,0,0.148293,0.096729,-174.997,-46.583,nan,recover_recenter,xy_gate,applied:288;target_hold_z_gate:235;xy_gate:174,17,16,251,54,453,364,74,11,5,13,0,0,0,179.993,176.720,154.109,137.027,141.073,10.894
temporal_gate,908509,9,success,success,244,0.002683,0.009815,0.000346,0.009815,4.530,4.530,0.034,0,0,113,53,66,0,0,0.002366,0.011463,4.530,-2.656,nan,square_fast_settle,aligned_descent_latch,inactive_phase:112;applied:78;aligned_descent_latch:31,11,0,8,37,53,132,10,0,0,7,0,0,0,177.395,179.451,19.085,1.999,1.537,3.212
temporal_gate,908510,10,timeout,timeout_wrong_yaw_basin,1000,0.213433,0.102377,0.009751,0.053761,176.770,176.770,3.074,0,0,37,76,0,2,0,0.214611,0.102652,-176.770,-14.342,nan,recover_recenter,xy_gate,xy_gate:556;inactive_phase:220;raw_norm_gate:148,24,15,0,0,76,61,190,154,93,20,0,0,0,179.497,179.969,56.825,123.656,135.731,20.355
temporal_gate,908511,11,success,success,374,0.001011,0.008922,0.000464,0.008922,2.757,2.757,0.050,0,0,123,47,68,0,0,0.000983,0.010310,2.757,-2.343,nan,square_fast_settle,aligned_descent_latch,inactive_phase:235;applied:71;aligned_descent_latch:36,10,0,6,52,47,139,8,0,0,5,0,0,0,178.574,179.982,19.529,1.900,1.526,3.427
temporal_gate,908512,12,success,success,424,0.002379,0.009193,0.001547,0.009193,9.802,9.802,0.911,0,0,152,57,62,0,0,0.002240,0.010350,9.802,1.665,nan,square_fast_settle,aligned_descent_latch,inactive_phase:262;applied:95;aligned_descent_latch:54,7,0,2,57,57,161,10,1,0,6,0,0,0,175.106,178.725,25.135,2.657,11.239,8.582
temporal_gate,908513,13,success,success,486,0.001873,0.009307,0.000364,0.009307,8.359,8.359,0.886,0,0,164,137,93,2,0,0.001503,0.010952,8.359,1.473,nan,square_fast_settle,aligned_descent_latch,raw_norm_gate:166;applied:131;inactive_phase:118,21,12,5,33,137,190,200,167,87,16,0,0,0,179.870,179.576,61.316,2.110,5.356,3.246
temporal_gate,908514,14,success,success,286,0.002095,0.009877,0.000619,0.009877,5.364,5.364,0.052,0,0,123,30,66,0,0,0.002166,0.011219,5.364,-2.509,nan,square_fast_settle,aligned_descent_latch,inactive_phase:155;applied:59;aligned_descent:35,8,0,0,64,30,131,8,0,0,5,0,0,0,171.401,173.106,23.595,1.816,3.687,5.504
temporal_gate,908515,15,success,success,276,0.001404,0.009844,0.000574,0.009844,2.349,2.349,0.048,0,0,114,50,56,0,0,0.001706,0.011554,2.349,-2.489,nan,square_fast_settle,aligned_descent_latch,inactive_phase:151;applied:69;aligned_descent_latch:26,11,0,0,45,50,125,11,0,1,7,0,0,0,164.993,178.984,30.350,1.937,1.123,2.047
temporal_gate,908516,16,timeout,timeout_wrong_yaw_basin,1000,0.027816,0.059830,0.027473,0.002113,175.260,175.260,11.004,295,169,18,230,0,1,180,0.027786,0.059860,-175.260,-179.504,nan,inactive,low_visibility_brake,inactive_phase:379;xy_gate:351;low_visibility_brake:180,31,180,2,0,230,50,213,50,2,28,0,0,0,179.984,179.948,37.216,178.540,175.209,4.331
temporal_gate,908517,17,success,success,287,0.001416,0.008806,0.000213,0.008806,2.410,2.410,0.054,0,0,109,54,59,0,0,0.001861,0.010384,2.410,-3.507,nan,square_fast_settle,applied,inactive_phase:153;applied:60;aligned_descent_latch:27,10,0,12,49,54,131,9,1,5,6,0,0,0,170.012,176.410,34.753,1.619,1.708,2.267
temporal_gate,908518,18,success,success,439,0.002165,0.000063,0.000377,0.000063,9.024,9.024,0.229,0,0,133,93,88,0,0,0.001857,-0.000171,9.024,-0.170,nan,square_fast_settle,z_gate,inactive_phase:289;applied:86;aligned_descent:25,10,0,6,48,93,144,8,0,0,5,0,0,0,174.642,179.111,29.196,2.144,11.034,13.177
