run,seed,episode,outcome,failure_mode,steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,success_shape_yaw_error_deg,final_shape_yaw_error_deg,final_peg_tilt_angle_deg,low_z_misaligned_steps,insert_band_misaligned_steps,visual_yaw_align_steps,visual_yaw_align_blocked_steps,final_servo_descent_steps,final_servo_recovery_triggers,fixture_clearance_steps,last_pre_dist_xy,last_pre_z_above_target,last_true_signed_yaw_deg,last_pred_signed_yaw_deg,last_pose_ik_target_square_yaw_error_deg,last_final_servo_phase,last_visual_yaw_reason,top_visual_yaw_reasons,temporal_gate_steps,low_visibility_brake_steps,target_hold_steps,aligned_descent_steps,blocked_down_rows,visible_prediction_rows,high_pred_rows,sign_mismatch_rows,high_error_rows,correct_high_yaw_visible_rows,correct_high_yaw_xy_gate_rows,correct_high_yaw_raw_norm_gate_rows,correct_high_yaw_inactive_rows,max_pred_abs_yaw_deg,max_truth_abs_yaw_deg,max_pred_truth_abs_error_deg,final_window_pred_abs_mean_deg,final_window_truth_abs_mean_deg,final_window_pred_truth_abs_error_mean_deg
high_yaw_arm,906500,0,success,success,323,0.001798,0.008800,0.001535,0.008800,9.666,9.666,0.058,5,0,163,110,30,1,0,0.002012,0.010042,9.666,-1.703,nan,square_fast_settle,aligned_descent_latch,applied:121;inactive_phase:118;aligned_descent_latch:34,0,0,40,45,110,183,8,0,0,5,0,0,0,162.175,177.778,23.678,1.712,5.149,6.739
high_yaw_arm,906501,1,success,success,243,0.002322,0.008779,0.000325,0.008779,0.276,0.276,0.042,0,0,135,46,63,0,0,0.002415,0.010151,-0.276,-1.892,nan,square_fast_settle,aligned_descent_latch,inactive_phase:108;applied:83;aligned_descent:41,0,0,0,52,46,135,9,0,0,6,0,0,0,168.361,178.952,27.335,1.842,0.942,1.111
high_yaw_arm,906502,2,success,success,265,0.002644,0.009661,0.000194,0.009661,1.818,1.818,0.046,0,0,112,50,57,0,0,0.002907,0.011425,1.818,-3.346,nan,square_fast_settle,aligned_descent_latch,inactive_phase:146;applied:66;aligned_descent_latch:25,0,0,7,46,50,118,10,0,2,7,0,0,0,167.722,171.141,32.238,1.889,2.847,2.616
high_yaw_arm,906503,3,success,success,283,0.003020,0.009655,0.000310,0.009655,6.623,6.623,0.060,0,0,170,56,54,0,0,0.003087,0.011235,6.623,-2.340,nan,square_fast_settle,aligned_descent_latch,applied:121;inactive_phase:112;aligned_descent:26,0,0,0,49,56,170,9,0,1,5,0,0,0,168.790,179.967,32.729,1.636,5.042,6.678
high_yaw_arm,906504,4,success,success,668,0.000993,0.009686,0.000291,0.009686,6.147,6.147,0.027,0,0,119,63,69,0,0,0.000986,0.011170,6.147,-2.031,nan,square_fast_settle,aligned_descent_latch,inactive_phase:538;applied:75;aligned_descent_latch:29,0,0,11,44,63,130,8,0,0,5,0,0,0,173.066,179.997,28.346,1.994,4.016,6.010
high_yaw_arm,906505,5,success,success,253,0.001877,0.009098,0.000194,0.009098,2.114,2.114,0.039,0,0,129,29,59,0,0,0.002009,0.010609,2.114,-2.368,nan,square_fast_settle,aligned_descent_latch,inactive_phase:124;applied:76;aligned_descent_latch:39,0,0,0,53,29,129,11,0,0,7,0,0,0,169.649,172.705,14.270,1.859,0.883,2.158
high_yaw_arm,906506,6,success,success,271,0.002039,0.009792,0.000283,0.009792,2.943,2.943,0.044,0,0,146,36,59,0,0,0.002214,0.011232,2.943,-1.250,nan,square_fast_settle,aligned_descent_latch,inactive_phase:124;applied:97;aligned_descent_latch:40,0,0,1,49,36,147,9,0,0,6,0,0,0,167.416,176.452,24.926,1.836,1.075,2.910
high_yaw_arm,906507,7,success,success,294,0.002516,0.008884,0.000109,0.008884,4.257,4.257,0.037,0,0,118,58,64,0,0,0.002719,0.010341,4.257,-2.325,nan,square_fast_settle,aligned_descent_latch,inactive_phase:161;applied:70;aligned_descent_latch:33,0,0,15,48,58,133,10,0,0,7,0,0,0,165.680,172.392,24.797,1.811,3.738,5.549
high_yaw_arm,906508,8,success,success,421,0.001982,0.009742,0.000350,0.009742,6.069,6.069,0.070,0,0,141,43,52,0,0,0.001971,0.011419,6.069,-2.035,nan,square_fast_settle,aligned_descent_latch,inactive_phase:280;applied:92;aligned_descent_latch:34,0,0,0,49,43,141,9,0,0,5,0,0,0,174.365,179.983,25.886,1.834,4.133,5.967
high_yaw_arm,906509,9,success,success,279,0.001316,0.008600,0.000554,0.008600,3.376,3.376,0.039,0,0,110,50,59,0,0,0.001526,0.010322,3.376,-2.659,nan,square_fast_settle,aligned_descent_latch,inactive_phase:156;applied:67;aligned_descent_latch:34,0,0,13,43,50,123,11,0,0,8,0,0,0,170.182,169.804,27.987,1.840,1.313,3.139
high_yaw_arm,906510,10,success,success,870,0.001462,0.004334,0.000262,0.000115,9.990,9.990,0.030,30,11,256,166,117,2,0,0.001620,0.005814,9.990,-1.393,nan,square_fast_settle,target_hold_z_gate,xy_gate:351;applied:152;inactive_phase:151,0,26,37,111,166,288,113,1,6,31,0,0,0,176.683,179.908,102.022,1.743,10.746,12.189
high_yaw_arm,906511,11,success,success,367,0.001916,0.008680,0.000214,0.008680,2.961,2.961,0.098,0,0,121,44,60,0,0,0.001970,0.010099,-2.961,-2.343,nan,square_fast_settle,aligned_descent_latch,inactive_phase:246;applied:64;aligned_descent_latch:33,0,0,0,57,44,121,8,0,0,4,0,0,0,172.891,175.860,26.608,1.679,1.972,0.838
high_yaw_arm,906512,12,success,success,265,0.001608,0.009069,0.000296,0.009069,4.630,4.630,0.038,0,0,129,64,63,0,0,0.001532,0.010629,4.630,-2.012,nan,square_fast_settle,aligned_descent_latch,inactive_phase:122;applied:82;aligned_descent_latch:42,0,0,13,47,64,142,9,0,0,5,0,0,0,170.722,174.016,26.116,1.853,2.136,3.959
high_yaw_arm,906513,13,success,success,233,0.001364,0.009520,0.000052,0.009520,4.559,4.559,0.033,0,0,132,55,63,0,0,0.001641,0.010886,4.559,-2.544,nan,square_fast_settle,aligned_descent_latch,inactive_phase:101;applied:79;aligned_descent:33,0,0,0,53,55,132,9,0,0,6,0,0,0,173.597,179.982,25.682,1.844,3.645,5.489
high_yaw_arm,906514,14,success,success,398,0.001721,0.009315,0.000377,0.009315,6.803,6.803,0.889,0,0,136,87,90,1,0,0.001627,0.010668,6.803,2.075,nan,square_fast_settle,aligned_descent_latch,inactive_phase:109;applied:88;raw_norm_gate:77,0,2,0,48,87,136,99,71,37,14,0,0,0,172.601,179.667,119.495,2.181,3.519,1.433
high_yaw_arm,906515,15,success,success,347,0.002354,0.009380,0.000320,0.009380,7.829,7.829,0.065,0,0,110,44,69,0,0,0.002091,0.010125,7.829,-2.529,nan,square_fast_settle,applied,inactive_phase:220;applied:54;aligned_descent_latch:50,0,0,17,60,44,127,8,0,0,5,0,0,0,178.544,174.241,28.243,1.806,5.069,6.875
high_yaw_arm,906516,16,success,success,220,0.002103,0.009503,0.000338,0.009503,2.377,2.377,0.066,0,0,136,51,61,0,0,0.001946,0.011124,2.377,-2.296,nan,square_fast_settle,aligned_descent_latch,applied:97;inactive_phase:84;aligned_descent:25,0,0,0,39,51,136,9,0,0,6,0,0,0,165.649,171.743,25.712,1.865,1.292,2.468
high_yaw_arm,906517,17,success,success,640,0.000573,0.009850,0.000237,0.009850,3.873,3.873,0.874,0,0,212,139,144,1,0,0.000700,0.011221,3.873,1.796,nan,square_fast_settle,aligned_descent_latch,inactive_phase:231;applied:173;raw_norm_gate:109,0,5,7,41,139,219,132,31,16,16,0,0,0,179.921,178.299,66.763,2.443,4.931,2.556
high_yaw_arm,906518,18,success,success,292,0.001801,0.009721,0.000031,0.009721,0.263,0.263,0.059,0,0,126,40,61,0,0,0.001823,0.011142,0.263,-1.480,nan,square_fast_settle,aligned_descent,inactive_phase:165;applied:70;aligned_descent_latch:36,0,0,1,57,40,127,8,0,0,5,0,0,0,179.085,173.776,24.538,1.779,0.904,2.681
high_yaw_arm,906519,19,success,success,267,0.002023,0.009310,0.000416,0.009310,1.547,1.547,0.043,0,0,125,48,67,0,0,0.002108,0.010620,1.547,-2.483,nan,square_fast_settle,aligned_descent_latch,inactive_phase:131;applied:70;aligned_descent_latch:34,0,0,11,55,48,136,9,0,0,6,0,0,0,176.270,175.636,26.127,1.885,0.769,2.275
high_yaw_arm,908500,0,success,success,236,0.001483,0.009997,0.000269,0.009997,0.872,0.872,0.042,0,0,136,51,56,0,0,0.001532,0.011426,0.872,-2.076,nan,square_fast_settle,aligned_descent_latch,inactive_phase:100;applied:83;aligned_descent:47,0,0,0,53,51,136,9,0,1,5,0,0,0,170.752,177.789,30.280,1.736,1.877,3.613
high_yaw_arm,908501,1,success,success,362,0.002452,0.009325,0.000679,0.009325,5.414,5.414,0.040,0,0,193,116,67,1,0,0.002693,0.010637,5.414,-2.448,nan,square_fast_settle,aligned_descent_latch,applied:161;inactive_phase:137;target_hold_yaw_ok_recenter:28,0,1,30,33,116,223,10,0,1,4,0,0,0,176.621,179.959,32.351,2.081,1.900,3.640
high_yaw_arm,908502,2,success,success,308,0.001788,0.008428,0.000598,0.008428,1.873,1.873,0.040,0,0,123,37,58,0,0,0.001821,0.010040,1.873,-1.810,nan,square_fast_settle,aligned_descent,inactive_phase:185;applied:74;aligned_descent_latch:32,0,0,0,49,37,123,11,0,0,8,0,0,0,175.054,179.961,21.778,1.863,1.305,3.160
