run,seed,episode,outcome,failure_mode,steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,success_shape_yaw_error_deg,final_shape_yaw_error_deg,final_peg_tilt_angle_deg,low_z_misaligned_steps,insert_band_misaligned_steps,visual_yaw_align_steps,visual_yaw_align_blocked_steps,final_servo_descent_steps,final_servo_recovery_triggers,fixture_clearance_steps,last_pre_dist_xy,last_pre_z_above_target,last_true_signed_yaw_deg,last_pred_signed_yaw_deg,last_pose_ik_target_square_yaw_error_deg,last_final_servo_phase,last_visual_yaw_reason,top_visual_yaw_reasons,temporal_gate_steps,low_visibility_brake_steps,target_hold_steps,aligned_descent_steps,blocked_down_rows,visible_prediction_rows,high_pred_rows,sign_mismatch_rows,high_error_rows,correct_high_yaw_visible_rows,correct_high_yaw_xy_gate_rows,correct_high_yaw_raw_norm_gate_rows,correct_high_yaw_inactive_rows,max_pred_abs_yaw_deg,max_truth_abs_yaw_deg,max_pred_truth_abs_error_deg,final_window_pred_abs_mean_deg,final_window_truth_abs_mean_deg,final_window_pred_truth_abs_error_mean_deg
baseline,906500,0,success,success,322,0.001865,0.009909,0.001758,0.009909,9.577,9.577,0.055,3,0,164,107,31,1,0,0.002178,0.011224,9.577,-3.400,nan,square_fast_settle,aligned_descent_latch,applied:123;inactive_phase:118;aligned_descent_latch:31,0,0,38,44,107,182,8,0,0,5,0,0,0,162.177,177.778,23.740,1.760,4.842,6.469
baseline,906501,1,success,success,242,0.002407,0.009948,0.000522,0.009948,0.283,0.283,0.041,0,0,134,46,62,0,0,0.002513,0.011306,-0.283,-1.893,nan,square_fast_settle,aligned_descent_latch,inactive_phase:108;applied:83;aligned_descent:40,0,0,0,51,46,134,9,0,0,6,0,0,0,168.296,179.038,27.354,1.837,0.960,1.112
baseline,906502,2,success,success,264,0.002149,0.009307,0.000248,0.009307,1.892,1.892,0.047,0,0,113,46,56,0,0,0.002509,0.010964,1.892,-3.824,nan,square_fast_settle,aligned_descent_latch,inactive_phase:146;applied:64;aligned_descent_latch:31,0,0,5,49,46,118,10,0,2,7,0,0,0,167.725,171.140,32.594,1.913,3.110,2.878
baseline,906503,3,success,success,285,0.002988,0.009888,0.000329,0.009888,6.651,6.651,0.059,0,0,169,59,54,0,0,0.003089,0.011421,6.651,-2.285,nan,square_fast_settle,aligned_descent_latch,applied:120;inactive_phase:115;aligned_descent_latch:28,0,0,0,49,59,169,9,0,1,5,0,0,0,168.536,179.983,32.371,1.636,5.062,6.697
baseline,906504,4,success,success,666,0.000977,0.009567,0.000081,0.009567,5.754,5.754,0.028,0,0,119,61,67,0,0,0.001066,0.011043,5.754,-2.157,nan,square_fast_settle,aligned_descent_latch,inactive_phase:538;applied:75;aligned_descent_latch:24,0,0,9,44,61,128,8,0,0,5,0,0,0,173.062,179.997,28.345,1.958,3.807,5.766
baseline,906505,5,success,success,253,0.001879,0.009101,0.000184,0.009101,2.138,2.138,0.039,0,0,128,30,59,0,0,0.002011,0.010613,2.138,-2.432,nan,square_fast_settle,aligned_descent_latch,inactive_phase:124;applied:75;aligned_descent_latch:38,0,0,1,53,30,129,11,0,0,7,0,0,0,169.652,172.705,14.275,1.856,0.879,2.170
baseline,906506,6,success,success,272,0.001982,0.008911,0.000564,0.008911,3.070,3.070,0.042,0,0,147,37,60,0,0,0.002125,0.010444,3.070,-2.505,nan,square_fast_settle,aligned_descent_latch,inactive_phase:124;applied:99;aligned_descent_latch:36,0,0,1,48,37,148,9,0,0,6,0,0,0,167.409,176.453,24.945,1.845,1.079,2.924
baseline,906507,7,success,success,294,0.002543,0.009237,0.000117,0.009237,4.270,4.270,0.037,0,0,119,59,64,0,0,0.002746,0.010692,4.270,-2.410,nan,square_fast_settle,aligned_descent_latch,inactive_phase:161;applied:71;aligned_descent_latch:32,0,0,14,48,59,133,10,0,0,7,0,0,0,165.636,172.409,24.730,1.822,3.724,5.546
baseline,906508,8,success,success,422,0.002149,0.008510,0.000357,0.008510,5.789,5.789,0.067,0,0,142,43,53,0,0,0.001981,0.010023,5.789,-0.814,nan,square_fast_settle,aligned_descent_latch,inactive_phase:280;applied:92;aligned_descent_latch:36,0,0,0,50,43,142,9,0,0,5,0,0,0,174.368,179.979,25.866,1.831,4.139,5.970
baseline,906509,9,success,success,278,0.001459,0.009982,0.000088,0.009982,2.952,2.952,0.039,0,0,116,42,58,0,0,0.001543,0.011654,2.952,-1.951,nan,square_fast_settle,aligned_descent_latch,inactive_phase:156;applied:75;aligned_descent_latch:30,0,0,6,41,42,122,11,0,0,8,0,0,0,170.178,169.804,28.059,1.830,1.198,2.999
