profile,clearance_mm,yaw_error_deg,canonical_yaw_error_deg,period_deg,passes_geometry,min_margin_mm,clearance_reference
rectangular_key,0.25,0.0,0.0,360.0,True,0.0772198743102595,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.25,1.0,1.0,360.0,False,-0.07210799487170072,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.25,2.0,2.0,360.0,False,-0.3925948240917467,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.25,3.0,3.0,360.0,False,-0.7113628642673296,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.25,5.0,5.0,360.0,False,-1.3433547312904037,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.25,8.0,8.0,360.0,False,-2.2760427114690613,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.25,10.0,10.0,360.0,False,-2.8865300518992516,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.25,15.0,15.0,360.0,False,-4.367781465841975,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.5,0.0,0.0,360.0,True,0.153940444762456,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.5,1.0,1.0,360.0,True,0.06919970340051214,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.5,2.0,2.0,360.0,False,-0.14259482409174734,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.5,3.0,3.0,360.0,False,-0.4613628642673303,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.5,5.0,5.0,360.0,False,-1.0933547312904044,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.5,8.0,8.0,360.0,False,-2.0260427114690622,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.5,10.0,10.0,360.0,False,-2.636530051899252,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.5,15.0,15.0,360.0,False,-4.117781465841976,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.75,0.0,0.0,360.0,True,0.19314312786404725,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.75,1.0,1.0,360.0,True,0.1431301593175418,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.75,2.0,2.0,360.0,True,0.10642900949489435,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.75,3.0,3.0,360.0,False,-0.21136286426733011,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.75,5.0,5.0,360.0,False,-0.8433547312904043,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.75,8.0,8.0,360.0,False,-1.7760427114690618,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.75,10.0,10.0,360.0,False,-2.3865300518992516,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,0.75,15.0,15.0,360.0,False,-3.867781465841975,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.0,0.0,0.0,360.0,True,0.2301694070684004,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.0,1.0,1.0,360.0,True,0.2186908282156251,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.0,2.0,2.0,360.0,True,0.14333967851249546,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.0,3.0,3.0,360.0,True,0.038637135732670115,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.0,5.0,5.0,360.0,False,-0.5933547312904041,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.0,8.0,8.0,360.0,False,-1.5260427114690616,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.0,10.0,10.0,360.0,False,-2.1365300518992516,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.0,15.0,15.0,360.0,False,-3.6177814658419747,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.5,0.0,0.0,360.0,True,0.3685354294163147,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.5,1.0,1.0,360.0,True,0.31590211326124396,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.5,2.0,2.0,360.0,True,0.28074291885623115,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.5,3.0,3.0,360.0,True,0.22133856061180324,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.5,5.0,5.0,360.0,False,-0.09335473129040359,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.5,8.0,8.0,360.0,False,-1.0260427114690611,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.5,10.0,10.0,360.0,False,-1.6365300518992512,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,1.5,15.0,15.0,360.0,False,-3.1177814658419742,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,2.0,0.0,0.0,360.0,True,0.4923962358605368,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,2.0,1.0,1.0,360.0,True,0.42861730608795623,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,2.0,2.0,2.0,360.0,True,0.40504626146425393,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,2.0,3.0,3.0,360.0,True,0.34035624771410616,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,2.0,5.0,5.0,360.0,True,0.2520068629895921,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,2.0,8.0,8.0,360.0,False,-0.5260427114690616,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,2.0,10.0,10.0,360.0,False,-1.1365300518992516,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,2.0,15.0,15.0,360.0,False,-2.6177814658419747,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,3.0,0.0,0.0,360.0,True,0.7201476234701999,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,3.0,1.0,1.0,360.0,True,0.6928805395215974,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,3.0,2.0,2.0,360.0,True,0.6312250960762936,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,3.0,3.0,3.0,360.0,True,0.5968142833482851,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,3.0,5.0,5.0,360.0,True,0.48421518679088105,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,3.0,8.0,8.0,360.0,True,0.3311026054498584,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,3.0,10.0,10.0,360.0,False,-0.13653005189925155,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,3.0,15.0,15.0,360.0,False,-1.6177814658419747,uniform 2D offset of keyhole radius/tab dimensions
rectangular_key,4.0,0.0,0.0,360.0,True,1.0011440091596373,uniform 2D offset of keyhole radius/tab dimensions
