candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_min_policy_steps,guard_block_down_when_unaligned,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
no_guard,visual_camera_control,visual_camera_control,30,0.9333333333333333,0.06666666666666667,0.0,134.10671018486215,34.06666666666667,0.0,0.0,0.0,False,0.006370285277104982,0.012514085157802435,none,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,1.0,0.0,0.0,155.46120755279384,27.466666666666665,0.0,0.0,0.0,False,0.004161685363885502,0.00790509344814202,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy040_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,1.0,0.0,0.0,155.64574795344882,27.633333333333333,0.0,0.0,0.0,False,0.004099885392399488,0.00791034849336087,geometry,0.04,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy050_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,1.0,0.0,0.0,155.30063462636286,27.3,0.0,0.0,0.0,False,0.004171775775388406,0.007920298906116745,geometry,0.05,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy070_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,1.0,0.0,0.0,155.526870997215,27.466666666666665,0.0,0.0,0.0,False,0.004085678620310957,0.007919018747403257,geometry,0.07,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z060_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,0.9666666666666667,0.03333333333333333,0.0,143.3029116332492,31.0,0.0,0.0,0.0,False,0.005154152531984418,0.010190718951371577,geometry,0.06,0.06,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z080_blend100_down0035_align025,visual_camera_control,visual_camera_control,30,1.0,0.0,0.0,155.37541175650304,27.333333333333332,0.0,0.0,0.0,False,0.004167312473265864,0.00793699232514626,geometry,0.06,0.08,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend075_down0035_align025,visual_camera_control,visual_camera_control,30,1.0,0.0,0.0,155.75673866727024,27.633333333333333,0.0,0.0,0.0,False,0.004061731323522883,0.007922243912998606,geometry,0.06,0.1,0.0,0.75,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend050_down0035_align025,visual_camera_control,visual_camera_control,30,0.9666666666666667,0.03333333333333333,0.0,144.04985374158565,31.433333333333334,0.0,0.0,0.0,False,0.005207677036004216,0.01021693474439298,geometry,0.06,0.1,0.0,0.5,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0025_align025,visual_camera_control,visual_camera_control,30,1.0,0.0,0.0,155.18558531514742,27.233333333333334,0.0,0.0,0.0,False,0.00409183642545001,0.007921917749569515,geometry,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0025,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
