candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_min_policy_steps,guard_block_down_when_unaligned,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
no_guard,visual_camera_control,visual_camera_control,5,0.4,0.2,0.4,65.39526542928579,128.2,0.0,0.0,0.0,False,0.009430883457558478,0.016854028626171802,none,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,164.76302468924254,93.6,77.8,0.8311965811965812,1.0,True,0.008253668782278761,0.016387577680104258,all,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy040_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,166.04505913069573,96.4,70.2,0.7282157676348547,1.0,True,0.008352360544884214,0.01642327947229514,all,0.04,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy050_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,164.94653829342815,93.6,72.6,0.7756410256410257,1.0,True,0.008270288693296593,0.016483889277919793,all,0.05,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy070_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,164.6809399827992,93.6,83.0,0.8867521367521368,1.0,True,0.008264780697022953,0.01638313032990022,all,0.07,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z060_blend100_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,171.417380666319,100.0,65.2,0.652,1.0,True,0.008254806738391362,0.016450600822714878,all,0.06,0.06,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z080_blend100_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,164.76282236047808,93.6,77.8,0.8311965811965812,1.0,True,0.008253864772652563,0.01638771820328615,all,0.06,0.08,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend075_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,168.37927996331206,95.0,79.2,0.8336842105263158,1.0,True,0.00847320207469217,0.01690323768184061,all,0.06,0.1,0.0,0.75,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend050_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,166.9587320107777,95.2,79.4,0.8340336134453782,1.0,True,0.008694829449950772,0.016695223492442523,all,0.06,0.1,0.0,0.5,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0025_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,167.0273099734874,100.8,85.0,0.8432539682539683,1.0,True,0.008358136189969745,0.016519810890509558,all,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0025,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0045_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,166.9816459022364,92.4,76.6,0.8290043290043289,1.0,True,0.008039453679327437,0.016873466361843302,all,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0045,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align020,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,173.67531392253932,94.6,78.8,0.8329809725158562,1.0,True,0.008237636413720578,0.01650513382267338,all,0.06,0.1,0.0,1.0,0,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align015,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,188.7386742973094,99.2,83.4,0.840725806451613,1.0,True,0.008308077898713316,0.01657849702512464,all,0.06,0.1,0.0,1.0,0,False,1.0,0.015,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,full_light_geometry,full_light_geometry,5,0.4,0.2,0.4,71.11768207291496,128.8,0.0,0.0,0.0,False,0.009069458402933165,0.01693415556776685,none,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,167.86970920718522,95.4,79.4,0.8322851153039832,1.0,True,0.007927495284085364,0.01662267631756247,all,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy040_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,168.35538989074183,96.4,70.0,0.7261410788381742,1.0,True,0.00791756015385927,0.01647968592015072,all,0.04,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy050_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,167.77717214905965,95.0,73.8,0.7768421052631579,1.0,True,0.007937271608414818,0.016626683379959584,all,0.05,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy070_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,167.8325980597021,95.4,84.6,0.8867924528301886,1.0,True,0.007931880366781923,0.016627523171936765,all,0.07,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z060_blend100_down0035_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,173.23073651474004,99.6,62.8,0.6305220883534136,1.0,True,0.00795300118813005,0.016526476911419972,all,0.06,0.06,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z080_blend100_down0035_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,167.86975716593594,95.4,79.4,0.8322851153039832,1.0,True,0.007927472917114008,0.016622640308280555,all,0.06,0.08,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend075_down0035_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,169.10718291950917,96.8,80.8,0.8347107438016529,1.0,True,0.008009548641645478,0.016571787498310186,all,0.06,0.1,0.0,0.75,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend050_down0035_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,171.69143666045676,98.0,82.0,0.8367346938775511,1.0,True,0.008114903882388627,0.016532662833756075,all,0.06,0.1,0.0,0.5,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0025_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,169.97109456855355,102.2,86.2,0.8434442270058709,1.0,True,0.008044174131343302,0.016599231903094112,all,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0025,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0045_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,170.23555775695058,93.2,77.2,0.8283261802575107,1.0,True,0.007728817612003669,0.017414975417037737,all,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0045,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
