candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_min_policy_steps,guard_block_down_when_unaligned,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
no_guard,visual_camera_control,visual_camera_control,5,0.4,0.4,0.2,97.28238838846464,111.0,0.0,0.0,0.0,False,0.013380596340733214,0.025119258769598685,none,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,228.14337795148535,124.8,99.2,0.7948717948717949,1.0,True,0.009666843326957358,0.0169498324181812,all,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy050_z100_blend100_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,228.18534340316938,127.0,90.4,0.7118110236220473,1.0,True,0.009558618288676962,0.016906931575330852,all,0.05,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z080_blend100_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,228.1424231276666,124.8,99.2,0.7948717948717949,1.0,True,0.009667566506415206,0.016949896634348184,all,0.06,0.08,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend075_down0035_align025,visual_camera_control,visual_camera_control,5,0.8,0.2,0.0,233.76190237841965,119.6,94.0,0.7859531772575251,1.0,True,0.009615954604779606,0.01757700880058972,all,0.06,0.1,0.0,0.75,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,full_light_geometry,full_light_geometry,5,0.4,0.4,0.2,106.97314801473233,112.4,0.0,0.0,0.0,False,0.012357025731111835,0.025223903500174182,none,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,5,0.4,0.2,0.4,177.7593228212457,142.2,117.0,0.8227848101265823,1.0,True,0.00932230082303251,0.018541057655735417,all,0.06,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy050_z100_blend100_down0035_align025,full_light_geometry,full_light_geometry,5,0.4,0.2,0.4,179.15543235923855,146.2,110.0,0.7523939808481532,1.0,True,0.009261785925103214,0.01876210107699443,all,0.05,0.1,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z080_blend100_down0035_align025,full_light_geometry,full_light_geometry,5,0.6,0.2,0.2,212.689849096979,132.8,107.6,0.8102409638554215,1.0,True,0.008888233442771596,0.018906186767740675,all,0.06,0.08,0.0,1.0,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend075_down0035_align025,full_light_geometry,full_light_geometry,5,0.8,0.2,0.0,246.24626620419872,130.8,105.6,0.8073394495412843,1.0,True,0.009069930441409323,0.01730302782763151,all,0.06,0.1,0.0,0.75,0,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
