metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,256.0,0.01903811778902309,0.001148366675359012,0.0170120969414711,0.017074935138225555,0.01898033358156681,0.020721297711133957,0.020736347883939743
peg_radius,256.0,0.012000253846053965,0.000276013514582818,0.011525499634444714,0.011541035026311874,0.012006973847746849,0.012431953102350235,0.012474371120333672
hole_clearance,256.0,0.007037863990262849,0.0012352149081157932,0.004875016398727894,0.00503532262519002,0.007273018825799227,0.008731318637728691,0.008922540582716465
control_action_scale_multiplier,256.0,0.9677611801307648,0.10148131598721163,0.8138393759727478,0.8176712989807129,0.9339830279350281,1.1356035470962524,1.1720161437988281
control_action_noise_std,256.0,0.00026689990997397217,0.00021302106461477488,1.0446568012412172e-05,2.984241655212827e-05,0.00018279932555742562,0.0006906333146616817,0.0007759392610751092
control_action_delay,256.0,1.31640625,0.8463411457331715,0.0,0.0,2.0,2.0,2.0
control_action_filter_alpha,256.0,0.7141793186310679,0.131955390214899,0.550391435623169,0.5505744218826294,0.6585723757743835,0.9254595637321472,0.9759630560874939
fixture_height_offset,256.0,0.00012228037809336456,0.0005564546597456916,-0.0009680603398010135,-0.0007994553307071328,0.00018328217993257567,0.0008954412769526243,0.0009904301259666681
table_height_offset,256.0,-0.00014973234598869567,0.0005861387183074443,-0.0009645990212447941,-0.000865594600327313,-0.00022645093849860132,0.0008025653660297394,0.0009815298253670335
desired_z,256.0,0.7167584614362568,0.0228676420388745,0.6732106804847717,0.6738292425870895,0.7296378016471863,0.730895459651947,0.7309904098510742
step_id,256.0,91.94921875,62.82951696865613,27.0,31.0,64.0,198.0,199.0
steps_to_end,256.0,4.08203125,2.205530463181916,1.0,1.0,4.0,8.0,8.0
dist_xy,256.0,0.019537986610885127,0.007609589940015856,0.005768911447376013,0.0059457868337631226,0.022788509726524353,0.027441971469670534,0.029939845204353333
dist_z,256.0,0.04112015737155161,0.019567965629283063,0.007192215882241726,0.00728468771558255,0.051416780799627304,0.05536737944930792,0.05695351958274841
z_above_target,256.0,0.04112015571445227,0.01956796604339906,0.00719219446182251,0.007284700870513916,0.051416754722595215,0.05536739528179169,0.0569535493850708
policy_norm,256.0,0.00465599170911446,0.0010103012411579522,0.002563703106716275,0.002897367754485458,0.004802437499165535,0.006086612236686051,0.006855247542262077
oracle_norm,256.0,0.0068883534222550225,0.0004929924008293535,0.0050475504249334335,0.005399017012678087,0.007071067579090595,0.0070710680447518826,0.0070710680447518826
correction_norm,256.0,0.006534902540806797,0.001748493309274207,0.004008261952549219,0.004155135015025735,0.006253481842577457,0.01016966043971479,0.010904046706855297
correction_xy_norm,256.0,0.002414341010080534,0.0019719305964500454,9.388985199620947e-05,0.0003445991897024214,0.0016439621103927493,0.0060911839827895164,0.008056639693677425
action_cosine,256.0,0.3101279168622568,0.5126582283300203,-0.9837988018989563,-0.8098558783531189,0.4974679499864578,0.8016631454229355,0.8811452388763428
near_hole_rate,256.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
failure_window_rate,256.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
opposed_actions_rate,256.0,0.23046875,0.4211328831538063,0.0,0.0,0.0,1.0,1.0
policy_down_or_oracle_up_rate,256.0,0.7421875,0.43743023997404434,0.0,0.0,1.0,1.0,1.0
policy_down_oracle_less_down_rate,256.0,0.98046875,0.1383827311243621,0.0,1.0,1.0,1.0,1.0
episode_success_rate,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_collision_rate,256.0,0.74609375,0.4352446050336954,0.0,0.0,1.0,1.0,1.0
episode_timeout_rate,256.0,0.25390625,0.4352446050336954,0.0,0.0,0.0,1.0,1.0
hole_center_offset_x,256.0,-0.00022676064048710032,0.0010830790428625564,-0.001872062450274825,-0.0017735464498400688,-0.00047789225936867297,0.001820979523472488,0.0018510166555643082
hole_center_offset_y,256.0,-2.3881739011244463e-05,0.0011334091566294893,-0.0019369294168427587,-0.0018625111551955342,-0.00020773203141288832,0.001739111845381558,0.0017612989759072661
hole_center_offset_norm,256.0,0.0014905709315371496,0.0005365310458841372,0.0003735905629582703,0.0005984599119983613,0.0015444019809365273,0.002499528229236603,0.002625873312354088
action_norm,256.0,1.3776706866919994,0.09859848143500018,1.0095100402832031,1.0798033773899078,1.4142135381698608,1.4142135381698608,1.4142135381698608
raw_action_norm,256.0,0.006888353536851355,0.0004929924242854116,0.0050475504249334335,0.005399017012678087,0.007071067579090595,0.0070710680447518826,0.0070710680447518826
policy_action_norm,256.0,0.9311983403749764,0.202060249647372,0.5127406120300293,0.5794735699892044,0.9604874849319458,1.2173224687576294,1.371049404144287
policy_raw_action_norm,256.0,0.004655991716390417,0.0010103012389994683,0.002563703106716275,0.002897367754485458,0.004802437499165535,0.006086612120270729,0.00685524707660079
correction_raw_action_norm,256.0,0.006534902526254882,0.0017484933074007414,0.004008261952549219,0.004155135015025735,0.006253481842577457,0.01016966043971479,0.010904046706855297
