episode,step,reward,episode_return,terminated,truncated,guard_enabled,guard_active,guard_should_activate,guard_can_activate,guard_activated,guard_down_blocked,guard_steps_since_reset,guard_min_policy_steps,guard_dist_xy,guard_z_above_target,success,collision,dist_xy,dist_z,shaped_distance,desired_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,fixture_height_offset,table_height_offset,hole_half_size,peg_radius,contact_friction_multiplier,contact_solref_time_multiplier,contact_solref_damping_multiplier,contact_solimp_width_multiplier,joint_damping_multiplier,actuator_kp_multiplier,target_x,target_y,target_z,peg_tip_x,peg_tip_y,peg_tip_z,policy_action_x,policy_action_y,policy_action_z,guarded_action_x,guarded_action_y,guarded_action_z,final_action_x,final_action_y,final_action_z,commanded_action_x,commanded_action_y,commanded_action_z,applied_action_x,applied_action_y,applied_action_z,hole_center_offset_0,hole_center_offset_1
1,0,0.0,0.0,False,False,True,False,False,False,False,False,-1,0,nan,nan,False,False,0.11050589560682031,0.2349930542006088,0.3360048454142494,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4383150637149811,-0.011876432225108147,0.8849930763244629,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,-0.7839631948230795,-0.7839631948230795,False,False,True,False,False,True,False,False,0,0,0.11050589560682031,0.2349931001663208,False,False,0.11022607992698835,0.23500486821653088,0.3354570280705076,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.43857264518737793,-0.011764447204768658,0.8850048780441284,0.004612233489751816,0.001384809147566557,0.004904075525701046,nan,nan,nan,0.004612233489751816,0.001384809147566557,0.004904075525701046,0.004612233489751816,0.001384809147566557,0.004904075525701046,0.004612233489751816,0.001384809147566557,0.004904075525701046,0.0,0.0
1,2,-0.749270672943539,-1.5332338677666186,False,False,True,False,False,True,False,False,1,0,0.11022607992698835,0.23500490188598633,False,False,0.10988919363076023,0.23506422025322493,0.33484260751474537,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.438881516456604,-0.011627325788140297,0.8850642442703247,0.004551493562757969,0.0014548702165484428,0.00475707184523344,nan,nan,nan,0.004551493562757969,0.0014548702165484428,0.00475707184523344,0.004551493562757969,0.0014548702165484428,0.00475707184523344,0.004551493562757969,0.0014548702165484428,0.00475707184523344,0.0,0.0
1,3,-0.8545719009129322,-2.387805768679551,False,False,True,False,False,True,False,False,2,0,0.10988919363076023,0.23506426811218262,False,False,0.10957623776143233,0.23512696437361358,0.33427943989647824,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.43919113278388977,-0.011541717685759068,0.8851269483566284,0.004611300304532051,0.0007857666350901127,0.004850651137530804,nan,nan,nan,0.004611300304532051,0.0007857666350901127,0.004850651137530804,0.004611300304532051,0.0007857666350901127,0.004850651137530804,0.004611300304532051,0.0007857666350901127,0.004850651137530804,0.0,0.0
1,4,-0.7916575863976036,-3.1794633550771545,False,False,True,False,False,True,False,False,3,0,0.10957623776143233,0.23512697219848633,False,False,0.10925534602809865,0.23518126873138212,0.33369196078757946,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.43949902057647705,-0.011436224915087223,0.8851812481880188,0.004533054307103157,0.0011754725128412247,0.004735062830150127,nan,nan,nan,0.004533054307103157,0.0011754725128412247,0.004735062830150127,0.004533054307103157,0.0011754725128412247,0.004735062830150127,0.004533054307103157,0.0011754725128412247,0.004735062830150127,0.0,0.0
1,5,-0.8015499093287289,-3.9810132644058833,False,False,True,False,False,True,False,False,4,0,0.10925534602809865,0.2351812720298767,False,False,0.10893088126279936,0.2352372061807303,0.33309896870632905,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4398101270198822,-0.011329076252877712,0.8852372169494629,0.004606674425303936,0.0011163288727402687,0.004791704006493092,nan,nan,nan,0.004606674425303936,0.0011163288727402687,0.004791704006493092,0.004606674425303936,0.0011163288727402687,0.004791704006493092,0.004606674425303936,0.0011163288727402687,0.004791704006493092,0.0,0.0
1,6,-0.8640874409619936,-4.8451007053678765,False,False,True,False,False,True,False,False,5,0,0.10893088126279936,0.2352372407913208,False,False,0.10862130205974742,0.23529581827020818,0.332538422389703,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4401201903820038,-0.011251081712543964,0.8852958083152771,0.004588548094034195,0.0007579643279314041,0.004815434105694294,nan,nan,nan,0.004588548094034195,0.0007579643279314041,0.004815434105694294,0.004588548094034195,0.0007579643279314041,0.004815434105694294,0.004588548094034195,0.0007579643279314041,0.004815434105694294,0.0,0.0
1,7,-0.927850453707765,-5.7729511590756415,False,False,True,False,False,True,False,False,6,0,0.10862130205974742,0.235295832157135,False,False,0.10833538615320644,0.2353514510987914,0.33202222340520426,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4404255151748657,-0.011213624849915504,0.8853514790534973,0.004534092731773853,0.00031066080555319786,0.004772941581904888,nan,nan,nan,0.004534092731773853,0.00031066080555319786,0.004772941581904888,0.004534092731773853,0.00031066080555319786,0.004772941581904888,0.004534092731773853,0.00031066080555319786,0.004772941581904888,0.0,0.0
1,8,-0.9110154745670255,-6.683966633642667,False,False,True,False,False,True,False,False,7,0,0.10833538615320644,0.23535150289535522,False,False,0.10804258440294552,0.23540716046162513,0.33149232926751615,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4407314360141754,-0.011162676848471165,0.8854071497917175,0.004519117064774036,0.0005746497772634029,0.004810938611626625,nan,nan,nan,0.004519117064774036,0.0005746497772634029,0.004810938611626625,0.004519117064774036,0.0005746497772634029,0.004810938611626625,0.004519117064774036,0.0005746497772634029,0.004810938611626625,0.0,0.0
1,9,-0.8414916159691005,-7.525458249611767,False,False,True,False,False,True,False,False,8,0,0.10804258440294552,0.23540717363357544,False,False,0.107728446511229,0.23546207230063187,0.33091896532308984,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4410421848297119,-0.011075995862483978,0.8854620456695557,0.004580605775117874,0.0009746644645929337,0.004794104024767876,nan,nan,nan,0.004580605775117874,0.0009746644645929337,0.004794104024767876,0.004580605775117874,0.0009746644645929337,0.004794104024767876,0.004580605775117874,0.0009746644645929337,0.004794104024767876,0.0,0.0
