metric,count,mean,std,min,p05,p50,p95,max
hole_half_size,256.0,0.019999999552965164,0.0,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164
peg_radius,256.0,0.012000000104308128,0.0,0.012000000104308128,0.012000000104308128,0.012000000104308128,0.012000000104308128,0.012000000104308128
hole_clearance,256.0,0.00800000037997961,0.0,0.00800000037997961,0.00800000037997961,0.00800000037997961,0.00800000037997961,0.00800000037997961
control_action_scale_multiplier,256.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
control_action_noise_std,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
control_action_delay,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
control_action_filter_alpha,256.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
fixture_height_offset,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
table_height_offset,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desired_z,256.0,0.7333025841508061,0.03006959998134269,0.6940127015113831,0.6968242526054382,0.7143807709217072,0.7699999809265137,0.7699999809265137
step_id,256.0,565.83203125,307.268496298838,70.0,89.75,574.5,993.0,999.0
steps_to_end,256.0,161.3828125,182.74318647924974,1.0,2.75,56.5,511.25,532.0
dist_xy,256.0,0.019887139676939114,0.015026736235949854,0.0073354486376047134,0.007804039632901549,0.010730127803981304,0.053447176702320576,0.059982579201459885
dist_z,256.0,0.04147551737332833,0.03221452381497768,0.007931866683065891,0.007937788963317871,0.026329259388148785,0.10267643630504608,0.1132006123661995
z_above_target,256.0,0.04147554188966751,0.032214521836485696,0.007931888103485107,0.007937803864479065,0.02632927894592285,0.10267645120620728,0.11320066452026367
policy_norm,256.0,0.005748274080360716,0.0008359460691716882,0.003402069443836808,0.0041852411814033985,0.005717929219827056,0.007283400162123144,0.007316524628549814
oracle_norm,256.0,0.00706779877509689,3.614858859495903e-05,0.006625648587942123,0.007071067579090595,0.007071067579090595,0.0070710680447518826,0.0070710680447518826
correction_norm,256.0,0.010508319885957462,0.0033068983472422306,0.0030468942131847143,0.004231633967719972,0.012334648054093122,0.014260885305702686,0.014322325587272644
correction_xy_norm,256.0,0.006155759343641876,0.0030695706915142016,0.00019077089382335544,0.0008391443116124719,0.007478998741135001,0.01016724668443203,0.010263238102197647
action_cosine,256.0,-0.40595450043474557,0.6670738651437451,-0.9979796409606934,-0.9927426725625992,-0.8252859711647034,0.8253069221973419,0.9194288849830627
near_hole_rate,256.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
failure_window_rate,256.0,0.64453125,0.4786551135979198,0.0,0.0,1.0,1.0,1.0
opposed_actions_rate,256.0,0.72265625,0.4476876079767425,0.0,0.0,1.0,1.0,1.0
policy_down_or_oracle_up_rate,256.0,0.8671875,0.3393719785777105,0.0,0.0,1.0,1.0,1.0
policy_down_oracle_less_down_rate,256.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
episode_success_rate,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_collision_rate,256.0,0.375,0.4841229182759271,0.0,0.0,0.0,1.0,1.0
episode_timeout_rate,256.0,0.625,0.4841229182759271,0.0,0.0,1.0,1.0,1.0
hole_center_offset_x,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hole_center_offset_y,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hole_center_offset_norm,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_norm,256.0,1.4135597562417388,0.007229719453220029,1.325129747390747,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
raw_action_norm,256.0,0.007067798911521095,3.614859996167518e-05,0.006625648587942123,0.007071067579090595,0.007071067811921239,0.0070710680447518826,0.0070710680447518826
policy_action_norm,256.0,1.1496548196300864,0.16718920928888928,0.6804139018058777,0.8370482325553894,1.1435858607292175,1.4566801190376282,1.463304877281189
policy_raw_action_norm,256.0,0.005748274078541726,0.0008359460627454346,0.003402069443836808,0.0041852411814033985,0.005717929219827056,0.007283400162123144,0.007316524628549814
correction_raw_action_norm,256.0,0.010508319880500494,0.0033068983354828316,0.0030468939803540707,0.004231633967719972,0.01233464851975441,0.01426088553853333,0.014322325587272644
