episode,step,reward,episode_return,terminated,truncated,guard_enabled,guard_active,guard_should_activate,guard_can_activate,guard_activated,guard_down_blocked,guard_steps_since_reset,guard_min_policy_steps,guard_dist_xy,guard_z_above_target,success,collision,dist_xy,dist_z,shaped_distance,desired_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,fixture_height_offset,table_height_offset,hole_half_size,peg_radius,contact_friction_multiplier,contact_solref_time_multiplier,contact_solref_damping_multiplier,contact_solimp_width_multiplier,joint_damping_multiplier,actuator_kp_multiplier,target_x,target_y,target_z,peg_tip_x,peg_tip_y,peg_tip_z,policy_action_x,policy_action_y,policy_action_z,guarded_action_x,guarded_action_y,guarded_action_z,final_action_x,final_action_y,final_action_z,commanded_action_x,commanded_action_y,commanded_action_z,applied_action_x,applied_action_y,applied_action_z,hole_center_offset_0,hole_center_offset_1
1,0,0.0,0.0,False,False,True,False,False,False,False,False,-1,0,nan,nan,False,False,0.11050589560682031,0.2349930542006088,0.3360048454142494,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4383150637149811,-0.011876432225108147,0.8849930763244629,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,-0.7912302429911245,-0.7912302429911245,False,False,True,False,False,True,False,False,0,0,0.11050589560682031,0.2349931001663208,False,False,0.11024467108192831,0.23499203367508703,0.33548137583894366,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.43856680393218994,-0.011792698875069618,0.8849920630455017,0.0045570386573672295,0.0010194838978350163,0.004715348593890667,nan,nan,nan,0.0045570386573672295,0.0010194838978350163,0.004715348593890667,0.0045570386573672295,0.0010194838978350163,0.004715348593890667,0.0045570386573672295,0.0010194838978350163,0.004715348593890667,0.0,0.0
1,2,-0.6615602972609822,-1.4527905402521069,False,False,True,False,False,True,False,False,1,0,0.11024467108192831,0.23499208688735962,False,False,0.10992824259111303,0.2350111091511895,0.33486759433341556,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.43886798620224,-0.011684298515319824,0.8850111365318298,0.004468580707907677,0.0011539394035935402,0.004250718280673027,nan,nan,nan,0.004468580707907677,0.0011539394035935402,0.004250718280673027,0.004468580707907677,0.0011539394035935402,0.004250718280673027,0.004468580707907677,0.0011539394035935402,0.004250718280673027,0.0,0.0
1,3,-0.8319948670880981,-2.284785407340205,False,False,True,False,False,True,False,False,2,0,0.10992824259111303,0.23501116037368774,False,False,0.10963295280939243,0.23504422520217605,0.33431013082096095,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4391738474369049,-0.011628679931163788,0.8850442171096802,0.004574411548674107,0.0004664869047701359,0.004600798711180687,nan,nan,nan,0.004574411548674107,0.0004664869047701359,0.004600798711180687,0.004574411548674107,0.0004664869047701359,0.004600798711180687,0.004574411548674107,0.0004664869047701359,0.004600798711180687,0.0,0.0
1,4,-0.7329229991266182,-3.017708406466823,False,False,True,False,False,True,False,False,3,0,0.10963295280939243,0.23504424095153809,False,False,0.10933176738783332,0.23506472850431226,0.3337282632799789,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.43947723507881165,-0.011556039564311504,0.8850647211074829,0.004487478174269199,0.0008151279762387276,0.00433728564530611,nan,nan,nan,0.004487478174269199,0.0008151279762387276,0.00433728564530611,0.004487478174269199,0.0008151279762387276,0.00433728564530611,0.004487478174269199,0.0008151279762387276,0.00433728564530611,0.0,0.0
1,5,-0.735857326493372,-3.7535657329601952,False,False,True,False,False,True,False,False,4,0,0.10933176738783332,0.23506474494934082,False,False,0.10902819957277834,0.2350807569193668,0.3331371560649235,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4397813081741333,-0.011479532346129417,0.8850807547569275,0.004525020718574524,0.0007955962792038918,0.004361113533377647,nan,nan,nan,0.004525020718574524,0.0007955962792038918,0.004361113533377647,0.004525020718574524,0.0007955962792038918,0.004361113533377647,0.004525020718574524,0.0007955962792038918,0.004361113533377647,0.0,0.0
1,6,-0.8307453219844325,-4.584311054944628,False,False,True,False,False,True,False,False,5,0,0.10902819957277834,0.2350807785987854,False,False,0.10874384410508488,0.2351038335873311,0.33259152179750084,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4400842785835266,-0.011440914124250412,0.8851038217544556,0.004517935216426849,0.00031829671934247017,0.004452374763786793,nan,nan,nan,0.004517935216426849,0.00031829671934247017,0.004452374763786793,0.004517935216426849,0.00031829671934247017,0.004452374763786793,0.004517935216426849,0.00031829671934247017,0.004452374763786793,0.0,0.0
1,7,-0.8667586915772746,-5.4510697465219025,False,False,True,False,False,True,False,False,6,0,0.10874384410508488,0.23510384559631348,False,False,0.1084854801516192,0.23511736709411635,0.3320883273973547,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.44038069248199463,-0.01144417654722929,0.8851173520088196,0.004437248222529888,-0.0001256144605576992,0.004296132363379002,nan,nan,nan,0.004437248222529888,-0.0001256144605576992,0.004296132363379002,0.004437248222529888,-0.0001256144605576992,0.004296132363379002,0.004437248222529888,-0.0001256144605576992,0.004296132363379002,0.0,0.0
1,8,-0.8665284977315011,-6.3175982442534035,False,False,True,False,False,True,False,False,7,0,0.1084854801516192,0.2351173758506775,False,False,0.10822147712065512,0.23513175565480948,0.3315747098961197,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4406770169734955,-0.0114351911470294,0.8851317763328552,0.004416466690599918,0.00012457510456442833,0.004383159801363945,nan,nan,nan,0.004416466690599918,0.00012457510456442833,0.004383159801363945,0.004416466690599918,0.00012457510456442833,0.004383159801363945,0.004416466690599918,0.00012457510456442833,0.004383159801363945,0.0,0.0
1,9,-0.7603005599531278,-7.077898804206532,False,False,True,False,False,True,False,False,8,0,0.10822147712065512,0.23513180017471313,False,False,0.10792735108237646,0.23514522065208376,0.33099992281683666,0.77,1.0,0.0,0,1.0,0.0,0.0,0.02,0.012,1.0,1.0,1.0,1.0,1.0,1.0,0.5354753136634827,0.04076795652508736,0.6499999761581421,0.4409816265106201,-0.011378463357686996,0.8851452469825745,0.004517892375588417,0.0006787017919123173,0.004348277114331722,nan,nan,nan,0.004517892375588417,0.0006787017919123173,0.004348277114331722,0.004517892375588417,0.0006787017919123173,0.004348277114331722,0.004517892375588417,0.0006787017919123173,0.004348277114331722,0.0,0.0
