candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_min_policy_steps,guard_block_down_when_unaligned,guard_release_on_high,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,guarded_oracle_mode,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
no_guard,visual_camera_control,visual_camera_control,5,0.4,0.0,0.6,-33.70600670905778,694.0,0.0,0.0,0.0,False,0.008829289797001826,0.02146823592293561,none,0.06,0.1,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_guardedtwostage_block0,visual_camera_control,visual_camera_control,5,0.6,0.0,0.4,260.254936148668,540.8,407.6,0.7536982248520712,1.0,True,0.0048836685813863035,0.02057843606385219,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_guardedtwostage_block1,visual_camera_control,visual_camera_control,5,0.6,0.0,0.4,259.6175853868417,540.8,407.6,0.7536982248520712,1.0,True,0.004872333223686654,0.020558149602956453,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_highstarttwophase_block0,visual_camera_control,visual_camera_control,5,0.6,0.0,0.4,259.5867467362659,540.8,407.6,0.7536982248520712,1.0,True,0.004878606761686479,0.020556016532209464,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_highstarttwophase_block1,visual_camera_control,visual_camera_control,5,0.6,0.0,0.4,259.5833698308597,540.8,407.6,0.7536982248520712,1.0,True,0.004872577709101619,0.02055403329424301,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_guardedtwostage_block0,visual_camera_control,visual_camera_control,5,0.4,0.0,0.6,48.33937308722686,686.4,553.2,0.805944055944056,1.0,True,0.004432614693330865,0.026722860583061614,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_guardedtwostage_block1,visual_camera_control,visual_camera_control,5,0.4,0.0,0.6,48.2184878523824,686.4,553.2,0.805944055944056,1.0,True,0.004408619278613917,0.026708700557394095,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_highstarttwophase_block0,visual_camera_control,visual_camera_control,5,0.4,0.0,0.6,48.23451401739717,686.4,553.2,0.805944055944056,1.0,True,0.0043906331710886265,0.026709821664325097,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_highstarttwophase_block1,visual_camera_control,visual_camera_control,5,0.4,0.0,0.6,48.28783067663291,686.4,553.2,0.805944055944056,1.0,True,0.004382892209735449,0.02672806719690133,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_guardedtwostage_block0,visual_camera_control,visual_camera_control,5,0.4,0.0,0.6,16.963498192607062,683.2,550.0,0.8050351288056206,1.0,True,0.004054446887023834,0.027208140509596256,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_guardedtwostage_block1,visual_camera_control,visual_camera_control,5,0.4,0.0,0.6,17.218545098230358,683.0,549.8,0.8049780380673499,1.0,True,0.004062632260505173,0.027212625726564466,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_highstarttwophase_block0,visual_camera_control,visual_camera_control,5,0.4,0.0,0.6,17.25709057187823,683.0,549.8,0.8049780380673499,1.0,True,0.004053485098842295,0.027277699894149167,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p03_highstarttwophase_block1,visual_camera_control,visual_camera_control,5,0.4,0.0,0.6,17.30928791651952,683.0,549.8,0.8049780380673499,1.0,True,0.004056027918616341,0.027248114957605464,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.03,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,full_light_geometry,full_light_geometry,5,0.0,0.6,0.4,241.91921044432107,722.4,0.0,0.0,0.0,False,0.02834144763091343,0.04390101737128978,none,0.06,0.1,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_guardedtwostage_block0,full_light_geometry,full_light_geometry,5,0.0,0.2,0.8,289.91046984346633,855.6,634.0,0.7410004675081814,0.8,True,0.019298022558040022,0.04315146545842945,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_guardedtwostage_block1,full_light_geometry,full_light_geometry,5,0.0,0.2,0.8,289.6166578208878,855.6,634.2,0.741234221598878,0.8,True,0.01928531931566828,0.04310561246800615,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_highstarttwophase_block0,full_light_geometry,full_light_geometry,5,0.0,0.2,0.8,289.227259411025,855.6,634.0,0.7410004675081814,0.8,True,0.01938496192444641,0.04310909310395199,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p02_highstarttwophase_block1,full_light_geometry,full_light_geometry,5,0.0,0.2,0.8,288.16294422277554,855.6,634.2,0.741234221598878,0.8,True,0.019205110117162933,0.04316193438833489,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy0p06_z0p12_blend1_min0_down0p0035_align0p025_guardedtwostage_block0,full_light_geometry,full_light_geometry,5,0.0,0.2,0.8,270.8438704700069,855.6,634.0,0.7410004675081814,0.8,True,0.019167097018875447,0.04411406912192602,all,0.06,0.12,0.0,1.0,0,False,False,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,guarded_two_stage,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
